,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
123,Lucas Digne\1b84dbe1,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-246,1993,13,0,9,1,11.1,0.69,0.08,0,0,21.1,3,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
124,Virgil van Dijk\e06683ca,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-258,1991,27,3,27,11,40.7,1,0.41,0.11,0.27,11.4,1,0,0,2,2,0.08,1,1,Matches
125,Issa Diop\a712ca2b,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-073,1997,9,0,1,1,100,0.11,0.11,0,0,7.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
126,Moussa Djenepo\254147d4,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-281,1998,4.9,0,10,1,10,2.05,0.21,0,0,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Matches
127,Lewis Dobbin\e814e1cf,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-079,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
128,Matt Doherty\d557d734,Matt Doherty\d557d734,ie IRL,DF,Tottenham,30-066,1992,8.5,1,14,5,35.7,1.65,0.59,0.07,0.2,14.3,0,0,0,2,2,0.14,-1,-1,Matches
129,Gabriel Dos Santos\67ac5bb8,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,24-094,1997,24.4,3,21,7,33.3,0.86,0.29,0.14,0.43,11.4,0,0,0,1.9,1.9,0.09,1.1,1.1,Matches
130,Abdoulaye Doucoure\02b29014,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,29-081,1993,19.7,2,25,6,24,1.27,0.3,0.08,0.33,16.9,0,0,0,1.9,1.9,0.08,0.1,0.1,Matches
131,Kieran Dowell\2f6ec02a,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-164,1997,4,0,3,0,0,0.76,0,0,,26,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
132,Cody Drameh\e0d1510a,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-105,2001,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
133,Martin Dubravka\3a949a25,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-067,1989,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
134,Shane Duffy\7314bba4,Shane Duffy\7314bba4,ie IRL,DF,Brighton,30-081,1992,16,1,21,5,23.8,1.32,0.31,0.05,0.2,9.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
135,Paul Dummett\3fe6bd8c,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
136,Lewis Dunk\282f75f3,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,30-122,1991,19.6,1,12,5,41.7,0.61,0.26,0.08,0.2,9.7,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
137,Ederson\3bb7b8b4,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-218,1993,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
138,Odsonne Edouard\0562b7f1,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,24-066,1998,14.1,6,34,14,41.2,2.41,0.99,0.15,0.36,13,0,1,1,6.5,5.7,0.17,-0.5,-0.7,Matches
139,Anthony Elanga\2fba6108,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,19-330,2002,6.1,2,13,4,30.8,2.13,0.65,0.15,0.5,14.5,0,0,0,2.2,2.2,0.17,-0.2,-0.2,Matches
140,Harvey Elliott\c8387671,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,18-353,2003,3.1,0,7,1,14.3,2.23,0.32,0,0,16.3,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
141,Mohamed Elneny\47a34c4f,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,29-255,1992,2,0,1,0,0,0.51,0,0,,23,0,0,0,0,0,0.02,0,0,Matches
142,Mohamed Elyounoussi\68dc0dac,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,27-231,1994,16.8,4,38,15,39.5,2.27,0.89,0.11,0.27,13.9,0,0,0,4.7,4.7,0.13,-0.7,-0.7,Matches
143,Emerson\df8b52a5,Emerson\df8b52a5,br BRA,DF,Tottenham,23-068,1999,16.8,0,8,1,12.5,0.48,0.06,0,0,14.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
144,Christian Eriksen\980522ec,Christian Eriksen\980522ec,dk DEN,MF,Brentford,30-037,1992,2.4,0,3,1,33.3,1.23,0.41,0,0,21.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
145,Oghenekaro Etebo\b579e83d,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,26-134,1995,4.3,0,3,0,0,0.69,0,0,,30.9,0,0,0,0,0,0.02,0,0,Matches
146,Jonny Evans\f8fcd2a5,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,34-079,1988,8.7,1,3,2,66.7,0.35,0.23,0.33,0.5,5.7,0,0,0,0.7,0.7,0.25,0.3,0.3,Matches
147,Eberechi Eze\ae4fc6a4,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,0,2,0,0,1.27,0,0,,26.6,0,0,0,0,0,0.02,0,0,Matches
148,Lukasz Fabianski\9328b835,?ukasz Fabia?ski\9328b835,pl POL,GK,West Ham,36-339,1985,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
149,Fabinho\7f3b388c,Fabinho\7f3b388c,br BRA,MF,Liverpool,28-151,1993,20.9,4,16,7,43.8,0.77,0.33,0.19,0.43,17.3,0,1,1,2.5,1.8,0.12,1.5,1.2,Matches
150,Kiko Femenia\e5d01ecf,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,31-049,1991,17.8,0,2,0,0,0.11,0,0,,21.2,0,0,0,0,0,0.02,0,0,Matches
151,Evan Ferguson\4596da74,Evan Ferguson\4596da74,ie IRL,MF,Brighton,17-155,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
152,Nathan Ferguson\2f8d27bc,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,21-168,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
153,Bruno Fernandes\507c7bdf,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,27-196,1994,25.6,9,64,21,32.8,2.5,0.82,0.14,0.43,21,5,0,1,7.2,6.5,0.1,1.8,2.5,Matches
154,Alvaro Fernandez\f127d782,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-344,1998,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
155,Federico Fernandez\f25b010f,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,0,6,1,16.7,1.03,0.17,0,0,9.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
156,Fernandinho\101da2b5,Fernandinho\101da2b5,br BRA,MF,Manchester City,36-323,1985,6.8,1,11,1,9.1,1.62,0.15,0.09,1,15.8,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
157,Roberto Firmino\4c370d81,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,30-172,1991,8.8,5,21,10,47.6,2.39,1.14,0.24,0.5,13.3,0,0,0,4.6,4.6,0.22,0.4,0.4,Matches
158,Junior Firpo\24f59bb2,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,25-213,1996,14.8,0,8,1,12.5,0.54,0.07,0,0,12.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
159,Ashley Fletcher\eeb6551f,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,26-172,1995,0.3,0,2,1,50,6,3,0,0,19.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
160,Phil Foden\ed1e53f3,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,21-299,2000,17.9,7,49,19,38.8,2.74,1.06,0.14,0.37,14.1,0,0,0,7.8,7.8,0.16,-0.8,-0.8,Matches
161,Pablo Fornals\82927de4,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,26-029,1996,24,6,36,11,30.6,1.5,0.46,0.17,0.55,18.2,0,0,0,4.1,4.1,0.12,1.9,1.9,Matches
162,Adam Forshaw\9f1938ab,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,30-166,1991,16,0,12,4,33.3,0.75,0.25,0,0,26.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
163,Marcus Forss\82c215a0,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,22-278,1999,2.3,0,5,0,0,2.15,0,0,,14,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
164,Fraser Forster\c3e39f12,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,34-006,1988,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
165,Ben Foster\d0b3ceb9,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-354,1983,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
166,Tariqe Fosu\3dcef539,Tariqe Fosu\3dcef539,gh GHA,DF,Brentford,26-138,1995,0.2,0,1,0,0,5.29,0,0,,18.4,0,0,0,0,0,0.03,0,0,Matches
167,Ryan Fraser\d56543a0,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,2,23,6,26.1,1.53,0.4,0.09,0.33,17.2,0,0,0,2.4,2.4,0.1,-0.4,-0.4,Matches
168,Fred\b853e0ad,Fred\b853e0ad,br BRA,MF,Manchester Utd,29-018,1993,19.6,3,14,8,57.1,0.71,0.41,0.21,0.38,21.1,0,0,0,1,1,0.07,2,2,Matches
169,Ryan Fredericks\c067631c,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,29-164,1992,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
170,Leo Fuhr Hjelde\d102b8a2,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,18-209,2003,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
171,Conor Gallagher\c2731c10,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,22-045,2000,24.4,8,42,20,47.6,1.72,0.82,0.19,0.4,15.9,4,0,0,5,5,0.12,3,3,Matches
172,Dwight Gayle\e58a03c6,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,0,1,0,0,2.81,0,0,,9,0,0,0,0,0,0.05,0,0,Matches
173,Jean-Philippe Gbamin\6bd603db,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,26-179,1995,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
174,David de Gea\7ba6d84e,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-136,1990,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
175,Joe Gelhardt\01962d0d,Joe Gelhardt\01962d0d,eng ENG,FWMF,Leeds United,19-323,2002,5.2,2,16,7,43.8,3.08,1.35,0.13,0.29,15.5,0,0,0,2.2,2.2,0.14,-0.2,-0.2,Matches
176,Anwar El Ghazi\ffa90327,Anwar El Ghazi\ffa90327,nl NED,FW,Everton,26-324,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
177,Anwar El Ghazi\ffa90327,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,26-324,1995,4.3,1,7,2,28.6,1.63,0.47,0,0,21.3,0,1,1,1.1,0.3,0.04,-0.1,-0.3,Matches
178,Saman Ghoddos\f7b1d4e0,Saman Ghoddos\f7b1d4e0,ir IRN,MFDF,Brentford,28-198,1993,4.8,1,7,2,28.6,1.45,0.41,0.14,0.5,19.3,1,0,0,0.6,0.6,0.09,0.4,0.4,Matches
179,Dimitris Giannoulis\112c495e,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,26-157,1995,6.1,0,2,1,50,0.33,0.16,0,0,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
180,Morgan Gibbs-White\32f60ed8,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,22-055,2000,0.1,0,2,0,0,20,0,0,,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
181,Ben Gibson\bcfb0142,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,29-067,1993,23.7,0,8,4,50,0.34,0.17,0,0,10,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches
182,Billy Gilmour\df10e27c,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,20-285,2001,15.7,0,12,2,16.7,0.76,0.13,0,0,22.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
183,Ben Godfrey\9f7c837d,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,24-067,1998,18.5,0,17,6,35.3,0.92,0.32,0,0,17,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
184,Andre Gomes\1961b2aa,André Gomes\1961b2aa,pt POR,MF,Everton,28-236,1993,5.6,0,12,2,16.7,2.15,0.36,0,0,21,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
185,Toti Gomes\f0caab96,Toti Gomes\f0caab96,pt POR,DF,Wolves,23-066,1999,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
186,Joe Gomez\7a11550b,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,24-304,1997,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
187,Charlie Goode\7aee4dd3,Charlie Goode\7aee4dd3,eng ENG,DF,Brentford,26-232,1995,5,0,2,0,0,0.4,0,0,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
188,Anthony Gordon\2bd83368,Anthony Gordon\2bd83368,eng ENG,MFFW,Everton,21-027,2001,16.7,3,31,14,45.2,1.85,0.84,0.1,0.21,18.5,4,0,0,2.4,2.4,0.08,0.6,0.6,Matches
189,Kaide Gordon\19a9cb70,Kaide Gordon\19a9cb70,eng ENG,FW,Liverpool,17-169,2004,0.1,0,1,1,100,10,10,0,0,19,0,0,0,0.4,0.4,0.45,-0.4,-0.4,Matches
190,Dan Gosling\7fec31a0,Dan Gosling\7fec31a0,eng ENG,MF,Watford,32-050,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
191,Demarai Gray\4468ec10,Demarai Gray\4468ec10,eng ENG,MFFW,Everton,25-268,1996,18.8,5,46,13,28.3,2.45,0.69,0.11,0.38,19.6,3,0,0,3.2,3.2,0.07,1.8,1.8,Matches
192,Jack Grealish\b0b4fd3e,Jack Grealish\b0b4fd3e,eng ENG,FW,Manchester City,26-194,1995,16.1,2,34,14,41.2,2.12,0.87,0.06,0.14,14.3,0,0,0,4.1,4.1,0.12,-2.1,-2.1,Matches
193,Mason Greenwood\58eee997,Mason Greenwood\58eee997,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,5,48,18,37.5,3.4,1.27,0.1,0.28,18.7,0,0,0,4.4,4.4,0.09,0.6,0.6,Matches
194,Sam Greenwood\f3354c07,Sam Greenwood\f3354c07,eng ENG,FWMF,Leeds United,20-056,2002,0.9,0,1,0,0,1.11,0,0,,24,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
195,Pascal Gross\8aec0537,Pascal Groß\8aec0537,de GER,MFDF,Brighton,30-281,1991,15.3,0,16,3,18.8,1.05,0.2,0,0,17.7,1,0,1,2.1,1.3,0.08,-2.1,-1.3,Matches
196,Vicente Guaita\ab13a5aa,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-072,1987,23.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
197,Marc Guehi\d0706b27,Marc Guéhi\d0706b27,eng ENG,DF,Crystal Palace,21-253,2000,28,2,12,4,33.3,0.43,0.14,0.17,0.5,10.9,0,0,0,1.6,1.6,0.13,0.4,0.4,Matches
198,Bruno Guimaraes\82518f62,Bruno Guimarães\82518f62,br BRA,MF,Newcastle Utd,24-127,1997,3.2,1,10,2,20,3.1,0.62,0.1,0.5,18.1,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches
199,Ilkay Gundogan\819b3158,?lkay Gündo?an\819b3158,de GER,MF,Manchester City,31-150,1990,15,5,39,13,33.3,2.6,0.87,0.13,0.38,13.1,2,0,0,6.6,6.6,0.17,-1.6,-1.6,Matches
200,Angus Gunn\e082af5b,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-060,1996,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
201,Grant Hanley\e9254eec,Grant Hanley\e9254eec,sct SCO,DF,Norwich City,30-123,1991,23.2,1,14,3,21.4,0.6,0.13,0.07,0.33,8.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
202,Jack Harrison\aa849a12,Jack Harrison\aa849a12,eng ENG,FWMF,Leeds United,25-123,1996,21.9,5,32,13,40.6,1.46,0.59,0.16,0.38,16.2,0,0,0,3.2,3.2,0.1,1.8,1.8,Matches
203,Kortney Hause\bf8fad51,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,26-250,1995,4.4,1,2,2,100,0.45,0.45,0.5,0.5,10.1,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
204,Kai Havertz\fed7cb61,Kai Havertz\fed7cb61,de GER,FWMF,Chelsea,22-285,1999,14.5,6,37,16,43.2,2.55,1.1,0.16,0.38,13.3,0,0,0,5.5,5.5,0.15,0.5,0.5,Matches
205,Isaac Hayden\c951a6df,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,1,6,1,16.7,0.54,0.09,0.17,1,12.8,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
206,Hwang Hee-chan\169fd162,Hwang Hee-chan\169fd162,kr KOR,FWMF,Wolves,26-056,1996,15,5,18,8,44.4,1.2,0.53,0.28,0.63,14,0,0,0,3,3,0.17,2,2,Matches
207,Jordan Henderson\935e6b8f,Jordan Henderson\935e6b8f,eng ENG,MF,Liverpool,31-279,1990,22.3,2,25,6,24,1.12,0.27,0.08,0.33,23.1,0,0,0,1.4,1.4,0.06,0.6,0.6,Matches
208,Jeff Hendrick\989d5705,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,1,1,1,100,1.25,1.25,1,1,27,0,0,0,0,0,0.03,1,1,Matches
209,Wayne Hennessey\76eca7e2,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-058,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
210,Rico Henry\8a3c1dc7,Rico Henry\8a3c1dc7,eng ENG,DF,Brentford,24-258,1997,23.2,2,10,2,20,0.43,0.09,0.2,1,15.7,0,0,0,1.5,1.5,0.15,0.5,0.5,Matches
211,Son Heung-min\92e7e919,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,29-258,1992,24.9,13,61,30,49.2,2.45,1.2,0.21,0.43,16.1,2,0,0,10.4,10.4,0.17,2.6,2.6,Matches
212,Ki-Jana Hoever\9a71e978,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,20-064,2002,3.4,0,1,0,0,0.29,0,0,,22.2,0,0,0,0,0,0.02,0,0,Matches
213,Rob Holding\d79a8c87,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,26-184,1995,4.8,0,3,0,0,0.62,0,0,,6.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
214,Mason Holgate\d0042ab9,Mason Holgate\d0042ab9,eng ENG,DF,Everton,25-152,1996,14.8,0,2,0,0,0.14,0,0,,7.5,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches
215,Callum Hudson-Odoi\15f3ec41,Callum Hudson-Odoi\15f3ec41,eng ENG,FWMF,Chelsea,21-136,2000,10.7,1,17,7,41.2,1.59,0.65,0.06,0.14,13.2,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches
216,Will Hughes\a0666d3e,Will Hughes\a0666d3e,eng ENG,MF,Crystal Palace,26-340,1995,9.1,0,5,0,0,0.55,0,0,,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
217,Pierre Hojbjerg\8b04d6c1,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,26-230,1995,26.5,2,24,10,41.7,0.91,0.38,0.08,0.2,21.9,1,0,0,1.7,1.7,0.07,0.3,0.3,Matches
218,Adam Idah\291e3ec3,Adam Idah\291e3ec3,ie IRL,FWMF,Norwich City,21-012,2001,6.9,1,14,4,28.6,2.02,0.58,0.07,0.25,12.4,0,0,0,2,2,0.14,-1,-1,Matches
219,Kelechi Iheanacho\c92e1a31,Kelechi Iheanacho\c92e1a31,ng NGA,FW,Leicester City,25-171,1996,9.2,2,20,7,35,2.17,0.76,0.1,0.29,17.1,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches
220,Danny Ings\07802f7f,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,29-243,1992,16.9,5,30,11,36.7,1.77,0.65,0.13,0.36,13.8,0,1,1,4.6,3.9,0.13,0.4,0.1,Matches
221,Tim Iroegbunam\84c5ceea,Tim Iroegbunam\84c5ceea,,MF,Aston Villa,,,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
222,Alex Iwobi\6ca5ec4b,Alex Iwobi\6ca5ec4b,ng NGA,MFFW,Everton,25-324,1996,11.6,2,19,6,31.6,1.64,0.52,0.11,0.33,15.5,0,0,0,1.5,1.5,0.08,0.5,0.5,Matches
223,Daniel James\c931d9f9,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,24-133,1997,22.5,4,49,14,28.6,2.18,0.62,0.08,0.29,15.6,0,0,0,5,5,0.1,-1,-1,Matches
224,Daniel James\c931d9f9,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,24-133,1997,1.4,0,4,1,25,2.86,0.71,0,0,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
225,Reece James\1265a93a,Reece James\1265a93a,eng ENG,DF,Chelsea,22-105,1999,13.1,5,23,8,34.8,1.75,0.61,0.22,0.63,19.1,4,0,0,2,2,0.09,3,3,Matches
226,Vitaly Janelt\8449d35e,Vitaly Janelt\8449d35e,de GER,MF,Brentford,23-317,1998,19.8,2,22,9,40.9,1.11,0.45,0.09,0.22,17.9,0,0,0,2,2,0.09,0,0,Matches
227,Pontus Jansson\172e52d8,Pontus Jansson\172e52d8,se SWE,DF,Brentford,31-038,1991,29.9,1,17,7,41.2,0.57,0.23,0.06,0.14,8,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
228,Mathias Jensen\0f134faf,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,26-081,1996,13.6,0,12,5,41.7,0.88,0.37,0,0,25.6,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
229,Gabriel Jesus\b66315ae,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,24-354,1997,14.9,2,41,13,31.7,2.76,0.87,0.05,0.15,13.1,0,0,0,5.3,5.3,0.13,-3.3,-3.3,Matches
230,Raul Jimenez\b561db50,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,30-322,1991,23.9,6,52,13,25,2.17,0.54,0.1,0.38,15.6,1,1,1,6.1,5.6,0.11,-0.1,-0.6,Matches
231,Joelinton\c17bfb65,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,2,34,10,29.4,1.62,0.48,0.06,0.2,16.5,0,0,0,2.7,2.7,0.08,-0.7,-0.7,Matches
232,Ben Johnson\9319781b,Ben Johnson\9319781b,eng ENG,DF,West Ham,22-058,2000,13.4,1,3,1,33.3,0.22,0.07,0.33,1,24.4,0,0,0,0.1,0.1,0.02,0.9,0.9,Matches
233,Curtis Jones\4fb9c88f,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,21-052,2001,7.1,1,12,6,50,1.69,0.85,0.08,0.17,21.3,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches
234,Phil Jones\def899bd,Phil Jones\def899bd,eng ENG,DF,Manchester Utd,30-030,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
235,Jorginho\45db685d,Jorginho\45db685d,it ITA,MF,Chelsea,30-093,1991,20.8,6,8,2,25,0.39,0.1,0,0,28.8,0,6,6,5,0.4,0.05,1,-0.4,Matches
236,Diogo Jota\178ae8f8,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,25-109,1996,19.4,13,66,25,37.9,3.39,1.29,0.2,0.52,11,0,0,0,13,13,0.2,0,0,Matches
237,James Justin\fb614c44,James Justin\fb614c44,eng ENG,DF,Leicester City,24-028,1998,4.1,0,3,1,33.3,0.73,0.24,0,0,11.4,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches
238,Mathias Jorgensen\0db5d2c8,Mathias Jørgensen\0db5d2c8,dk DEN,DF,Brentford,31-334,1990,4.8,1,2,1,50,0.42,0.21,0.5,1,6.9,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
239,Ozan Kabak\2d61d13a,Ozan Kabak\2d61d13a,tr TUR,DF,Norwich City,21-363,2000,10.2,0,4,2,50,0.39,0.2,0,0,15,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
240,Christian Kabasele\914ab9a1,Christian Kabasele\914ab9a1,be BEL,DF,Watford,31-027,1991,5.3,0,3,0,0,0.57,0,0,,13.5,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
241,Samuel Kalu\b8d22478,Samuel Kalu\b8d22478,ng NGA,FWMF,Watford,24-209,1997,0.5,0,1,1,100,1.91,1.91,0,0,28.3,0,0,0,0,0,0.02,0,0,Matches
242,Hassane Kamara\19a12bed,Hassane Kamara\19a12bed,ci CIV,DF,Watford,27-185,1994,10.9,0,3,0,0,0.27,0,0,,27.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
243,Harry Kane\21a66f6a,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,28-238,1993,26.9,12,93,38,40.9,3.46,1.41,0.11,0.26,17.1,8,2,2,14.7,13.2,0.14,-2.7,-3.2,Matches
244,N'Golo Kante\b9fbae28,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,30-359,1991,13.3,2,10,5,50,0.75,0.38,0.2,0.4,17.5,0,0,0,1.2,1.2,0.12,0.8,0.8,Matches
245,Edo Kayembe\f99b71de,Edo Kayembe\f99b71de,cd COD,MF,Watford,23-232,1998,4.6,0,2,0,0,0.43,0,0,,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
246,Moise Kean\3d50bcdb,Moise Kean\3d50bcdb,it ITA,FW,Everton,22-023,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
247,Michael Keane\c5b7c315,Michael Keane\c5b7c315,eng ENG,DF,Everton,29-071,1993,24.5,2,15,4,26.7,0.61,0.16,0.13,0.5,12.5,0,0,0,0.9,0.9,0.06,1.1,1.1,Matches
