,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
47,Johann Berg Gudmundsson\f72293fc,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-147,1990,12.2,19,1.55,14,0,1,1,2,1,2,0.16,2,0,0,0,0,0,Matches
48,Steven Bergwijn\a29b1131,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,24-166,1997,5.5,17,3.08,12,1,2,1,1,0,3,0.54,1,0,1,0,1,0,Matches
49,Ryan Bertrand\01226327,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-230,1989,3.7,2,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Mads Bidstrup\407db0d5,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,21-026,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma\6c203af0,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-205,1996,18.1,20,1.1,12,0,4,1,2,1,3,0.17,2,0,0,0,1,0,Matches
52,Willy Boly\a4ac4b8f,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,31-048,1991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Jarrod Bowen\79c84d1c,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-093,1996,26.2,80,3.06,43,18,7,7,3,2,17,0.65,8,4,2,1,2,0,Matches
54,Jarrad Branthwaite\c1949191,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-269,2002,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Armando Broja\97220da2,Armando Broja\97220da2,al ALB,FW,Southampton,20-194,2001,16.8,31,1.84,13,0,5,5,4,4,3,0.18,0,0,1,0,2,0,Matches
56,Josh Brownhill\47369df8,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-094,1995,22.4,43,1.92,29,8,2,1,1,2,2,0.09,0,1,1,0,0,0,Matches
57,Bryan\7b5ab7f2,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-040,2001,1,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0,Matches
58,Emi Buendia\66b76d44,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,56,3.28,47,2,3,1,3,0,9,0.53,6,0,2,1,0,0,Matches
59,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-318,1992,11.4,5,0.44,4,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
60,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29-318,1992,7,3,0.43,3,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
61,Jack Butland\cc70a1d5,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram\1bf811d4,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-188,1993,3,6,1.99,5,0,0,1,0,0,1,0.33,1,0,0,0,0,0,Matches
63,Willy Caballero\a179d516,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-176,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
