,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
281,Giovani Lo Celso\d7553721,Giovani Lo Celso\d7553721,ar ARG,MFFW,Tottenham,25-348,1996,2.6,0,0,0,5,7,1,1,3,3,0,0,0,19,0,3,0,Matches
282,Jurgen Locadia\6cc47ae1,Jürgen Locadia\6cc47ae1,nl NED,FW,Brighton,28-136,1993,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,Matches
283,Ruben Loftus-Cheek\e97fd090,Ruben Loftus-Cheek\e97fd090,eng ENG,MF,Chelsea,26-059,1996,8.7,1,0,0,16,29,1,4,10,12,0,0,0,100,23,6,79.3,Matches
284,Shane Long\9f472354,Shane Long\9f472354,ie IRL,FWMF,Southampton,35-060,1987,1.6,0,0,0,4,3,1,2,0,2,0,0,0,6,17,15,53.1,Matches
285,Sean Longstaff\a2b105e0,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,24-144,1997,12.2,1,0,0,23,18,0,2,17,29,0,0,0,124,12,9,57.1,Matches
286,Ademola Lookman\7c104bb7,Ademola Lookman\7c104bb7,eng ENG,FWMF,Leicester City,24-154,1997,12.7,2,0,0,21,34,5,19,18,18,0,0,0,90,4,14,22.2,Matches
287,Jonas Lossl\939bc634,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-050,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
288,Imran Louza\e1df6989,Imran Louza\e1df6989,ma MAR,MF,Watford,22-326,1999,11.1,4,0,0,26,13,0,12,27,19,0,0,0,136,5,10,33.3,Matches
289,Matthew Lowton\9a9c05db,Matthew Lowton\9a9c05db,eng ENG,DF,Burnley,32-287,1989,16.8,2,0,0,13,8,0,31,30,22,0,0,0,159,21,22,48.8,Matches
290,Douglas Luiz\6f7d826d,Douglas Luiz\6f7d826d,br BRA,MF,Aston Villa,23-318,1998,22.9,6,0,0,39,41,0,18,51,31,0,0,0,218,29,24,54.7,Matches
291,Romelu Lukaku\5eae500a,Romelu Lukaku\5eae500a,be BEL,FW,Chelsea,28-314,1993,13.5,0,0,0,6,10,9,6,1,1,1,0,0,42,37,39,48.7,Matches
292,Lyanco\b5bf1770,Lyanco\b5bf1770,br BRA,DF,Southampton,25-050,1997,6.1,2,0,0,13,7,0,3,17,8,0,0,0,65,12,9,57.1,Matches
293,Alexis Mac Allister\83d074ff,Alexis Mac Allister\83d074ff,ar ARG,MFFW,Brighton,23-089,1998,14.9,3,0,0,27,29,2,17,19,35,0,0,0,154,20,14,58.8,Matches
294,James Maddison\ee38d9c5,James Maddison\ee38d9c5,eng ENG,MFFW,Leicester City,25-120,1996,19.1,2,0,0,10,55,3,26,12,15,1,0,0,97,5,21,19.2,Matches
295,Harry Maguire\d8931174,Harry Maguire\d8931174,eng ENG,DF,Manchester Utd,29-018,1993,22.7,9,1,1,18,18,1,0,38,16,0,0,1,234,84,30,73.7,Matches
296,Riyad Mahrez\892d5bb1,Riyad Mahrez\892d5bb1,dz ALG,FW,Manchester City,31-030,1991,13.5,0,0,0,9,15,3,41,8,4,0,0,0,84,10,13,43.5,Matches
297,Ainsley Maitland-Niles\e3a5814e,Ainsley Maitland-Niles\e3a5814e,eng ENG,MF,Arsenal,24-206,1997,3,0,0,0,5,2,0,1,3,4,0,0,0,37,5,4,55.6,Matches
298,Sadio Mane\c691bfe2,Sadio Mané\c691bfe2,sn SEN,FW,Liverpool,29-347,1992,24.7,3,0,0,42,48,14,43,14,15,1,0,0,133,23,39,37.1,Matches
299,Javier Manquillo\758dd7f0,Javier Manquillo\758dd7f0,es ESP,DF,Newcastle Utd,27-322,1994,13.3,5,0,0,8,17,1,9,23,24,0,0,0,97,16,13,55.2,Matches
300,Fernando Marcal\9ae9eaea,Fernando Marçal\9ae9eaea,br BRA,DF,Wolves,33-032,1989,14.2,2,0,0,28,12,1,50,27,22,0,1,0,121,25,16,61,Matches
301,Solly March\bb5fbd2b,Solly March\bb5fbd2b,eng ENG,DFFW,Brighton,27-246,1994,13.8,1,0,0,25,21,8,44,24,17,0,0,0,92,14,28,33.3,Matches
302,Pablo Mari\aa54ec6f,Pablo Marí\aa54ec6f,es ESP,DF,Arsenal,28-204,1993,2,1,0,0,1,1,0,0,6,2,0,0,0,17,5,4,55.6,Matches
303,Anthony Martial\8b788c01,Anthony Martial\8b788c01,fr FRA,FW,Manchester Utd,26-108,1995,2.4,0,0,0,1,4,2,5,1,1,0,0,0,5,5,3,62.5,Matches
304,Martinelli\48a5a5d6,Martinelli\48a5a5d6,br BRA,FWMF,Arsenal,20-278,2001,13.8,3,1,1,18,15,9,27,14,15,0,0,0,73,22,42,34.4,Matches
305,Emiliano Martinez\7956236f,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-202,1992,28,4,0,0,0,7,0,0,1,0,0,0,0,134,0,1,0,Matches
306,Adam Masina\de0f152c,Adam Masina\de0f152c,ma MAR,DF,Watford,28-080,1994,9.6,0,0,0,16,2,0,17,20,10,0,1,0,70,26,12,68.4,Matches
307,Arthur Masuaku\57df7a11,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,28-136,1993,6.2,1,0,0,7,3,0,18,16,17,0,0,0,61,13,8,61.9,Matches
308,Jean-Philippe Mateta\50e6dc35,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,24-268,1997,7.2,1,0,0,8,6,10,3,2,3,0,0,0,31,24,28,46.2,Matches
309,Nemanja Matic\eb7822d7,Nemanja Mati?\eb7822d7,rs SRB,MF,Manchester Utd,33-234,1988,10.2,2,0,0,21,6,0,1,18,15,0,0,0,105,25,16,61,Matches
310,Joel Matip\b217ef29,Joël Matip\b217ef29,cm CMR,DF,Liverpool,30-227,1991,23,1,0,0,13,14,0,0,48,23,0,0,0,274,89,38,70.1,Matches
311,Neal Maupay\4bcf39f6,Neal Maupay\4bcf39f6,fr FRA,FW,Brighton,25-221,1996,22.7,6,0,0,31,36,4,3,9,10,0,0,0,106,18,76,19.1,Matches
312,Bryan Mbeumo\6afaebf2,Bryan Mbeumo\6afaebf2,fr FRA,FWMF,Brentford,22-228,1999,24.8,4,0,0,22,26,11,39,16,22,0,0,0,143,27,104,20.6,Matches
313,James McArthur\cee31595,James McArthur\cee31595,sct SCO,MF,Crystal Palace,34-167,1987,12.9,3,0,0,25,18,3,12,24,23,0,0,0,156,20,22,47.6,Matches
314,James Mcatee\96593e89,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,19-156,2002,0.2,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,100,Matches
315,Kasey McAteer\b2c66859,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,20-121,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
316,Liam McCarron\076bb352,Liam McCarron\076bb352,sct SCO,FW,Leeds United,21-016,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
317,Alex McCarthy\36c2ca73,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-110,1989,15,1,0,0,0,1,0,0,0,0,0,0,0,52,0,0,,Matches
318,John McGinn\90f91999,John McGinn\90f91999,sct SCO,MF,Aston Villa,27-156,1994,25.3,7,0,0,51,68,0,46,42,42,0,0,0,215,18,11,62.1,Matches
319,Stuart McKinstry\1000a059,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,19-186,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
320,Kenny McLean\471f16b3,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,30-074,1992,26.3,2,0,0,19,39,3,22,42,23,0,1,0,191,75,58,56.4,Matches
321,Dwight McNeil\fc15fb84,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,22-121,1999,26,1,0,0,16,36,1,87,54,26,0,0,0,211,12,20,37.5,Matches
322,Scott McTominay\d93c2511,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,25-105,1996,20.9,8,0,0,39,37,1,7,37,30,0,1,0,236,55,29,65.5,Matches
323,Ben Mee\8df7a2fb,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,32-181,1989,20.4,3,0,0,14,8,2,3,34,16,0,0,1,243,93,36,72.1,Matches
324,Benjamin Mendy\5271c8f1,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,27-249,1994,0.9,0,0,0,3,0,0,4,0,1,0,0,0,7,2,2,50,Matches
325,Edouard Mendy\33887998,Edouard Mendy\33887998,sn SEN,GK,Chelsea,30-022,1992,24,3,0,0,1,1,0,0,0,0,0,1,0,90,0,0,,Matches
326,Nampalys Mendy\1598599e,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,29-273,1992,1.8,0,0,0,5,4,0,0,4,2,0,0,0,13,0,2,0,Matches
327,Illan Meslier\6b625ac2,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,22-021,2000,29.6,2,0,0,0,9,0,0,0,0,0,0,0,126,0,0,,Matches
328,Luka Milivojevic\2ce2508a,Luka Milivojevi?\2ce2508a,rs SRB,MF,Crystal Palace,30-350,1991,7.2,1,0,0,13,10,0,14,7,8,0,1,1,80,13,6,68.4,Matches
329,James Milner\2f90f6b8,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,36-078,1986,7.1,2,0,0,14,14,0,16,19,17,0,0,0,87,9,8,52.9,Matches
330,Yerry Mina\6d5701f2,Yerry Mina\6d5701f2,co COL,DF,Everton,27-181,1994,7.2,2,0,0,6,4,1,2,5,9,0,0,0,67,31,14,68.9,Matches
331,Takumi Minamino\f833a830,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,27-066,1995,1.1,1,0,0,4,3,0,0,0,2,0,0,0,6,2,3,40,Matches
332,Tyrone Mings\8397a50c,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,29-010,1993,26.4,9,0,0,25,20,1,3,61,15,0,1,0,245,71,41,63.4,Matches
333,Tyrick Mitchell\5cbd1eb0,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,22-203,1999,28.9,0,0,0,19,15,2,47,68,48,1,0,0,261,25,33,43.1,Matches
334,Jakub Moder\f230bc30,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,22-350,1999,18.8,1,0,0,23,11,0,28,22,29,0,0,0,146,23,41,35.9,Matches
335,Wesley Moraes\bfae110f,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,25-117,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,50,Matches
336,Tyler Morton\2bc28bb9,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,19-143,2002,0.7,1,0,0,1,0,0,0,2,0,0,0,0,13,3,3,50,Matches
337,Mason Mount\9674002f,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,23-072,1999,18.5,2,0,0,29,19,4,50,14,17,0,0,0,97,7,24,22.6,Matches
338,Lucas Moura\2b622f01,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,29-222,1992,17.1,3,0,0,24,46,2,19,18,11,0,0,0,127,45,26,63.4,Matches
339,Joao Moutinho\f5a00fa4,João Moutinho\f5a00fa4,pt POR,MF,Wolves,35-196,1986,25.1,2,0,0,43,21,0,22,45,44,0,1,0,265,12,23,34.3,Matches
340,Bali Mumba\2d760d7b,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,20-166,2001,0.5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,Matches
341,Jacob Murphy\de112b84,Jacob Murphy\de112b84,eng ENG,DFFW,Newcastle Utd,27-027,1995,13.5,4,0,0,21,16,1,43,29,16,0,1,0,110,11,30,26.8,Matches
342,Enock Mwepu\1d5cab82,Enock Mwepu\1d5cab82,zm ZAM,MF,Brighton,24-081,1998,7.1,1,0,0,17,9,2,4,9,10,1,1,0,65,7,26,21.2,Matches
343,Vitaliy Mykolenko\30d4a2e5,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,22-298,1999,2,0,0,0,2,4,0,5,5,3,0,0,0,17,2,3,40,Matches
344,Marvelous Nakamba\de5b5570,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,28-063,1994,8.4,4,0,0,18,10,0,1,18,16,0,0,0,93,7,9,43.8,Matches
345,Wilfred Ndidi\6b47c5db,Wilfred Ndidi\6b47c5db,ng NGA,MFDF,Leicester City,25-097,1996,18,4,0,0,34,26,1,2,45,47,0,2,0,248,56,34,62.2,Matches
346,Tanguy Ndombele\5cdddffa,Tanguy Ndombele\5cdddffa,fr FRA,MF,Tottenham,25-085,1996,5.4,1,0,0,5,12,0,2,3,10,0,0,0,37,2,3,40,Matches
347,Reiss Nelson\c5bdb6e3,Reiss Nelson\c5bdb6e3,eng ENG,FW,Arsenal,22-103,1999,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
348,Pedro Neto\7ba2eaa9,Pedro Neto\7ba2eaa9,pt POR,MFFW,Wolves,22-014,2000,1.5,0,0,0,0,3,1,4,3,4,0,0,0,10,1,2,33.3,Matches
349,Ruben Neves\44bfb6c5,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,25-010,1997,25.2,9,0,0,31,17,1,19,49,41,0,0,0,273,24,22,52.2,Matches
350,Jeremy Ngakia\3631ad41,Jeremy Ngakia\3631ad41,eng ENG,DF,Watford,21-197,2000,7,0,0,0,10,4,0,10,21,19,0,0,0,61,17,16,51.5,Matches
351,Saul Niguez\c14bc029,Saúl Ñíguez\c14bc029,es ESP,DFMF,Chelsea,27-122,1994,3.8,1,0,0,10,0,0,5,12,5,0,0,0,34,5,10,33.3,Matches
352,Eddie Nketiah\a53649b7,Eddie Nketiah\a53649b7,eng ENG,FWMF,Arsenal,22-297,1999,1.4,1,0,0,11,0,1,2,2,3,0,0,0,10,0,13,0,Matches
353,Nicolas Nkoulou\93cf32a8,Nicolas Nkoulou\93cf32a8,cm CMR,DF,Watford,31-361,1990,1.9,0,0,0,1,0,0,0,1,0,0,0,0,13,1,1,50,Matches
354,Mark Noble\ff527768,Mark Noble\ff527768,eng ENG,MF,West Ham,34-319,1987,1.4,0,0,0,3,3,0,0,1,1,0,0,0,16,0,0,,Matches
355,Mathias Normann\8996350d,Mathias Normann\8996350d,no NOR,MF,Norwich City,25-299,1996,11.9,4,0,0,28,18,1,9,20,18,0,1,0,123,19,11,63.3,Matches
356,Christian Norgaard\df0a4c90,Christian Nørgaard\df0a4c90,dk DEN,MF,Brentford,28-013,1994,28.2,7,0,0,61,34,0,10,77,72,0,0,0,371,49,56,46.7,Matches
357,Angelo Ogbonna\74b2cd7e,Angelo Ogbonna\74b2cd7e,it ITA,DF,West Ham,33-304,1988,10.2,1,0,0,5,3,0,0,13,8,0,0,0,78,26,12,68.4,Matches
358,Michael Olise\c4486bac,Michael Olise\c4486bac,fr FRA,FWMF,Crystal Palace,20-101,2001,10.8,3,0,0,17,29,0,40,11,12,0,0,0,85,9,17,34.6,Matches
359,Andrew Omobamidele\c393a6c4,Andrew Omobamidele\c393a6c4,ie IRL,DF,Norwich City,19-273,2002,4.2,1,0,0,5,5,0,0,10,3,0,0,0,51,6,10,37.5,Matches
360,Tyler Onyango\d86a1f3e,Tyler Onyango\d86a1f3e,eng ENG,MFFW,Everton,19-019,2003,0.3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,50,Matches
361,Frank Onyeka\2944f86f,Frank Onyeka\2944f86f,ng NGA,MF,Brentford,24-081,1998,11.6,4,0,0,43,27,0,7,15,16,1,0,0,95,15,25,37.5,Matches
362,Divock Origi\43a166b4,Divock Origi\43a166b4,be BEL,FW,Liverpool,26-339,1995,0.8,0,0,0,0,1,0,0,2,0,0,0,0,4,1,1,50,Matches
363,Alex Oxlade-Chamberlain\38c7feef,Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,Liverpool,28-220,1993,8.7,0,0,0,12,7,2,22,8,14,0,0,0,65,5,12,29.4,Matches
364,Cole Palmer\dc7f8a28,Cole Palmer\dc7f8a28,eng ENG,FWMF,Manchester City,19-321,2002,1.4,0,0,0,2,1,0,4,2,2,0,0,0,7,2,0,100,Matches
365,Emerson Palmieri\e0bc6fdc,Emerson Palmieri\e0bc6fdc,it ITA,DF,Chelsea,27-232,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
366,Thomas Partey\529f49ab,Thomas Partey\529f49ab,gh GHA,MF,Arsenal,28-283,1993,21.7,5,0,0,36,21,0,2,31,41,0,0,0,219,22,26,45.8,Matches
367,Joao Pedro\e8832875,João Pedro\e8832875,br BRA,FWMF,Watford,20-178,2001,11.3,1,0,0,11,25,2,15,12,9,0,0,0,83,42,57,42.4,Matches
368,Nicolas Pepe\57e3f0c7,Nicolas Pépé\57e3f0c7,ci CIV,FWMF,Arsenal,26-298,1995,6.7,0,0,0,12,5,3,8,9,8,0,0,0,54,16,29,35.6,Matches
369,Ricardo Pereira\75a72a99,Ricardo Pereira\75a72a99,pt POR,DF,Leicester City,28-168,1993,9.8,3,0,0,6,17,0,15,22,22,0,0,0,68,18,10,64.3,Matches
370,Ayoze Perez\819aa8e7,Ayoze Pérez\819aa8e7,es ESP,FWMF,Leicester City,28-243,1993,2.4,0,1,0,3,3,0,3,2,2,0,0,0,10,6,8,42.9,Matches
371,Sonny Perkins\87f12e30,Sonny Perkins\87f12e30,eng ENG,FW,West Ham,18-041,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
372,Romain Perraud\6dfd8f05,Romain Perraud\6dfd8f05,fr FRA,DF,Southampton,24-182,1997,13.4,2,0,0,30,16,0,34,16,15,0,0,0,95,14,23,37.8,Matches
373,Kalvin Phillips\4f565d77,Kalvin Phillips\4f565d77,eng ENG,MF,Leeds United,26-111,1995,11.1,2,0,0,29,15,0,5,23,27,0,0,0,137,15,15,50,Matches
374,Jaden Philogene Bidace\19f4d211,Jaden Philogene Bidace\19f4d211,eng ENG,FW,Aston Villa,19-309,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
375,Jordan Pickford\4806ec67,Jordan Pickford\4806ec67,eng ENG,GK,Everton,28-016,1994,25,1,0,0,0,4,0,0,0,0,0,0,0,108,0,0,,Matches
376,Erik Pieters\1ef37668,Erik Pieters\1ef37668,nl NED,DF,Burnley,33-228,1988,7.9,1,0,0,16,5,0,5,22,15,0,0,0,73,13,11,54.2,Matches
377,Ethan Pinnock\e541326e,Ethan Pinnock\e541326e,jm JAM,DF,Brentford,28-298,1993,27.7,1,0,0,10,18,1,27,49,37,0,0,0,320,145,68,68.1,Matches
378,Daniel Podence\7fcc71d8,Daniel Podence\7fcc71d8,pt POR,FWMF,Wolves,26-153,1995,15.6,2,0,0,10,28,3,33,6,8,0,0,0,82,2,22,8.3,Matches
379,Paul Pogba\867239d3,Paul Pogba\867239d3,fr FRA,MFFW,Manchester Utd,29-008,1993,12.6,6,1,0,41,34,0,15,17,12,0,0,0,110,36,23,61,Matches
380,Nick Pope\4b40d9ca,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-338,1992,25,0,0,0,0,3,0,0,0,0,0,0,0,123,0,0,,Matches
381,Teemu Pukki\0745b37d,Teemu Pukki\0745b37d,fi FIN,FW,Norwich City,31-359,1990,27.2,4,0,0,36,24,9,19,16,9,1,0,0,98,13,88,12.9,Matches
382,Christian Pulisic\1bf33a9a,Christian Pulisic\1bf33a9a,us USA,MFFW,Chelsea,23-186,1998,10.5,2,0,0,11,27,4,11,6,4,0,0,0,56,12,30,28.6,Matches
383,Przemys?aw P?acheta\3c33f9d9,Przemys?aw P?acheta\3c33f9d9,pl POL,FWMF,Norwich City,24-000,1998,4.9,1,0,0,2,5,0,10,8,3,0,0,0,31,3,10,23.1,Matches
384,Jesuran Rak Sakyi\45685411,Jesuran Rak Sakyi\45685411,eng ENG,MF,Crystal Palace,19-169,2002,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
385,Aaron Ramsdale\466fb2c5,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-313,1998,24,1,0,0,0,5,0,0,0,0,0,0,0,132,0,0,,Matches
386,Jacob Ramsey\1544f145,Jacob Ramsey\1544f145,eng ENG,MF,Aston Villa,20-299,2001,21.4,5,0,0,28,43,1,13,27,33,0,0,0,143,19,26,42.2,Matches
387,Marcus Rashford\a1d5bd30,Marcus Rashford\a1d5bd30,eng ENG,FWMF,Manchester Utd,24-143,1997,10.4,2,0,0,8,20,10,22,8,4,0,0,0,49,13,22,37.1,Matches
388,Milot Rashica\6c6a3300,Milot Rashica\6c6a3300,xk KVX,FWMF,Norwich City,25-268,1996,18,0,0,0,24,42,11,65,25,14,0,0,0,108,13,27,32.5,Matches
389,David Raya\98ea5115,David Raya\98ea5115,es ESP,GK,Brentford,26-189,1995,16,0,0,0,0,2,0,0,0,0,0,0,0,88,0,0,,Matches
390,Nathan Redmond\ab651565,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,28-017,1994,15.1,0,0,0,14,15,2,37,18,7,0,0,0,97,12,37,24.5,Matches
391,Sergio Reguilon\3353737a,Sergio Reguilón\3353737a,es ESP,DF,Tottenham,25-097,1996,19.5,4,0,0,23,23,1,59,41,24,0,0,0,135,29,23,55.8,Matches
392,Declan Rice\1c7012b8,Declan Rice\1c7012b8,eng ENG,MF,West Ham,23-068,1999,28,7,0,0,32,17,0,27,84,45,0,0,0,299,38,21,64.4,Matches
393,Taylor Richards\e0243d23,Taylor Richards\e0243d23,eng ENG,MFFW,Brighton,21-109,2000,0.3,0,0,0,2,2,0,0,0,0,0,0,0,5,0,1,0,Matches
394,Richarlison\fa031b34,Richarlison\fa031b34,br BRA,FWMF,Everton,24-317,1997,18.2,6,0,0,29,53,16,11,13,17,0,0,0,96,31,109,22.1,Matches
395,Jairo Riedewald\7a1f2c08,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,25-195,1996,1.3,0,0,0,1,0,0,0,0,2,0,0,0,12,0,2,0,Matches
396,Matt Ritchie\71ef519e,Matt Ritchie\71ef519e,sct SCO,DF,Newcastle Utd,32-194,1989,14.6,5,0,0,12,10,0,44,29,7,0,0,0,115,14,21,40,Matches
397,Connor Roberts\24fae784,Connor Roberts\24fae784,wls WAL,DF,Burnley,26-181,1995,10.2,1,0,0,5,16,1,14,18,7,0,0,0,97,15,12,55.6,Matches
398,Tyler Roberts\6c17e046,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,23-070,1999,11,5,0,0,19,25,3,16,7,7,0,0,0,63,10,26,27.8,Matches
399,Andrew Robertson\2e4f5f03,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,28-012,1994,21.5,4,1,0,18,9,4,77,39,10,0,0,0,200,25,11,69.4,Matches
400,Joe Rodon\8d62d31a,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,24-152,1997,0.9,0,0,0,0,1,0,0,2,0,0,0,0,3,1,2,33.3,Matches
401,Rodri\6434f10d,Rodri\6434f10d,es ESP,MF,Manchester City,25-274,1996,23.4,5,0,0,42,26,0,5,32,40,0,0,0,289,64,25,71.9,Matches
402,Rodrigo\1fb1c435,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,31-017,1991,18.1,8,0,0,16,24,4,24,13,17,0,0,0,102,17,33,34,Matches
403,Jay Rodriguez\4ab53cdb,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32-237,1989,10.5,3,0,0,23,15,11,3,4,5,0,0,0,41,46,58,44.2,Matches
404,Mads Roerslev\57c94db2,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22-272,1999,10.5,1,0,0,16,7,2,15,19,7,0,1,0,67,12,25,32.4,Matches
405,Cristian Romero\a3d94a58,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23-330,1998,14.5,8,0,0,23,14,2,1,42,30,0,1,0,141,35,23,60.3,Matches
406,Oriol Romeu\4b511457,Oriol Romeu\4b511457,es ESP,MF,Southampton,30-180,1991,25.7,8,0,0,47,20,0,6,49,41,0,0,0,333,54,45,54.5,Matches
407,Cristiano Ronaldo\dea698d9,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,37-046,1985,21.3,5,0,0,12,23,26,11,3,6,1,0,0,86,35,48,42.2,Matches
408,Salomon Rondon\b318a643,Salomón Rondón\b318a643,ve VEN,FW,Everton,32-188,1989,7.9,2,0,0,11,3,5,3,4,2,0,0,0,34,38,56,40.4,Matches
409,Danny Rose\89d10e53,Danny Rose\89d10e53,eng ENG,DF,Watford,31-264,1990,7.7,4,0,0,12,16,0,15,15,15,0,1,0,51,4,6,40,Matches
410,Jon Rowe\8c12f884,Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,18-327,2003,1.2,0,0,0,2,5,1,3,3,2,0,0,0,7,1,7,12.5,Matches
411,Antonio Rudiger\18b896d6,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,29-020,1993,26,6,0,0,29,13,0,12,32,21,2,0,0,209,54,24,69.2,Matches
412,Lukas Rupp\3faa1780,Lukas Rupp\3faa1780,de GER,MF,Norwich City,31-074,1991,6.5,0,0,0,8,10,0,3,16,7,0,0,0,76,4,7,36.4,Matches
413,Jose Sa\903b6e8b,José Sá\903b6e8b,pt POR,GK,Wolves,29-065,1993,30,3,0,0,1,10,0,0,0,0,0,1,1,178,0,0,,Matches
414,Allan Saint-Maximin\2b16cb1a,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,25-011,1997,22.7,4,0,0,13,58,10,51,17,5,0,0,0,134,15,24,38.5,Matches
415,Romain Saiss\9fbbcf39,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,31-362,1990,27.4,5,0,0,30,17,3,7,72,33,0,0,0,238,78,39,66.7,Matches
416,Bukayo Saka\bc7dc64d,Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,20-199,2001,23.7,4,0,0,25,58,13,57,20,17,0,0,0,142,20,43,31.7,Matches
417,Mohamed Salah\e342ad68,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29-281,1992,25.1,1,0,0,9,21,12,42,13,4,2,0,0,146,10,35,22.2,Matches
418,Mohammed Salisu\0b33f6ad,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22-340,1999,26,10,1,1,41,10,1,16,71,45,0,0,0,320,104,54,65.8,Matches
419,Albert Sambi Lokonga\1b4f1169,Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,22-152,1999,10.1,4,0,0,13,13,0,3,19,12,0,0,0,99,15,19,44.1,Matches
420,Davinson Sanchez\da7b447d,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25-284,1996,14.8,4,0,0,14,12,1,2,25,18,0,0,0,124,47,34,58,Matches
421,Robert Sanchez\6a713852,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-125,1997,28,2,1,0,0,2,0,0,0,0,0,0,0,116,0,0,,Matches
422,Jadon Sancho\dbf053da,Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,21-363,2000,16.6,0,0,0,6,6,6,25,15,8,0,0,0,118,2,15,11.8,Matches
423,Morgan Sanson\6e7f1353,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,27-217,1994,3.2,0,0,0,5,14,0,5,11,6,0,0,0,29,2,2,50,Matches
