,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
75,Calum Chambers\dc6f5bdd,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-062,1995,1.9,0,0,0,1,1,0,2,3,1,0,0,0,14,3,2,60,Matches
76,Calum Chambers\dc6f5bdd,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-062,1995,5,0,0,0,7,2,0,1,3,6,0,0,0,54,15,16,48.4,Matches
77,Daniel Chesters\240c8ab6,Daniel Chesters\240c8ab6,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
78,Ben Chilwell\d2424d1b,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-092,1996,6,0,0,0,10,18,2,10,6,5,0,1,0,42,8,11,42.1,Matches
79,Chiquinho\dc6c2f02,Chiquinho\dc6c2f02,pt POR,MFDF,Wolves,22-046,2000,0.6,0,0,0,7,2,0,7,0,2,0,0,0,6,2,0,100,Matches
80,Hamza Choudhury\7d2d3329,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,24-173,1997,3.2,1,0,0,6,7,0,0,15,2,0,0,0,24,14,1,93.3,Matches
81,Andreas Christensen\1cb49278,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-347,1996,14.1,2,0,0,10,6,0,1,52,11,0,0,0,142,51,36,58.6,Matches
82,Carney Chukwuemeka\b2f9c73e,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,0,0,0,1,6,0,0,3,1,0,0,0,19,5,10,33.3,Matches
83,Ciaran Clark\2b91cf8e,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,2,1,0,6,7,1,3,15,13,0,1,0,86,34,15,69.4,Matches
84,Tom Cleverley\6cdd8245,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-223,1989,15.2,2,0,0,30,15,2,16,23,20,0,0,0,120,15,35,30,Matches
85,Nathaniel Clyne\0442183b,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-352,1991,6,1,0,0,2,3,0,4,20,7,0,0,0,38,5,4,55.6,Matches
86,Conor Coady\2928dca2,Conor Coady\2928dca2,eng ENG,DF,Wolves,29-026,1993,29.8,2,0,0,17,3,1,2,32,17,0,0,0,183,34,22,60.7,Matches
87,Seamus Coleman\0420d84f,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-163,1988,21.6,2,0,0,13,15,2,37,41,31,1,0,0,203,27,26,50.9,Matches
88,Nathan Collins\a8c19eb8,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-327,2001,8.6,1,1,0,10,7,2,0,21,13,0,0,0,114,43,21,67.2,Matches
89,Aaron Connolly\27c01749,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-054,2000,1.7,0,0,0,1,7,0,1,0,0,0,0,0,7,0,7,0,Matches
90,Liam Cooper\dc64b8b3,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-205,1991,14.2,4,0,0,13,9,2,1,26,13,0,1,0,157,62,29,68.1,Matches
91,Jack Cork\74e12f1e,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-271,1989,9.8,2,0,0,29,4,0,3,19,4,0,0,0,90,18,22,45,Matches
92,Maxwel Cornet\beb391dd,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-177,1996,12.2,2,0,0,15,16,17,12,8,8,0,0,0,70,25,48,34.2,Matches
93,Helder Costa\f13d02a6,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-070,1994,0.2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,Matches
94,Vladimir Coufal\fdf3cb77,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-213,1992,18.7,4,1,1,22,17,2,63,27,19,0,0,0,222,33,31,51.6,Matches
95,Philippe Coutinho\0ef89a37,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,29-284,1992,8.6,0,0,0,6,9,2,10,4,6,0,0,0,50,3,15,16.7,Matches
96,Aaron Cresswell\4f974391,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-098,1989,22.3,1,0,0,16,10,2,46,34,15,0,1,0,184,27,21,56.3,Matches
97,Charlie Cresswell\4654e5f5,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-106,2002,1.6,1,0,0,3,2,1,0,4,3,0,0,0,17,7,3,70,Matches
98,Cucho\71b47ab9,Cucho\71b47ab9,co COL,FWMF,Watford,22-337,1999,11.3,2,0,0,16,12,0,23,8,5,0,0,1,82,34,45,43,Matches
99,Marc Cucurella\1daec722,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-244,1998,25.3,4,0,0,25,23,3,71,48,40,0,0,0,258,37,33,52.9,Matches
100,Luke Cundle\cc3b8e78,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-331,2002,0.9,0,0,0,3,1,0,0,2,1,0,0,0,8,0,1,0,Matches
101,Patson Daka\ca45605e,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,23-165,1998,8.5,1,0,0,15,9,6,2,1,5,0,0,0,42,18,37,32.7,Matches
102,Stuart Dallas\67ca8566,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-338,1991,28.9,5,0,0,31,35,1,40,68,37,0,1,0,244,33,30,52.4,Matches
103,Diogo Dalot\d9565625,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,23-005,1999,12.1,2,0,0,13,4,0,31,28,17,0,0,0,114,27,15,64.3,Matches
104,Karl Darlow\cde3309f,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-166,1990,8,1,0,0,1,2,0,0,0,0,0,1,0,31,0,0,,Matches
