,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
98,Cucho,,co COL,FWMF,Watford,22-337,1999,11.3,12,5,6,5,1,3,28,10.7,25,229,54,23.6,58,99,72,11,0,0,11,8,20,9,0,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-244,1998,25.3,60,40,22,32,6,33,55,60,22,401,145,36.2,154,173,74,53,9,2,44,48,108,48,0,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-331,2002,0.9,1,1,0,1,0,1,1,100,0,19,1,5.3,7,10,2,0,0,0,0,2,3,1,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-165,1998,8.5,9,5,2,4,3,0,6,0,6,143,42,29.4,12,69,62,4,0,0,4,1,10,6,0,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-338,1991,28.9,77,37,50,22,5,43,102,42.2,59,456,143,31.4,229,178,49,54,15,0,39,68,145,64,0,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-005,1999,12.1,32,17,17,9,6,16,25,64,9,137,43,31.4,56,55,26,15,3,1,12,28,60,38,0,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-166,1990,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-151,1998,1.5,3,1,1,1,1,1,1,100,0,31,4,12.9,11,15,5,8,1,0,7,2,5,5,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-333,1993,19.3,34,15,15,13,6,9,24,37.5,15,205,69,33.7,105,69,31,26,10,2,16,29,63,58,0,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-266,1998,1.8,4,2,1,2,1,1,4,25,3,40,12,30,15,16,9,3,0,0,3,4,8,3,0,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-038,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-321,1990,23.9,23,13,15,8,0,8,21,38.1,13,156,47,30.1,93,54,9,44,36,0,8,24,47,110,1,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-268,1991,17.1,17,10,3,9,5,8,34,23.5,26,261,75,28.7,35,110,116,30,2,0,28,9,26,12,0,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-267,1988,0.3,0,0,0,0,0,0,1,0,1,7,2,28.6,1,2,4,0,0,0,0,0,0,3,0,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-043,2003,0.1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-122,1989,2.8,10,6,3,7,0,4,11,36.4,7,62,15,24.2,17,39,6,3,0,0,3,13,23,4,0,Matches
114,Leander Dendoncker,,be BEL,MFFW,Wolves,26-342,1995,15.7,33,17,17,16,0,12,28,42.9,16,330,89,27,135,157,38,39,11,0,28,21,54,28,0,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-128,1997,24.2,35,21,22,8,5,9,36,25,27,483,120,24.8,107,209,167,30,2,0,28,18,53,8,0,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-198,1998,13.7,25,16,17,5,3,9,24,37.5,15,281,67,23.8,120,106,55,31,8,0,23,24,49,24,1,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-015,1999,8.4,20,13,10,6,4,5,18,27.8,13,166,51,30.7,54,82,30,6,0,0,6,10,30,7,0,Matches
118,Raphael Dias Belloli,,br BRA,MFFW,Leeds United,25-099,1996,25,43,19,20,16,7,16,50,32,34,387,95,24.5,92,166,129,45,0,0,45,36,79,17,0,Matches
