,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
293,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-089,1998,14.9,51,35,19,22,10,19,49,38.8,30,371,132,35.6,114,167,90,30,4,0,26,19,70,14,0,Matches
294,James Maddison,,eng ENG,MFFW,Leicester City,25-120,1996,19.1,27,15,5,14,8,5,23,21.7,18,325,79,24.3,78,162,85,18,2,0,16,12,39,5,0,Matches
295,Harry Maguire,,eng ENG,DF,Manchester Utd,29-018,1993,22.7,29,16,20,8,1,11,23,47.8,12,140,48,34.3,98,40,2,37,28,0,9,38,67,107,0,Matches
296,Riyad Mahrez,,dz ALG,FW,Manchester City,31-030,1991,13.5,6,4,1,2,3,2,12,16.7,10,149,43,28.9,26,63,60,14,1,0,13,8,14,1,0,Matches
297,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-206,1997,3,7,4,4,2,1,1,4,25,3,54,17,31.5,19,25,10,5,1,0,4,3,10,4,0,Matches
298,Sadio Mane,,sn SEN,FW,Liverpool,29-347,1992,24.7,27,15,6,10,11,6,20,30,14,349,108,30.9,47,160,142,29,4,0,25,14,41,9,0,Matches
299,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-322,1994,13.3,40,24,26,10,4,19,35,54.3,16,168,55,32.7,94,46,28,28,6,0,22,23,63,27,0,Matches
300,Fernando Marcal,,br BRA,DF,Wolves,33-032,1989,14.2,36,22,24,9,3,16,31,51.6,15,217,63,29,114,74,29,37,3,0,34,27,63,50,0,Matches
301,Solly March,,eng ENG,DFFW,Brighton,27-246,1994,13.8,27,17,11,6,10,7,16,43.8,9,198,62,31.3,55,62,81,20,1,0,19,24,51,18,0,Matches
302,Pablo Mari,,es ESP,DF,Arsenal,28-204,1993,2,6,2,2,3,1,4,8,50,4,19,4,21.1,9,8,2,6,4,0,2,6,12,11,0,Matches
303,Anthony Martial,,fr FRA,FW,Manchester Utd,26-108,1995,2.4,1,1,0,0,1,0,1,0,1,28,11,39.3,6,9,13,3,0,0,3,1,2,2,0,Matches
304,Martinelli,,br BRA,FWMF,Arsenal,20-278,2001,13.8,24,15,8,11,5,6,18,33.3,12,227,65,28.6,41,71,115,26,3,0,23,14,38,10,0,Matches
305,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-202,1992,28,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,1,1,1,Matches
306,Adam Masina,,ma MAR,DF,Watford,28-080,1994,9.6,20,10,8,11,1,8,23,34.8,15,138,39,28.3,61,59,18,23,4,0,19,20,40,37,0,Matches
307,Arthur Masuaku,,cd COD,DFFW,West Ham,28-136,1993,6.2,29,17,16,11,2,11,20,55,9,100,36,36,49,42,9,10,1,0,9,16,45,15,0,Matches
308,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-268,1997,7.2,4,3,1,3,0,2,10,20,8,148,30,20.3,19,85,44,5,2,0,3,2,6,12,0,Matches
309,Nemanja Matic,,rs SRB,MF,Manchester Utd,33-234,1988,10.2,20,15,12,7,1,7,22,31.8,15,144,42,29.2,59,76,9,21,5,0,16,18,38,22,1,Matches
310,Joel Matip,,cm CMR,DF,Liverpool,30-227,1991,23,30,23,12,13,5,10,17,58.8,7,148,60,40.5,74,58,16,32,14,1,18,48,78,93,1,Matches
311,Neal Maupay,,fr FRA,FW,Brighton,25-221,1996,22.7,17,10,3,9,5,5,14,35.7,9,458,131,28.6,36,169,253,21,3,0,18,9,26,3,0,Matches
312,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-228,1999,24.8,32,22,3,14,15,5,14,35.7,9,377,96,25.5,55,165,157,32,4,0,28,16,48,15,0,Matches
313,James McArthur,,sct SCO,MF,Crystal Palace,34-167,1987,12.9,32,23,16,15,1,15,37,40.5,22,307,105,34.2,99,166,42,30,8,0,22,24,56,31,0,Matches
314,James Mcatee,,eng ENG,MFFW,Manchester City,19-156,2002,0.2,0,0,0,0,0,0,2,0,2,9,2,22.2,2,0,7,0,0,0,0,1,1,0,0,Matches
315,Kasey McAteer,,eng ENG,FW,Leicester City,20-121,2001,0,0,0,0,0,0,0,0,,0,4,1,25,0,2,2,0,0,0,0,0,0,0,0,Matches
316,Liam McCarron,,sct SCO,FW,Leeds United,21-016,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,Matches
317,Alex McCarthy,,eng ENG,GK,Southampton,32-110,1989,15,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
318,John McGinn,,sct SCO,MF,Aston Villa,27-156,1994,25.3,76,42,28,35,13,32,74,43.2,42,391,125,32,115,202,74,40,3,0,37,42,118,32,0,Matches
319,Stuart McKinstry,,sct SCO,MF,Leeds United,19-186,2002,0,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,Matches
320,Kenny McLean,,sct SCO,MF,Norwich City,30-074,1992,26.3,39,23,14,23,2,16,57,28.1,41,439,97,22.1,175,202,62,24,4,0,20,42,81,45,0,Matches
321,Dwight McNeil,,eng ENG,MF,Burnley,22-121,1999,26,53,26,20,28,5,17,62,27.4,45,522,133,25.5,184,220,118,64,10,2,54,54,107,15,0,Matches
322,Scott McTominay,,sct SCO,MF,Manchester Utd,25-105,1996,20.9,61,30,34,22,5,30,61,49.2,31,380,106,27.9,139,200,41,41,9,0,32,37,98,51,0,Matches
323,Ben Mee,,eng ENG,DF,Burnley,32-181,1989,20.4,27,16,15,9,3,11,22,50,11,109,39,35.8,61,42,6,39,25,1,14,34,61,124,0,Matches
324,Benjamin Mendy,,fr FRA,DF,Manchester City,27-249,1994,0.9,3,1,1,1,1,2,4,50,2,12,2,16.7,3,8,1,0,0,0,0,0,3,3,0,Matches
325,Edouard Mendy,,sn SEN,GK,Chelsea,30-022,1992,24,0,0,0,0,0,0,2,0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,0,3,Matches
326,Nampalys Mendy,,sn SEN,MF,Leicester City,29-273,1992,1.8,4,2,2,2,0,2,3,66.7,1,22,6,27.3,10,8,4,2,2,0,0,4,8,1,0,Matches
327,Illan Meslier,,fr FRA,GK,Leeds United,22-021,2000,29.6,0,0,0,0,0,0,0,,0,5,2,40,5,0,0,0,0,0,0,0,0,2,1,Matches
328,Luka Milivojevic,,rs SRB,MF,Crystal Palace,30-350,1991,7.2,16,8,8,6,2,10,17,58.8,7,109,36,33,46,50,13,7,1,0,6,7,23,17,0,Matches
329,James Milner,,eng ENG,MFDF,Liverpool,36-078,1986,7.1,27,17,12,12,3,13,32,40.6,19,127,54,42.5,29,73,25,13,4,0,9,19,46,20,0,Matches
330,Yerry Mina,,co COL,DF,Everton,27-181,1994,7.2,14,9,14,0,0,7,12,58.3,5,59,23,39,41,15,3,14,7,0,7,5,19,36,0,Matches
331,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-066,1995,1.1,2,2,1,1,0,1,6,16.7,5,40,18,45,3,23,14,1,0,0,1,0,2,0,0,Matches
332,Tyrone Mings,,eng ENG,DF,Aston Villa,29-010,1993,26.4,27,15,18,7,2,8,16,50,8,143,42,29.4,79,47,17,53,26,3,27,61,88,126,2,Matches
333,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-203,1999,28.9,97,48,66,24,7,40,58,69,18,582,189,32.5,340,165,77,64,5,0,59,68,165,77,1,Matches
334,Jakub Moder,,pl POL,MFFW,Brighton,22-350,1999,18.8,42,29,19,14,9,18,40,45,22,362,116,32,118,135,109,30,1,0,29,22,64,25,1,Matches
335,Wesley Moraes,,br BRA,FW,Aston Villa,25-117,1996,0,0,0,0,0,0,0,0,,0,2,1,50,1,0,1,0,0,0,0,0,0,0,0,Matches
336,Tyler Morton,,eng ENG,MF,Liverpool,19-143,2002,0.7,0,0,0,0,0,0,2,0,2,12,4,33.3,1,9,2,0,0,0,0,2,2,0,0,Matches
337,Mason Mount,,eng ENG,MFFW,Chelsea,23-072,1999,18.5,29,17,9,10,10,8,28,28.6,20,364,108,29.7,64,138,162,15,0,0,15,14,43,8,0,Matches
338,Lucas Moura,,br BRA,FWMF,Tottenham,29-222,1992,17.1,22,11,3,13,6,4,24,16.7,20,248,62,25,60,124,64,10,0,0,10,18,40,21,0,Matches
339,Joao Moutinho,,pt POR,MF,Wolves,35-196,1986,25.1,58,44,26,24,8,20,71,28.2,51,461,147,31.9,183,233,45,41,5,0,36,45,103,30,0,Matches
340,Bali Mumba,,eng ENG,DF,Norwich City,20-166,2001,0.5,1,0,1,0,0,0,0,,0,12,3,25,10,2,0,2,0,0,2,1,2,5,0,Matches
341,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-027,1995,13.5,37,16,24,10,3,11,26,42.3,15,267,57,21.3,120,89,58,27,2,0,25,29,66,14,0,Matches
342,Enock Mwepu,,zm ZAM,MF,Brighton,24-081,1998,7.1,19,10,5,10,4,5,21,23.8,16,147,40,27.2,45,62,40,13,1,0,12,9,28,10,0,Matches
343,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-298,1999,2,5,3,2,3,0,4,6,66.7,2,37,6,16.2,18,15,4,5,0,0,5,5,10,5,1,Matches
344,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-063,1994,8.4,23,16,13,9,1,10,28,35.7,18,155,45,29,75,65,15,14,4,0,10,18,41,12,0,Matches
345,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-097,1996,18,70,47,39,28,3,21,47,44.7,26,410,137,33.4,155,214,41,32,6,0,26,45,115,70,0,Matches
346,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-085,1996,5.4,13,10,4,8,1,1,6,16.7,5,88,26,29.5,24,45,19,2,1,0,1,3,16,3,0,Matches
347,Reiss Nelson,,eng ENG,FW,Arsenal,22-103,1999,0.2,1,0,0,1,0,0,0,,0,8,2,25,2,5,1,0,0,0,0,1,2,0,0,Matches
348,Pedro Neto,,pt POR,MFFW,Wolves,22-014,2000,1.5,4,4,2,1,1,0,5,0,5,30,12,40,7,11,12,0,0,0,0,3,7,0,0,Matches
349,Ruben Neves,,pt POR,MF,Wolves,25-010,1997,25.2,62,41,30,26,6,22,83,26.5,61,475,135,28.4,176,255,44,37,5,0,32,49,111,47,1,Matches
350,Jeremy Ngakia,,eng ENG,DF,Watford,21-197,2000,7,32,19,27,3,2,16,29,55.2,13,155,44,28.4,100,41,14,11,1,0,10,21,53,12,0,Matches
351,Saul Niguez,,es ESP,DFMF,Chelsea,27-122,1994,3.8,9,5,6,1,2,4,9,44.4,5,75,20,26.7,32,33,10,8,2,0,6,12,21,5,1,Matches
352,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-297,1999,1.4,5,3,0,3,2,1,1,100,0,41,12,29.3,4,13,24,3,0,0,3,2,7,1,0,Matches
353,Nicolas Nkoulou,,cm CMR,DF,Watford,31-361,1990,1.9,1,0,0,1,0,0,0,,0,7,5,71.4,5,2,0,5,2,0,3,1,2,10,0,Matches
354,Mark Noble,,eng ENG,MF,West Ham,34-319,1987,1.4,1,1,0,1,0,0,0,,0,16,4,25,4,8,4,0,0,0,0,1,2,1,0,Matches
355,Mathias Normann,,no NOR,MF,Norwich City,25-299,1996,11.9,28,18,17,8,3,6,19,31.6,13,195,37,19,80,103,12,18,7,1,11,20,48,28,0,Matches
356,Christian Norgaard,,dk DEN,MF,Brentford,28-013,1994,28.2,109,72,42,56,11,44,89,49.4,45,578,187,32.4,205,320,53,52,7,1,45,77,186,38,1,Matches
357,Angelo Ogbonna,,it ITA,DF,West Ham,33-304,1988,10.2,13,8,8,5,0,2,7,28.6,5,50,16,32,32,15,3,7,4,0,3,13,26,38,0,Matches
358,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-101,2001,10.8,19,12,9,6,4,7,16,43.8,9,216,59,27.3,67,103,46,16,0,0,16,11,30,8,0,Matches
359,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-273,2002,4.2,8,3,5,3,0,6,12,50,6,49,14,28.6,37,12,0,10,10,0,0,10,18,17,0,Matches
360,Tyler Onyango,,eng ENG,MFFW,Everton,19-019,2003,0.3,1,0,1,0,0,0,1,0,1,10,2,20,6,3,1,0,0,0,0,1,2,0,0,Matches
361,Frank Onyeka,,ng NGA,MF,Brentford,24-081,1998,11.6,30,16,14,12,4,5,20,25,15,253,69,27.3,109,106,38,20,2,0,18,15,45,13,0,Matches
362,Divock Origi,,be BEL,FW,Liverpool,26-339,1995,0.8,0,0,0,0,0,0,0,,0,17,4,23.5,1,9,7,2,0,0,2,2,2,0,0,Matches
363,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-220,1993,8.7,17,14,3,7,7,5,13,38.5,8,171,63,36.8,26,75,70,11,3,0,8,8,25,7,0,Matches
364,Cole Palmer,,eng ENG,FWMF,Manchester City,19-321,2002,1.4,2,2,1,1,0,0,1,0,1,29,6,20.7,3,11,15,2,0,0,2,2,4,0,0,Matches
365,Emerson Palmieri,,it ITA,DF,Chelsea,27-232,1994,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Thomas Partey,,gh GHA,MF,Arsenal,28-283,1993,21.7,55,41,25,23,7,18,41,43.9,23,280,102,36.4,102,145,33,28,5,0,23,31,86,32,1,Matches
367,Joao Pedro,,br BRA,FWMF,Watford,20-178,2001,11.3,11,9,4,6,1,3,12,25,9,202,59,29.2,39,105,58,13,1,1,12,12,23,14,0,Matches
368,Nicolas Pepe,,ci CIV,FWMF,Arsenal,26-298,1995,6.7,11,8,5,4,2,2,9,22.2,7,109,30,27.5,33,41,35,12,0,0,12,9,20,3,1,Matches
369,Ricardo Pereira,,pt POR,DF,Leicester City,28-168,1993,9.8,41,22,22,13,6,19,37,51.4,18,175,56,32,68,75,32,24,3,0,21,22,63,29,0,Matches
370,Ayoze Perez,,es ESP,FWMF,Leicester City,28-243,1993,2.4,3,2,0,3,0,0,3,0,3,56,15,26.8,11,33,12,4,0,0,4,2,5,1,0,Matches
371,Sonny Perkins,,eng ENG,FW,West Ham,18-041,2004,0,0,0,0,0,0,0,0,,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0,Matches
372,Romain Perraud,,fr FRA,DF,Southampton,24-182,1997,13.4,26,15,12,9,5,11,19,57.9,8,230,59,25.7,96,85,49,21,2,1,19,16,42,34,0,Matches
373,Kalvin Phillips,,eng ENG,MF,Leeds United,26-111,1995,11.1,37,27,18,15,4,8,28,28.6,20,310,107,34.5,102,147,61,27,7,0,20,23,60,19,1,Matches
374,Jaden Philogene Bidace,,eng ENG,FW,Aston Villa,19-309,2002,0.1,0,0,0,0,0,0,0,,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
375,Jordan Pickford,,eng ENG,GK,Everton,28-016,1994,25,1,0,1,0,0,0,0,,0,4,0,0,4,0,0,1,0,0,1,0,1,1,0,Matches
376,Erik Pieters,,nl NED,DF,Burnley,33-228,1988,7.9,27,15,22,5,0,15,32,46.9,17,135,39,28.9,73,51,11,25,7,0,18,22,49,27,1,Matches
377,Ethan Pinnock,,jm JAM,DF,Brentford,28-298,1993,27.7,59,37,43,14,2,19,33,57.6,14,255,93,36.5,157,81,17,44,11,0,33,49,108,170,0,Matches
378,Daniel Podence,,pt POR,FWMF,Wolves,26-153,1995,15.6,16,8,8,5,3,7,18,38.9,11,226,63,27.9,45,89,92,12,2,0,10,6,22,0,0,Matches
379,Paul Pogba,,fr FRA,MFFW,Manchester Utd,29-008,1993,12.6,19,12,9,8,2,5,18,27.8,13,233,69,29.6,50,115,68,14,1,0,13,17,36,23,0,Matches
380,Nick Pope,,eng ENG,GK,Burnley,29-338,1992,25,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,4,1,Matches
381,Teemu Pukki,,fi FIN,FW,Norwich City,31-359,1990,27.2,18,9,1,11,6,2,11,18.2,9,545,140,25.7,34,233,278,16,1,0,15,16,34,4,0,Matches
382,Christian Pulisic,,us USA,MFFW,Chelsea,23-186,1998,10.5,11,4,3,8,0,2,11,18.2,9,210,50,23.8,38,95,77,14,0,0,14,6,17,9,0,Matches
383,Przemyslaw Placheta,,pl POL,FWMF,Norwich City,24-000,1998,4.9,5,3,5,0,0,0,4,0,4,97,22,22.7,29,46,22,7,1,0,6,8,13,5,0,Matches
384,Jesuran Rak Sakyi,,eng ENG,MF,Crystal Palace,19-169,2002,0.2,0,0,0,0,0,0,0,,0,5,1,20,1,3,1,0,0,0,0,0,0,0,0,Matches
385,Aaron Ramsdale,,eng ENG,GK,Arsenal,23-313,1998,24,0,0,0,0,0,0,3,0,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,Matches
386,Jacob Ramsey,,eng ENG,MF,Aston Villa,20-299,2001,21.4,53,33,28,23,2,18,52,34.6,34,420,120,28.6,144,198,78,34,7,0,27,27,80,21,0,Matches
387,Marcus Rashford,,eng ENG,FWMF,Manchester Utd,24-143,1997,10.4,6,4,2,3,1,3,11,27.3,8,180,58,32.2,27,83,70,8,1,0,7,8,14,4,1,Matches
388,Milot Rashica,,xk KVX,FWMF,Norwich City,25-268,1996,18,24,14,8,12,4,14,31,45.2,17,247,65,26.3,84,83,80,20,2,0,18,25,49,13,0,Matches
389,David Raya,,es ESP,GK,Brentford,26-189,1995,16,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,1,Matches
390,Nathan Redmond,,eng ENG,MFFW,Southampton,28-017,1994,15.1,13,7,4,6,3,4,19,21.1,15,268,70,26.1,64,105,99,28,0,0,28,18,31,13,0,Matches
391,Sergio Reguilon,,es ESP,DF,Tottenham,25-097,1996,19.5,42,24,18,18,6,19,34,55.9,15,275,78,28.4,106,120,49,29,6,0,23,41,83,40,0,Matches
392,Declan Rice,,eng ENG,MF,West Ham,23-068,1999,28,63,45,35,24,4,22,45,48.9,23,386,127,32.9,172,187,27,48,20,1,28,84,147,34,1,Matches
393,Taylor Richards,,eng ENG,MFFW,Brighton,21-109,2000,0.3,0,0,0,0,0,0,2,0,2,10,5,50,5,5,0,0,0,0,0,0,0,0,0,Matches
394,Richarlison,,br BRA,FWMF,Everton,24-317,1997,18.2,26,17,5,13,8,7,14,50,7,374,96,25.7,40,153,181,28,3,0,25,13,39,19,0,Matches
395,Jairo Riedewald,,nl NED,MF,Crystal Palace,25-195,1996,1.3,2,2,0,1,1,2,4,50,2,11,3,27.3,7,2,2,4,0,0,4,0,2,2,0,Matches
396,Matt Ritchie,,sct SCO,DF,Newcastle Utd,32-194,1989,14.6,22,7,11,8,3,13,30,43.3,17,152,46,30.3,76,54,22,28,2,0,26,29,51,25,0,Matches
397,Connor Roberts,,wls WAL,DF,Burnley,26-181,1995,10.2,9,7,4,3,2,3,6,50,3,78,28,35.9,35,35,8,32,5,0,27,18,27,38,0,Matches
398,Tyler Roberts,,wls WAL,MFFW,Leeds United,23-070,1999,11,17,7,7,6,4,9,15,60,6,169,44,26,24,85,60,10,1,0,9,7,24,8,0,Matches
399,Andrew Robertson,,sct SCO,DF,Liverpool,28-012,1994,21.5,25,10,10,11,4,9,25,36,16,222,55,24.8,64,93,65,34,3,1,31,39,64,54,0,Matches
400,Joe Rodon,,wls WAL,DF,Tottenham,24-152,1997,0.9,0,0,0,0,0,0,0,,0,7,3,42.9,5,2,0,3,2,0,1,2,2,8,0,Matches
401,Rodri,,es ESP,MF,Manchester City,25-274,1996,23.4,54,40,18,27,9,25,51,49,26,345,127,36.8,90,184,71,37,6,1,31,32,86,41,0,Matches
402,Rodrigo,,es ESP,MFFW,Leeds United,31-017,1991,18.1,22,17,4,10,8,6,17,35.3,11,276,83,30.1,39,130,107,11,1,0,10,13,35,20,0,Matches
403,Jay Rodriguez,,eng ENG,FW,Burnley,32-237,1989,10.5,15,5,5,6,4,3,11,27.3,8,223,46,20.6,43,78,102,15,2,0,13,4,19,7,0,Matches
404,Mads Roerslev,,dk DEN,DF,Brentford,22-272,1999,10.5,20,7,19,0,1,12,29,41.4,17,142,35,24.6,95,30,17,27,6,0,21,19,39,23,0,Matches
405,Cristian Romero,,ar ARG,DF,Tottenham,23-330,1998,14.5,50,30,27,22,1,15,30,50,15,214,76,35.5,135,68,11,32,16,0,16,42,92,52,0,Matches
406,Oriol Romeu,,es ESP,MF,Southampton,30-180,1991,25.7,66,41,19,37,10,21,61,34.4,40,434,145,33.4,144,233,57,37,8,0,29,49,115,45,0,Matches
407,Cristiano Ronaldo,,pt POR,FW,Manchester Utd,37-046,1985,21.3,7,6,1,3,3,4,7,57.1,3,143,40,28,15,61,67,9,2,0,7,3,10,25,1,Matches
408,Salomon Rondon,,ve VEN,FW,Everton,32-188,1989,7.9,5,2,0,2,3,2,8,25,6,140,43,30.7,10,63,67,6,1,0,5,4,9,11,0,Matches
409,Danny Rose,,eng ENG,DF,Watford,31-264,1990,7.7,23,15,15,8,0,12,29,41.4,17,85,34,40,44,36,5,14,6,0,8,15,38,13,0,Matches
410,Jon Rowe,,eng ENG,FWMF,Norwich City,18-327,2003,1.2,4,2,3,1,0,0,0,,0,28,7,25,8,8,12,5,0,0,5,3,7,0,0,Matches
411,Antonio Rudiger,,de GER,DF,Chelsea,29-020,1993,26,37,21,20,15,2,18,29,62.1,11,214,67,31.3,108,79,27,31,8,0,23,32,69,87,0,Matches
412,Lukas Rupp,,de GER,MF,Norwich City,31-074,1991,6.5,9,7,4,5,0,4,12,33.3,8,129,47,36.4,52,58,19,8,1,0,7,16,25,3,1,Matches
413,Jose Sa,,pt POR,GK,Wolves,29-065,1993,30,1,0,1,0,0,1,3,33.3,2,7,2,28.6,7,0,0,0,0,0,0,0,1,3,2,Matches
414,Allan Saint-Maximin,,fr FRA,FWMF,Newcastle Utd,25-011,1997,22.7,7,5,3,2,2,0,12,0,12,183,48,26.2,41,79,63,17,1,0,16,17,24,1,0,Matches
415,Romain Saiss,,ma MAR,DF,Wolves,31-362,1990,27.4,53,33,35,15,3,14,28,50,14,251,88,35.1,145,88,18,55,22,0,33,72,125,164,1,Matches
416,Bukayo Saka,,eng ENG,FWMF,Arsenal,20-199,2001,23.7,24,17,8,13,3,3,20,15,17,330,95,28.8,67,132,131,30,1,0,29,20,44,11,0,Matches
417,Mohamed Salah,,eg EGY,FW,Liverpool,29-281,1992,25.1,10,4,3,3,4,3,12,25,9,345,95,27.5,51,95,199,7,0,0,7,13,23,4,0,Matches
418,Mohammed Salisu,,gh GHA,DF,Southampton,22-340,1999,26,71,45,50,18,3,32,58,55.2,26,268,110,41,160,92,16,52,21,1,31,71,142,161,3,Matches
419,Albert Sambi Lokonga,,be BEL,MF,Arsenal,22-152,1999,10.1,19,12,8,10,1,7,12,58.3,5,114,36,31.6,38,56,20,17,8,0,9,19,38,11,2,Matches
420,Davinson Sanchez,,co COL,DF,Tottenham,25-284,1996,14.8,37,18,20,14,3,12,22,54.5,10,168,61,36.3,80,73,15,33,18,0,15,25,62,64,0,Matches
421,Robert Sanchez,,es ESP,GK,Brighton,24-125,1997,28,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,0,3,Matches
422,Jadon Sancho,,eng ENG,FWMF,Manchester Utd,21-363,2000,16.6,13,8,6,6,1,6,19,31.6,13,234,56,23.9,55,111,68,18,2,0,16,15,28,5,1,Matches
423,Morgan Sanson,,fr FRA,MF,Aston Villa,27-217,1994,3.2,9,6,5,2,2,2,3,66.7,1,100,34,34,45,43,12,11,0,0,11,11,20,2,0,Matches
424,Samir Santos,,br BRA,DF,Watford,27-108,1994,11,25,14,17,7,1,7,12,58.3,5,95,35,36.8,59,31,5,16,7,1,9,40,65,48,0,Matches
425,Josh Sargent,,us USA,FWMF,Norwich City,22-031,2000,17.3,33,17,16,8,9,13,31,41.9,18,357,98,27.5,96,143,118,43,2,0,41,21,54,18,2,Matches
426,Jeremy Sarmiento,,ec ECU,FW,Brighton,19-280,2002,0.2,2,1,1,0,1,0,1,0,1,10,4,40,4,4,2,2,1,0,1,1,3,0,0,Matches
427,Ismaila Sarr,,sn SEN,FWMF,Watford,24-026,1998,14.9,9,4,2,5,2,1,8,12.5,7,279,61,21.9,57,122,100,11,1,0,10,13,22,7,0,Matches
428,Malang Sarr,,fr FRA,DF,Chelsea,23-059,1999,4.7,9,4,8,1,0,1,4,25,3,46,15,32.6,27,16,3,6,3,0,3,12,21,22,0,Matches
429,Dane Scarlett,,eng ENG,MF,Tottenham,17-364,2004,0,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
430,Fabian Schar,,ch SUI,DF,Newcastle Utd,30-093,1991,18.8,16,9,13,2,1,10,14,71.4,4,120,38,31.7,67,40,13,26,14,2,12,62,78,101,2,Matches
431,Jeffrey Schlupp,,gh GHA,MFFW,Crystal Palace,29-090,1992,14.4,34,16,10,19,5,13,32,40.6,19,279,86,30.8,73,154,52,36,7,0,29,15,49,18,0,Matches
432,Kasper Schmeichel,,dk DEN,GK,Leicester City,35-138,1986,27,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,Matches
433,Ken Sema,,se SWE,MFFW,Watford,28-174,1993,6.1,11,7,9,2,0,4,18,22.2,14,150,30,20,58,78,14,10,0,0,10,5,16,16,0,Matches
434,Nelson Semedo,,pt POR,DF,Wolves,28-127,1993,22.1,55,38,37,14,4,24,45,53.3,21,346,95,27.5,168,122,56,40,3,0,37,41,96,55,0,Matches
435,Ryan Sessegnon,,eng ENG,DFMF,Tottenham,21-309,2000,6,13,6,8,4,1,5,12,41.7,7,125,25,20,57,41,27,11,1,0,10,13,26,10,0,Matches
436,Jamie Shackleton,,eng ENG,DFMF,Leeds United,22-166,1999,7.6,26,18,17,7,2,9,20,45,11,113,37,32.7,51,48,14,16,7,1,9,9,35,9,2,Matches
437,Luke Shaw,,eng ENG,DF,Manchester Utd,26-254,1995,17.3,22,13,9,10,3,12,24,50,12,185,53,28.6,81,70,34,40,11,0,29,15,37,22,0,Matches
438,Jonjo Shelvey,,eng ENG,MF,Newcastle Utd,30-024,1992,17,18,9,7,9,2,5,23,21.7,18,213,52,24.4,88,105,20,21,7,0,14,28,46,28,2,Matches
439,Francisco Sierralta,,cl CHI,DF,Watford,24-321,1997,4.7,6,4,6,0,0,5,8,62.5,3,24,10,41.7,18,6,0,9,2,0,7,14,20,40,0,Matches
440,Bernardo Silva,,pt POR,MFFW,Manchester City,27-225,1994,26.7,40,25,16,14,10,21,56,37.5,35,408,114,27.9,78,185,145,30,3,0,27,26,66,20,0,Matches
441,Fabio Silva,,pt POR,FWMF,Wolves,19-247,2002,2.9,3,2,0,2,1,1,4,25,3,64,19,29.7,4,37,23,0,0,0,0,1,4,2,0,Matches
442,Thiago Silva,,br BRA,DF,Chelsea,37-182,1984,21.3,25,18,13,10,2,9,19,47.4,10,124,47,37.9,73,47,4,54,26,3,28,46,71,98,0,Matches
443,Ellis Simms,,eng ENG,FW,Everton,21-077,2001,0.7,0,0,0,0,0,0,0,,0,10,3,30,2,5,3,2,1,0,1,0,0,0,0,Matches
