,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,37.5,41.9,89.7,944.7,265.4,5.49,5.84,93.9,21.4,22.5,95.4,10.4,13,79.8,0,0,0,0.03,1.2,0.06,0,1.01,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,34.2,46.3,73.8,600.3,287.4,16.3,18.5,88,13.8,18.9,73,3.7,7.73,47.9,0,0.05,-0.05,0.46,3.38,0.97,0.42,3.29,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,21.6,30.7,70.5,470.8,183.3,6.4,7.44,85.9,10.2,12.9,79.3,4.53,9.42,48.1,0,0.05,-0.05,0.35,1.98,0.12,0,1.98,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,8.82,10.6,83.3,124.7,5.88,5.29,6.47,81.8,3.53,4.12,85.7,0,0,,0,0.24,-0.24,0.59,0,0,0,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,51,58.4,87.3,1121.5,339.5,13.2,14.5,91.4,28.9,30.6,94.6,8.49,12.6,67.2,0.07,0,0.07,0.13,2.11,0,0,2.5,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,20.5,27.2,75.3,340.3,85.8,11.2,14.1,79.9,5.94,7.74,76.8,2.64,3.96,66.7,0,0,0,0.19,1.6,0.09,0,1.42,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,13.3,20.2,65.8,187.5,40.1,7.72,10.7,72.1,3.86,5.28,73.1,0.79,2.28,34.5,0,0.06,-0.06,0.55,0.47,0.55,0.16,1.18,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,20,20,100,325,0,15,15,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,39.2,58.1,67.4,677.6,335.7,17.7,21.4,82.8,17.4,23.9,72.9,3.37,10.1,33.5,0.16,0.11,0.05,0.8,2.57,1.28,0.64,4.39,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,33.4,40.6,82.2,577,148.5,17.4,19.7,88.6,11.3,13.2,85.5,3.83,5.64,67.9,0.32,0.26,0.06,1.7,4.15,0.64,0.11,3.51,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,54.9,69,79.6,995.6,435.2,24.6,26.6,92.6,23.6,27.1,87.2,6.05,13.1,46.2,0.13,0.12,0.01,1.37,4.42,0.86,0.3,5.79,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,45,60,75,999.4,297.5,10.6,11.9,89.5,26.3,28.8,91.3,8.13,18.8,43.3,0,0,0,0,1.88,0,0,3.13,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,20.5,31.6,64.9,361.9,127.4,10.2,13.1,78,6.45,9.34,69,3.06,6.28,48.7,0.17,0.16,0.01,1.57,1.74,1.24,0.5,2.56,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,57.9,70.8,81.9,963.2,340.5,29.6,32.4,91.3,22.7,26.4,86,4.52,8.29,54.6,0.04,0.09,-0.05,1.41,4.11,1.48,0.68,5.55,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,30,35.6,84.4,451.1,110,16.7,16.7,100,12.2,15.6,78.6,0,1.11,0,0,0.22,-0.22,1.11,3.33,1.11,0,3.33,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,13.3,17.3,76.9,188.4,33.2,8.35,10.1,82.6,4,5.06,79.1,0.47,0.59,80,0.35,0.16,0.19,0.82,0.71,0.35,0,1.41,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,40.9,51.5,79.5,723,261.9,20.1,22.1,91.1,15.4,18.2,84.9,4.55,8.86,51.3,0.03,0.07,-0.04,1.04,3.61,0.9,0.17,3.98,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,48.2,60.1,80.2,973.7,350.5,18.4,21.5,85.5,22.4,25.6,87.5,7.18,11.6,61.8,0,0.05,-0.05,0.92,3.74,1.37,0.53,5.57,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,19,31.6,60.1,838.4,573.1,1.88,1.88,100,5.13,5.25,97.6,12,24.4,49.2,0,0,0,0,1.25,0,0,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,18,24.7,73,336,98.7,7.33,8,91.7,9.33,12.7,73.7,1.33,3.33,40,0,0.07,-0.07,0.67,2.67,0.67,0,2.67,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,47.5,55.8,85.2,880.5,297.1,17.8,19.5,91.4,25.7,28.2,91.1,3.6,6.4,56.2,0.05,0.02,0.02,0.3,3.89,0.54,0,3.79,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,25.6,32.8,78,405.6,96.7,11.7,12.2,95.5,10.6,12.8,82.6,1.67,3.33,50,0,0,0,0,1.11,0.56,0,3.89,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,30,30,100,490,300,10,10,100,20,20,100,0,0,,0,0,0,0,0,0,0,10,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,32.9,40.1,82.1,762.6,229.7,9.16,10.1,90.5,15.6,17.5,89.4,7.87,11.8,66.9,0.08,0.02,0.06,0.12,2.89,0.04,0,1.57,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,49.4,65.1,76,926.4,239.6,22.1,25.7,86.1,20.4,25.3,80.6,6.15,11.6,53.1,0.17,0.32,-0.15,3.41,4.92,2.35,0.28,6.09,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,10,20,50,126.7,53.3,6.67,13.3,50,3.33,3.33,100,0,0,,0,0.33,-0.33,3.33,3.33,0,0,3.33,Matches
