,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-110,1990,12.4,4,39,13,33.3,3.15,1.05,0.1,0.31,11.4,0,0,0,5.4,5.4,0.14,-1.4,-1.4,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-147,1990,12.2,0,19,4,21.1,1.55,0.33,0,0,19.7,2,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-166,1997,5.5,2,16,9,56.3,2.9,1.63,0.13,0.22,16,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-230,1989,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-026,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-205,1996,18.1,0,18,3,16.7,0.99,0.17,0,0,23.6,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-048,1991,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-093,1996,26.2,8,67,27,40.3,2.56,1.03,0.12,0.3,15.4,0,0,0,8.9,8.9,0.13,-0.9,-0.9,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-269,2002,2.1,1,2,2,100,0.94,0.94,0.5,0.5,14,0,0,0,0.4,0.4,0.21,0.6,0.6,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-194,2001,16.8,6,40,18,45,2.38,1.07,0.15,0.33,12.2,0,0,0,6.3,6.3,0.16,-0.3,-0.3,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-094,1995,22.4,1,20,6,30,0.89,0.27,0.05,0.17,23,3,0,0,1,1,0.05,0,0,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-040,2001,1,0,1,1,100,0.96,0.96,0,0,16.2,0,0,0,0,0,0.03,0,0,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,2,32,11,34.4,1.87,0.64,0.06,0.18,17.9,0,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
59,Dan Burn,,eng ENG,DF,Brighton,29-318,1992,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Matches
60,Dan Burn,,eng ENG,DF,Newcastle Utd,29-318,1992,7,0,5,0,0,0.71,0,0,,7.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-188,1993,3,0,3,1,33.3,0.99,0.33,0,0,9.1,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-176,1981,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-007,1997,8.5,3,23,8,34.8,2.72,0.94,0.04,0.13,13.3,0,2,3,5.7,3.5,0.15,-2.7,-2.5,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-300,1994,26.9,1,60,20,33.3,2.23,0.74,0.02,0.05,22.1,1,0,0,2.9,2.9,0.05,-1.9,-1.9,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-049,1997,22.8,2,31,10,32.3,1.36,0.44,0.06,0.2,16.2,1,0,0,2.9,2.9,0.09,-0.9,-0.9,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-024,1998,4.9,0,4,0,0,0.82,0,0,,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
