,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,3.04,3.02,2.14,0.18,0.36,0.18,0.18,0,0.54,0.53,0.18,0,0.18,0,0.18,0,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,0.54,0.53,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,1.1,1.1,0.66,0,0.22,0.06,0.11,0.06,0.17,0.17,0.11,0,0,0,0.06,0,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,3.09,3.08,1.67,0.67,0.26,0.26,0.15,0.07,0.67,0.67,0.3,0.15,0.07,0.04,0.11,0,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,1.8,1.8,0.79,0,0.28,0.28,0.22,0.22,0.17,0.17,0,0,0.06,0,0.11,0,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,1.84,1.84,1.24,0.34,0.09,0.04,0.04,0.09,0.09,0.09,0,0.04,0.04,0,0,0,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,3.35,3.36,2.83,0.12,0.17,0.06,0.17,0,0.52,0.52,0.35,0,0.12,0.06,0,0,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,0.38,0.37,0.38,0,0,0,0,0,0.13,0.12,0.13,0,0,0,0,0,Matches
