,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
177,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-324,1995,4.3,11,2.56,8,1,1,0,1,0,2,0.47,2,0,0,0,0,0,Matches
178,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-198,1993,4.8,22,4.56,16,2,0,1,2,1,2,0.41,1,0,0,0,1,0,Matches
179,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-157,1995,6.1,7,1.15,6,1,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
180,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-055,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Ben Gibson,,eng ENG,DF,Norwich City,29-067,1993,23.7,10,0.42,10,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
182,Billy Gilmour,,sct SCO,MF,Norwich City,20-285,2001,15.7,43,2.73,19,21,1,2,0,0,1,0.06,0,1,0,0,0,0,Matches
183,Ben Godfrey,,eng ENG,DF,Everton,24-067,1998,18.5,27,1.46,21,2,1,2,0,1,2,0.11,1,0,0,1,0,0,Matches
184,Andre Gomes,,pt POR,MF,Everton,28-236,1993,5.6,13,2.33,9,0,2,1,1,0,2,0.36,1,0,1,0,0,0,Matches
185,Toti Gomes,,pt POR,DF,Wolves,23-066,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Joe Gomez,,eng ENG,DF,Liverpool,24-304,1997,1.2,2,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Charlie Goode,,eng ENG,DF,Brentford,26-232,1995,5,12,2.4,2,7,1,1,0,1,0,0,0,0,0,0,0,0,Matches
188,Anthony Gordon,,eng ENG,MFFW,Everton,21-027,2001,16.7,40,2.39,23,7,4,0,5,1,3,0.18,0,2,0,0,1,0,Matches
189,Kaide Gordon,,eng ENG,FW,Liverpool,17-169,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Dan Gosling,,eng ENG,MF,Watford,32-050,1990,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Demarai Gray,,eng ENG,MFFW,Everton,25-268,1996,18.8,63,3.35,37,7,9,4,6,0,4,0.21,2,0,1,1,0,0,Matches
192,Jack Grealish,,eng ENG,FW,Manchester City,26-194,1995,16.1,85,5.29,67,1,4,4,9,0,6,0.37,6,0,0,0,0,0,Matches
193,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,44,3.12,37,0,4,1,2,0,7,0.5,6,0,0,1,0,0,Matches
194,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-056,2002,0.9,1,1.11,1,0,0,0,0,0,1,1.11,1,0,0,0,0,0,Matches
195,Pascal Gross,,de GER,MFDF,Brighton,30-281,1991,15.3,62,4.06,33,26,0,3,0,0,4,0.26,2,2,0,0,0,0,Matches
196,Vicente Guaita,,es ESP,GK,Crystal Palace,35-072,1987,23.5,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Marc Guehi,,eng ENG,DF,Crystal Palace,21-253,2000,28,12,0.43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-127,1997,3.2,6,1.86,5,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
199,Ilkay Gundogan,,de GER,MF,Manchester City,31-150,1990,15,55,3.67,41,10,4,0,0,0,6,0.4,5,0,1,0,0,0,Matches
200,Angus Gunn,,eng ENG,GK,Norwich City,26-060,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
201,Grant Hanley,,sct SCO,DF,Norwich City,30-123,1991,23.2,7,0.3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,Matches
202,Jack Harrison,,eng ENG,FWMF,Leeds United,25-123,1996,21.9,69,3.15,46,3,8,6,5,1,3,0.14,1,0,1,1,0,0,Matches
203,Kortney Hause,,eng ENG,DF,Aston Villa,26-250,1995,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Kai Havertz,,de GER,FWMF,Chelsea,22-285,1999,14.5,36,2.48,25,0,2,4,5,0,5,0.34,3,0,1,0,1,0,Matches
205,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,6,0.54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-056,1996,15,23,1.53,15,0,2,3,2,1,3,0.2,1,0,1,0,0,1,Matches
207,Jordan Henderson,,eng ENG,MF,Liverpool,31-279,1990,22.3,60,2.7,54,3,2,0,0,1,10,0.45,10,0,0,0,0,0,Matches
208,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,1,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
209,Wayne Hennessey,,wls WAL,GK,Burnley,35-058,1987,2,3,1.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Rico Henry,,eng ENG,DF,Brentford,24-258,1997,23.2,29,1.25,24,1,3,0,1,0,0,0,0,0,0,0,0,0,Matches
211,Son Heung-min,,kr KOR,FWMF,Tottenham,29-258,1992,24.9,95,3.81,56,25,2,6,5,1,9,0.36,5,2,0,0,2,0,Matches
212,Ki-Jana Hoever,,nl NED,DF,Wolves,20-064,2002,3.4,3,0.88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
213,Rob Holding,,eng ENG,DF,Arsenal,26-184,1995,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,Mason Holgate,,eng ENG,DF,Everton,25-152,1996,14.8,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-136,2000,10.7,51,4.77,37,0,7,3,4,0,6,0.56,4,0,0,0,2,0,Matches
216,Will Hughes,,eng ENG,MF,Crystal Palace,26-340,1995,9.1,16,1.76,8,3,0,0,2,3,2,0.22,0,1,0,0,1,0,Matches
217,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-230,1995,26.5,57,2.15,47,3,3,1,1,2,4,0.15,4,0,0,0,0,0,Matches
218,Adam Idah,,ie IRL,FWMF,Norwich City,21-012,2001,6.9,12,1.73,8,1,1,0,2,0,1,0.14,1,0,0,0,0,0,Matches
219,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-171,1996,9.2,29,3.15,22,1,2,1,1,2,7,0.76,5,0,0,0,0,2,Matches
220,Danny Ings,,eng ENG,FW,Aston Villa,29-243,1992,16.9,21,1.24,16,0,1,2,1,1,7,0.41,7,0,0,0,0,0,Matches
221,Tim Iroegbunam,,,MF,Aston Villa,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
222,Alex Iwobi,,ng NGA,MFFW,Everton,25-324,1996,11.6,32,2.76,31,0,0,1,0,0,3,0.26,3,0,0,0,0,0,Matches
223,Daniel James,,wls WAL,FWMF,Leeds United,24-133,1997,22.5,47,2.09,33,0,2,4,7,1,5,0.22,3,0,1,0,1,0,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-133,1997,1.4,3,2.14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
225,Reece James,,eng ENG,DF,Chelsea,22-105,1999,13.1,51,3.88,38,6,3,3,1,0,8,0.61,6,1,1,0,0,0,Matches
226,Vitaly Janelt,,de GER,MF,Brentford,23-317,1998,19.8,36,1.82,25,3,2,3,2,1,3,0.15,3,0,0,0,0,0,Matches
227,Pontus Jansson,,se SWE,DF,Brentford,31-038,1991,29.9,11,0.37,6,0,0,4,1,0,4,0.13,1,0,0,2,1,0,Matches
228,Mathias Jensen,,dk DEN,MF,Brentford,26-081,1996,13.6,44,3.24,23,19,0,0,0,2,2,0.15,1,1,0,0,0,0,Matches
229,Gabriel Jesus,,br BRA,FW,Manchester City,24-354,1997,14.9,46,3.09,35,0,5,5,1,0,12,0.81,8,0,2,1,1,0,Matches
230,Raul Jimenez,,mx MEX,FW,Wolves,30-322,1991,23.9,55,2.3,36,1,4,7,4,3,13,0.54,5,0,3,3,1,1,Matches
231,Joelinton,,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,50,2.39,33,0,3,7,5,2,3,0.14,2,0,0,1,0,0,Matches
232,Ben Johnson,,eng ENG,DF,West Ham,22-058,2000,13.4,13,0.97,11,1,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
233,Curtis Jones,,eng ENG,MF,Liverpool,21-052,2001,7.1,14,1.97,9,0,1,2,2,0,2,0.28,1,0,0,1,0,0,Matches
234,Phil Jones,,eng ENG,DF,Manchester Utd,30-030,1992,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
235,Jorginho,,it ITA,MF,Chelsea,30-093,1991,20.8,40,1.93,34,1,0,2,2,1,7,0.34,7,0,0,0,0,0,Matches
236,Diogo Jota,,pt POR,FW,Liverpool,25-109,1996,19.4,64,3.29,40,0,12,2,6,4,9,0.46,3,0,4,1,1,0,Matches
237,James Justin,,eng ENG,DF,Leicester City,24-028,1998,4.1,5,1.22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Mathias Jorgensen,,dk DEN,DF,Brentford,31-334,1990,4.8,6,1.26,3,2,0,1,0,0,0,0,0,0,0,0,0,0,Matches
239,Ozan Kabak,,tr TUR,DF,Norwich City,21-363,2000,10.2,10,0.98,4,0,1,1,3,1,0,0,0,0,0,0,0,0,Matches
240,Christian Kabasele,,be BEL,DF,Watford,31-027,1991,5.3,4,0.76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Samuel Kalu,,ng NGA,FWMF,Watford,24-209,1997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Hassane Kamara,,ci CIV,DF,Watford,27-185,1994,10.9,16,1.46,13,0,1,0,0,2,0,0,0,0,0,0,0,0,Matches
243,Harry Kane,,eng ENG,FW,Tottenham,28-238,1993,26.9,84,3.12,61,1,9,6,6,1,13,0.48,10,0,1,2,0,0,Matches
244,N'Golo Kante,,fr FRA,MF,Chelsea,30-359,1991,13.3,37,2.78,30,0,4,1,0,2,10,0.75,9,0,1,0,0,0,Matches
245,Edo Kayembe,,cd COD,MF,Watford,23-232,1998,4.6,7,1.52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,Moise Kean,,it ITA,FW,Everton,22-023,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Michael Keane,,eng ENG,DF,Everton,29-071,1993,24.5,12,0.49,8,1,0,3,0,0,1,0.04,1,0,0,0,0,0,Matches
248,Naby Keita,,gn GUI,MF,Liverpool,27-041,1995,9.2,30,3.25,23,0,2,3,0,2,5,0.54,4,0,0,1,0,0,Matches
249,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-120,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Jonjoe Kenny,,eng ENG,DF,Everton,25-008,1997,7.8,11,1.41,7,1,2,1,0,0,2,0.26,2,0,0,0,0,0,Matches
251,Max Kilman,,eng ENG,DF,Wolves,24-304,1997,27.9,8,0.29,6,0,1,1,0,0,1,0.04,0,0,0,1,0,0,Matches
252,Joshua King,,no NOR,FW,Watford,30-067,1992,21.9,55,2.52,42,0,4,3,5,1,6,0.27,4,0,1,1,0,0,Matches
253,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-116,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Mateusz Klich,,pl POL,MF,Leeds United,31-283,1990,18.3,59,3.22,47,2,2,4,3,1,6,0.33,5,0,0,1,0,0,Matches
255,Robin Koch,,de GER,MFDF,Leeds United,25-249,1996,11.2,15,1.33,13,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
256,Sead Kolasinac,,ba BIH,DF,Arsenal,28-276,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Ibrahima Konate,,fr FRA,DF,Liverpool,22-302,1999,8,5,0.62,5,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
258,Ezri Konsa,,eng ENG,DF,Aston Villa,24-151,1997,22,9,0.41,8,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
259,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-092,1989,18.5,16,0.86,13,0,2,0,0,1,1,0.05,1,0,0,0,0,0,Matches
260,Mateo Kovacic,,hr CRO,MF,Chelsea,27-321,1994,14.2,46,3.24,38,0,2,3,3,0,6,0.42,6,0,0,0,0,0,Matches
261,Emil Krafth,,se SWE,DF,Newcastle Utd,27-233,1994,11.5,7,0.61,5,0,1,1,0,0,1,0.09,1,0,0,0,0,0,Matches
262,Alex Kral,,cz CZE,MF,West Ham,23-308,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Tim Krul,,nl NED,GK,Norwich City,33-354,1988,22,5,0.23,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Juraj Kucka,,sk SVK,MF,Watford,35-025,1987,17.6,31,1.76,22,0,4,0,3,2,2,0.11,1,0,0,0,1,0,Matches
265,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-332,2000,7.6,25,3.31,18,0,2,5,0,0,7,0.93,4,0,2,1,0,0,Matches
266,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-299,1991,17,63,3.71,41,0,7,4,9,2,9,0.53,6,0,0,1,1,1,Matches
267,Adam Lallana,,eng ENG,MF,Brighton,33-317,1988,16.8,26,1.55,22,0,1,0,2,1,3,0.18,3,0,0,0,0,0,Matches
268,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-174,2000,14.2,40,2.82,28,0,4,3,3,2,2,0.14,2,0,0,0,0,0,Matches
269,Manuel Lanzini,,ar ARG,MF,West Ham,29-036,1993,14.7,44,2.99,37,3,2,0,1,1,6,0.41,4,0,1,0,0,1,Matches
270,Aymeric Laporte,,es ESP,DF,Manchester City,27-300,1994,23.1,24,1.04,20,0,0,3,1,0,3,0.13,1,0,0,1,1,0,Matches
271,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-132,1993,18.8,6,0.32,6,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
272,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-302,1993,17.8,36,2.02,30,1,0,1,1,3,1,0.06,0,0,0,0,1,0,Matches
273,Aaron Lennon,,eng ENG,MFFW,Burnley,34-341,1987,11.9,20,1.68,11,0,3,0,6,0,4,0.34,1,0,1,0,2,0,Matches
274,Bernd Leno,,de GER,GK,Arsenal,30-019,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
275,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-057,1998,2.9,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
276,Victor Lindelof,,se SWE,DF,Manchester Utd,27-249,1994,18.2,10,0.55,10,0,0,0,0,0,3,0.17,3,0,0,0,0,0,Matches
277,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-098,1992,2.3,7,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
278,Valentino Livramento,,eng ENG,DF,Southampton,19-131,2002,22.2,35,1.58,32,0,1,0,2,0,2,0.09,1,0,0,0,1,0,Matches
279,Diego Llorente,,es ESP,DF,Leeds United,28-219,1993,19,6,0.32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
280,Hugo Lloris,,fr FRA,GK,Tottenham,35-087,1986,29,5,0.17,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
281,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-348,1996,2.6,10,3.78,5,2,0,1,2,0,0,0,0,0,0,0,0,0,Matches
282,Jurgen Locadia,,nl NED,FW,Brighton,28-136,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
283,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-059,1996,8.7,24,2.77,15,0,2,3,2,2,4,0.46,2,0,0,2,0,0,Matches
284,Shane Long,,ie IRL,FWMF,Southampton,35-060,1987,1.6,2,1.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
285,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-144,1997,12.2,17,1.39,13,1,0,1,0,2,3,0.25,2,0,0,0,0,1,Matches
286,Ademola Lookman,,eng ENG,FWMF,Leicester City,24-154,1997,12.7,35,2.77,27,0,4,1,2,1,2,0.16,1,0,0,0,1,0,Matches
287,Jonas Lossl,,dk DEN,GK,Brentford,33-050,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Imran Louza,,ma MAR,MF,Watford,22-326,1999,11.1,23,2.08,10,9,1,1,1,1,1,0.09,1,0,0,0,0,0,Matches
289,Matthew Lowton,,eng ENG,DF,Burnley,32-287,1989,16.8,30,1.78,22,4,0,1,2,1,2,0.12,1,0,0,1,0,0,Matches
290,Douglas Luiz,,br BRA,MF,Aston Villa,23-318,1998,22.9,54,2.36,30,15,1,2,6,0,5,0.22,1,2,0,1,1,0,Matches
291,Romelu Lukaku,,be BEL,FW,Chelsea,28-314,1993,13.5,30,2.23,21,0,3,2,4,0,3,0.22,0,0,1,0,2,0,Matches
292,Lyanco,,br BRA,DF,Southampton,25-050,1997,6.1,6,0.98,4,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
293,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-089,1998,14.9,43,2.89,29,7,0,2,3,2,3,0.2,0,2,0,1,0,0,Matches
294,James Maddison,,eng ENG,MFFW,Leicester City,25-120,1996,19.1,70,3.66,40,9,6,6,8,1,13,0.68,8,1,1,1,2,0,Matches
295,Harry Maguire,,eng ENG,DF,Manchester Utd,29-018,1993,22.7,17,0.75,9,2,1,3,1,1,1,0.04,1,0,0,0,0,0,Matches
296,Riyad Mahrez,,dz ALG,FW,Manchester City,31-030,1991,13.5,48,3.56,36,7,1,3,1,0,6,0.45,4,1,0,1,0,0,Matches
297,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-206,1997,3,8,2.69,5,1,0,1,0,1,0,0,0,0,0,0,0,0,Matches
298,Sadio Mane,,sn SEN,FW,Liverpool,29-347,1992,24.7,74,2.99,51,0,3,12,5,3,10,0.4,4,0,1,4,1,0,Matches
299,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-322,1994,13.3,9,0.68,8,0,0,0,1,0,4,0.3,3,0,0,0,1,0,Matches
300,Fernando Marcal,,br BRA,DF,Wolves,33-032,1989,14.2,15,1.06,13,0,0,1,1,0,1,0.07,0,0,0,1,0,0,Matches
301,Solly March,,eng ENG,DFFW,Brighton,27-246,1994,13.8,52,3.78,34,9,5,0,2,2,3,0.22,2,0,0,0,1,0,Matches
302,Pablo Mari,,es ESP,DF,Arsenal,28-204,1993,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
303,Anthony Martial,,fr FRA,FW,Manchester Utd,26-108,1995,2.4,3,1.27,3,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches
304,Martinelli,,br BRA,FWMF,Arsenal,20-278,2001,13.8,42,3.03,29,4,3,4,1,1,6,0.43,3,2,0,1,0,0,Matches
305,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-202,1992,28,3,0.11,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
306,Adam Masina,,ma MAR,DF,Watford,28-080,1994,9.6,9,0.94,5,3,0,0,0,1,0,0,0,0,0,0,0,0,Matches
307,Arthur Masuaku,,cd COD,DFFW,West Ham,28-136,1993,6.2,6,0.96,4,2,0,0,0,0,2,0.32,1,1,0,0,0,0,Matches
308,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-268,1997,7.2,10,1.38,9,0,0,1,0,0,2,0.28,1,0,0,1,0,0,Matches
309,Nemanja Matic,,rs SRB,MF,Manchester Utd,33-234,1988,10.2,21,2.06,18,0,0,0,1,2,3,0.29,3,0,0,0,0,0,Matches
310,Joel Matip,,cm CMR,DF,Liverpool,30-227,1991,23,26,1.13,21,0,0,4,1,0,6,0.26,5,0,0,0,1,0,Matches
311,Neal Maupay,,fr FRA,FW,Brighton,25-221,1996,22.7,56,2.46,42,0,5,5,4,0,3,0.13,3,0,0,0,0,0,Matches
312,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-228,1999,24.8,54,2.18,34,9,7,3,0,1,6,0.24,5,1,0,0,0,0,Matches
313,James McArthur,,sct SCO,MF,Crystal Palace,34-167,1987,12.9,24,1.85,21,0,1,0,1,1,2,0.15,2,0,0,0,0,0,Matches
314,James Mcatee,,eng ENG,MFFW,Manchester City,19-156,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Kasey McAteer,,eng ENG,FW,Leicester City,20-121,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316,Liam McCarron,,sct SCO,FW,Leeds United,21-016,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Alex McCarthy,,eng ENG,GK,Southampton,32-110,1989,15,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,John McGinn,,sct SCO,MF,Aston Villa,27-156,1994,25.3,68,2.68,45,17,1,2,3,0,3,0.12,2,1,0,0,0,0,Matches
319,Stuart McKinstry,,sct SCO,MF,Leeds United,19-186,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Kenny McLean,,sct SCO,MF,Norwich City,30-074,1992,26.3,26,0.99,20,2,0,2,0,2,1,0.04,1,0,0,0,0,0,Matches
321,Dwight McNeil,,eng ENG,MF,Burnley,22-121,1999,26,62,2.38,36,12,4,3,7,0,3,0.12,2,1,0,0,0,0,Matches
322,Scott McTominay,,sct SCO,MF,Manchester Utd,25-105,1996,20.9,38,1.82,30,0,3,1,2,2,6,0.29,4,0,0,1,0,1,Matches
323,Ben Mee,,eng ENG,DF,Burnley,32-181,1989,20.4,8,0.39,5,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches
324,Benjamin Mendy,,fr FRA,DF,Manchester City,27-249,1994,0.9,4,4.62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Edouard Mendy,,sn SEN,GK,Chelsea,30-022,1992,24,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
326,Nampalys Mendy,,sn SEN,MF,Leicester City,29-273,1992,1.8,1,0.55,1,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
327,Illan Meslier,,fr FRA,GK,Leeds United,22-021,2000,29.6,2,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Luka Milivojevic,,rs SRB,MF,Crystal Palace,30-350,1991,7.2,11,1.52,6,4,0,0,1,0,1,0.14,1,0,0,0,0,0,Matches
329,James Milner,,eng ENG,MFDF,Liverpool,36-078,1986,7.1,18,2.55,13,3,1,1,0,0,1,0.14,1,0,0,0,0,0,Matches
330,Yerry Mina,,co COL,DF,Everton,27-181,1994,7.2,2,0.28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
331,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-066,1995,1.1,5,4.69,3,0,0,0,1,1,1,0.94,1,0,0,0,0,0,Matches
332,Tyrone Mings,,eng ENG,DF,Aston Villa,29-010,1993,26.4,20,0.76,16,0,0,3,1,0,4,0.15,3,0,0,1,0,0,Matches
333,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-203,1999,28.9,34,1.18,30,1,0,1,1,1,5,0.17,5,0,0,0,0,0,Matches
334,Jakub Moder,,pl POL,MFFW,Brighton,22-350,1999,18.8,37,1.96,23,3,3,6,0,2,4,0.21,3,0,0,1,0,0,Matches
335,Wesley Moraes,,br BRA,FW,Aston Villa,25-117,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Tyler Morton,,eng ENG,MF,Liverpool,19-143,2002,0.7,1,1.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Mason Mount,,eng ENG,MFFW,Chelsea,23-072,1999,18.5,71,3.83,40,18,4,5,4,0,10,0.54,4,4,0,1,1,0,Matches
338,Lucas Moura,,br BRA,FWMF,Tottenham,29-222,1992,17.1,51,2.98,40,0,3,2,5,1,7,0.41,7,0,0,0,0,0,Matches
339,Joao Moutinho,,pt POR,MF,Wolves,35-196,1986,25.1,51,2.03,30,17,0,1,0,3,4,0.16,3,1,0,0,0,0,Matches
340,Bali Mumba,,eng ENG,DF,Norwich City,20-166,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-027,1995,13.5,38,2.81,30,0,4,3,1,0,3,0.22,1,0,0,1,1,0,Matches
342,Enock Mwepu,,zm ZAM,MF,Brighton,24-081,1998,7.1,15,2.11,12,0,0,1,2,0,5,0.7,4,0,0,0,1,0,Matches
343,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-298,1999,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
344,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-063,1994,8.4,6,0.71,5,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
345,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-097,1996,18,14,0.78,9,0,0,3,1,1,2,0.11,1,0,0,1,0,0,Matches
346,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-085,1996,5.4,13,2.42,10,0,1,1,1,0,1,0.19,1,0,0,0,0,0,Matches
347,Reiss Nelson,,eng ENG,FW,Arsenal,22-103,1999,0.2,3,13.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
348,Pedro Neto,,pt POR,MFFW,Wolves,22-014,2000,1.5,8,5.41,5,1,1,0,1,0,0,0,0,0,0,0,0,0,Matches
349,Ruben Neves,,pt POR,MF,Wolves,25-010,1997,25.2,44,1.74,37,2,0,2,2,1,3,0.12,3,0,0,0,0,0,Matches
350,Jeremy Ngakia,,eng ENG,DF,Watford,21-197,2000,7,8,1.14,5,2,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
351,Saul Niguez,,es ESP,DFMF,Chelsea,27-122,1994,3.8,3,0.78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-297,1999,1.4,4,2.88,4,0,0,0,0,0,1,0.72,1,0,0,0,0,0,Matches
353,Nicolas Nkoulou,,cm CMR,DF,Watford,31-361,1990,1.9,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
354,Mark Noble,,eng ENG,MF,West Ham,34-319,1987,1.4,1,0.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Mathias Normann,,no NOR,MF,Norwich City,25-299,1996,11.9,23,1.94,9,2,4,3,2,3,2,0.17,2,0,0,0,0,0,Matches
