Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
485,Kieran Trippier,,eng ENG,DF,Newcastle Utd,31-185,1990,3.5,137,201,68.2,3016,1718,50,55,90.9,52,79,65.8,32,59,54.2,0,0.4,-0.4,6,14,5,0,16,Matches
486,William Troost-Ekong,,ng NGA,DF,Watford,28-203,1993,15.3,437,554,78.9,11491,3654,64,77,83.1,242,270,89.6,130,200,65,0,0.1,-0.1,1,29,1,0,31,Matches
487,Leandro Trossard,,be BEL,FWMF,Brighton,27-109,1994,24.4,721,924,78,12981,2718,359,419,85.7,245,312,78.5,96,130,73.8,1,2,-1,33,63,46,5,100,Matches
488,Kostas Tsimikas,,gr GRE,DF,Liverpool,25-315,1996,7.4,352,489,72,6417,2319,149,169,88.2,156,197,79.2,41,95,43.2,2,1.7,0.3,18,18,9,6,35,Matches
489,Axel Tuanzebe,,eng ENG,DF,Aston Villa,24-129,1997,5.6,197,227,86.8,4287,1116,50,55,90.9,104,115,90.4,39,53,73.6,0,0,0,0,3,0,0,6,Matches
490,Ozan Tufan,,tr TUR,MF,Watford,27-000,1995,3.7,85,122,69.7,1564,425,40,48,83.3,35,44,79.5,9,21,42.9,0,0.2,-0.2,4,13,1,0,11,Matches
491,Christos Tzolis,,gr GRE,FWMF,Norwich City,20-052,2002,3.4,66,88,75,1160,300,33,38,86.8,23,28,82.1,8,16,50,0,1,-1,8,3,2,1,6,Matches
492,Yan Valery,,fr FRA,DF,Southampton,23-029,1999,1.5,47,68,69.1,832,266,21,27,77.8,22,29,75.9,3,10,30,0,0.1,-0.1,1,8,1,1,4,Matches
493,Raphael Varane,,fr FRA,DF,Manchester Utd,28-332,1993,15.3,751,836,89.8,17309,4470,170,180,94.4,415,447,92.8,161,199,80.9,1,0.1,0.9,3,60,0,0,34,Matches
494,Jamie Vardy,,eng ENG,FW,Leicester City,35-071,1987,15.6,149,206,72.3,2380,506,73,97,75.3,61,80,76.3,8,14,57.1,2,1.4,0.6,18,10,15,2,21,Matches
495,Joel Veltman,,nl NED,DF,Brighton,30-067,1992,22.9,1122,1407,79.7,22125,7998,375,417,89.9,606,725,83.6,129,214,60.3,1,1,0,14,94,16,6,93,Matches
496,Jannik Vestergaard,,dk DEN,DF,Leicester City,29-232,1992,6.3,328,357,91.9,7332,2082,87,91,95.6,180,188,95.7,57,70,81.4,0,0,0,1,12,0,0,15,Matches
497,Nikola Vlasic,,hr CRO,FWMF,West Ham,24-170,1997,5.1,134,172,77.9,1913,312,81,88,92,42,55,76.4,5,15,33.3,0,0.4,-0.4,7,2,4,0,10,Matches
498,Matej Vydra,,cz CZE,FW,Burnley,29-326,1992,5,48,72,66.7,559,113,30,44,68.2,10,14,71.4,1,2,50,1,0.2,0.8,4,1,0,0,3,Matches
499,Theo Walcott,,eng ENG,MFFW,Southampton,33-007,1989,4.2,61,86,70.9,842,142,36,43,83.7,22,32,68.8,2,4,50,0,0,0,1,2,1,0,3,Matches
500,Kyle Walker,,eng ENG,DF,Manchester City,31-299,1990,17.5,1339,1500,89.3,26034,6942,525,554,94.8,631,689,91.6,175,230,76.1,2,1.2,0.8,13,161,18,5,78,Matches
501,Kyle Walker-Peters,,eng ENG,DF,Southampton,24-344,1997,20.3,816,1021,79.9,13249,4765,429,486,88.3,322,392,82.1,54,96,56.3,2,2.4,-0.4,21,57,31,2,105,Matches
502,Aaron Wan-Bissaka,,eng ENG,DF,Manchester Utd,24-117,1997,17.9,857,1021,83.9,12743,4208,507,551,92,279,322,86.6,44,83,53,0,0.9,-0.9,14,37,12,7,48,Matches
503,Joel Ward,,eng ENG,DF,Crystal Palace,32-145,1989,23,1148,1439,79.8,21231,7603,490,548,89.4,526,608,86.5,122,244,50,0,0.5,-0.5,6,76,14,4,63,Matches
504,James Ward-Prowse,,eng ENG,MF,Southampton,27-142,1994,26.7,1304,1649,79.1,24287,7535,562,602,93.4,547,621,88.1,171,379,45.1,4,5.3,-1.3,56,128,17,8,98,Matches
505,Ollie Watkins,,eng ENG,FW,Aston Villa,26-083,1995,24.1,389,533,73,5415,1073,239,302,79.1,108,149,72.5,19,32,59.4,1,2.4,-1.4,22,22,20,1,40,Matches
506,Adam Webster,,eng ENG,DF,Brighton,27-078,1995,13,824,982,83.9,17694,6127,222,251,88.4,468,507,92.3,125,203,61.6,0,0.1,-0.1,1,85,1,0,59,Matches
507,Wout Weghorst,,nl NED,FW,Burnley,29-228,1992,8.4,143,219,65.3,1694,449,102,140,72.9,27,45,60,5,10,50,2,0.5,1.5,4,9,5,0,13,Matches
508,Danny Welbeck,,eng ENG,FWMF,Brighton,31-117,1990,8.1,99,123,80.5,1179,165,71,82,86.6,21,26,80.8,3,4,75,0,0.1,-0.1,3,4,5,0,7,Matches
509,Timo Werner,,de GER,FWMF,Chelsea,26-017,1996,8.2,154,210,73.3,2081,362,99,116,85.3,45,60,75,5,13,38.5,1,0.2,0.8,2,5,7,0,12,Matches
510,Ashley Westwood,,eng ENG,MF,Burnley,31-356,1990,22.1,752,1062,70.8,15500,5260,288,329,87.5,307,393,78.1,145,304,47.7,3,3.4,-0.4,28,90,29,2,93,Matches
511,Ben White,,eng ENG,DF,Arsenal,24-166,1997,26,1218,1415,86.1,24986,7752,395,429,92.1,654,702,93.2,160,260,61.5,0,0.5,-0.5,8,97,5,0,69,Matches
512,Brandon Williams,,eng ENG,DF,Norwich City,21-201,2000,21.5,811,1009,80.4,14795,5459,344,382,90.1,386,471,82,76,134,56.7,1,1.3,-0.3,18,40,18,4,76,Matches
513,Neco Williams,,wls WAL,DF,Liverpool,20-344,2001,0.1,8,8,100,153,32,1,1,100,5,5,100,1,1,100,1,0.6,0.4,1,0,0,0,0,Matches
