,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,44.5,1.29,5.96,19.8,22.7,4.94,44.3,0.9,1.91,47.1,1.18,0.17,29.7,176.9,94.4,5.34,2.3,0.62,2.19,2.47,39.4,29.5,74.9,5.56,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,71.6,4.18,22.7,27.8,24.6,2.82,61.5,0.73,1.07,68.4,0.73,0,40.5,179.8,98.6,5.14,1.3,0.34,0.73,1.19,45.7,40.1,87.8,3.67,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,66.2,2.06,9.41,39.4,20.6,0.88,55.3,0.88,1.47,60,0.88,0,35.6,157.4,81.5,4.12,1.47,0,1.76,1.76,46.2,38.8,84.1,1.47,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,43.7,3.26,15.1,27.4,4.19,0,41.6,0.93,1.4,66.7,0.93,0,34.2,150.7,67.4,2.33,0.47,0,0.23,0.47,27.2,25.8,94.9,0.7,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,68.4,12.6,42,27,1.7,0.96,66.1,0,0.11,0,0,0,39.7,180.1,78.9,0.96,0.32,0,0.11,0,43.2,42,97.3,0,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,56.9,0,5.63,31.3,22.5,0,54.4,0.63,1.25,50,0.63,0,36.9,168.1,83.1,5.63,1.25,0,2.5,2.5,53.8,40.6,75.6,10.6,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,27.8,25.6,27.8,0.03,0,0,18.6,0,0,,0,0,11.4,58.2,29.7,0,0,0,0,0,10.7,10.6,99.1,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,67.3,1.98,14.7,43.2,12.5,0.8,66,0.33,0.42,77.8,0.33,0,42.3,173.6,83.8,4.2,0.85,0.09,0.99,0.57,46.4,44.6,96.1,1.37,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,59.7,5.16,19.8,25,18,0.53,47.4,0.37,0.74,50,0.37,0.11,29,150.4,75.1,3.3,1.22,0.16,0.8,0.43,31,27.7,89.3,0.74,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,30,0,0,3.33,26.7,0,30,0,0,,0,0,13.3,23.3,0,0,0,0,3.33,0,36.7,26.7,72.7,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,50,0,40,10,0,0,30,0,0,,0,0,0,0,0,0,0,0,0,0,10,10,100,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,68.2,1.84,10.3,31.5,30.6,3.53,62.9,0.68,1.43,47.4,0.83,0.15,45.2,218.1,126.5,6.28,2.26,0.68,0.79,1.47,60.6,49.4,81.5,6.2,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,44.4,36.7,44,0.58,0,0,34.7,0,0,,0,0,22.3,100.3,60.8,0,0,0,0,0,22.8,22.8,100,0,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,46,10.2,30.3,16,2.07,1.72,44.8,0,0,,0,0,29.3,145.7,87.2,0,0,0,0,0.17,30.7,30,97.8,0.34,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,82.6,2.5,12.6,56,19,1.62,82.2,1.03,1.18,87.5,1.03,0,64.3,266.5,131.2,6.03,1.62,0,0.88,1.32,67.2,65.3,97.2,2.06,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,58,0.2,4.9,29.2,27.7,5.92,56.8,1.43,3.06,46.7,1.63,0.2,39.7,176,94.2,6.53,2.24,0.41,2.76,2.35,61.3,43.9,71.5,12.6,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,63.9,3.38,19,32.2,17.1,2.09,55.5,0.68,1.22,55.6,0.68,0.07,37.6,185.4,117.8,5.34,1.76,0.14,0.88,0.61,39.9,36.4,91.2,2.3,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,50,3.33,10,20,23.3,3.33,50,0,3.33,0,0,0,23.3,96.7,50,3.33,0,0,0,0,96.7,26.7,27.6,3.33,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,58.4,0.27,2.47,21.5,37.6,6.18,53.5,1.4,2.1,66.7,1.45,0.11,43.7,199,94.5,5.7,1.67,1.67,1.18,2.2,57.5,45.4,79,7.58,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,80,11,45,36,2,2,77,1,1,100,1,0,55,361,167,2,0,0,0,0,56,56,100,0,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,54,1.12,8.4,26.3,22.4,2.56,51.9,0.88,1.92,45.8,0.96,0.24,36.6,180.8,97.2,5.04,1.6,0.36,1.28,1.12,47.1,37.9,80.5,4.68,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,57.1,1.47,16.8,33.6,10.8,0.53,55.7,0.53,0.94,56.3,0.53,0,36.5,182.9,82.5,2.76,1.12,0.12,0.65,1,41.9,36.7,87.6,1.47,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,30,0,1.3,15.7,14.3,4.35,28.7,0.87,1.74,50,0.87,0,11.7,41.3,20.4,1.3,0,0,2.61,0.43,38.7,17.8,46.1,7.39,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,36.3,29.5,36.2,0.15,0,0,26.2,0,0,,0,0,16.5,81.1,44.8,0,0,0,0,0,15.6,15.5,99.5,0,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,36.4,29.7,35.9,0.58,0,0,23.4,0,0,,0,0,14.6,83.3,51.9,0,0,0,0,0,13.3,13.3,99.6,0,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,55,0,0,25,35,20,55,0,0,,0,0,45,400,305,20,5,10,0,0,45,40,88.9,15,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,36.8,1.31,7.06,12.8,19.3,2.81,34.2,0.13,0.44,28.6,0.13,0,23.8,128.6,81.6,4.88,1.38,1,0.88,0.75,33.9,25.1,74.2,3.44,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,69.9,3.59,17.8,41.9,13.2,0.68,68.7,0.78,1.41,55.2,0.83,0.1,44.5,170.5,84.3,3.25,0.78,0.05,1.46,1.26,51.6,47,91.1,1.84,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,46.3,6.67,16.7,19.6,10.8,0.42,41.3,0,0.42,0,0,0,18.8,82.1,45.8,2.08,0.42,0,0.83,0.42,25.8,23.8,91.9,0.83,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,75.9,6.47,34.1,34.1,10.6,0.59,59.4,0,0.59,0,0.59,0,35.9,145.9,80.6,2.94,0,0,1.18,0,42.9,38.2,89,2.35,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,50.9,1.8,9.67,24.5,19.9,3.11,46.6,1.56,2.3,67.9,1.64,0.04,33.5,155.7,66.4,3.4,1.11,0.49,1.56,1.68,36.9,30.4,82.3,4.02,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,32.5,0,0,20,15,2.5,32.5,0,0,,0,0,22.5,40,17.5,2.5,0,0,2.5,0,47.5,25,52.6,5,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,40,1.43,11.4,31.4,1.43,0,40,1.43,2.86,50,2.86,0,27.1,161.4,98.6,2.86,0,0,1.43,2.86,28.6,25.7,90,1.43,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,26.7,24.8,26.7,0,0,0,17.1,0,0,,0,0,9.7,41.9,19.7,0,0,0,0.03,0,9.87,9.77,99,0,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,34.9,0.55,3.09,17.3,16.9,6.36,32.5,2.18,4.91,44.4,2.73,0,25.8,116.5,78.4,5.09,0.73,1.27,2.18,2.73,44.7,23.1,51.6,8,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,140,0,10,40,100,20,120,0,10,0,0,0,80,490,240,20,10,10,10,0,170,80,47.1,20,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,42.6,0.7,3.72,14.9,27.2,3.95,41.9,0.7,2.79,25,1.16,0.47,27.7,145.6,96.7,6.28,1.4,0.93,4.88,2.33,47.2,31.6,67,6.74,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,51,1.88,9.79,24.2,20.6,3.54,46.7,0.83,1.04,80,0.83,0.21,28.8,155.4,95,5.21,1.88,0.42,1.25,0.63,41.7,28.8,69,5.21,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,67.6,5.92,27.6,31,14.1,0.99,57.7,2.39,4.23,56.7,2.82,0.28,43.9,236.9,135.9,4.51,1.13,0.42,1.83,0.85,40.3,36.3,90.2,2.82,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,130,0,30,30,80,30,120,0,0,,0,0,70,180,120,10,10,0,0,0,90,80,88.9,30,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,58.9,13.4,37.2,22.7,2.23,0.93,56.9,0.08,0.16,50,0.08,0,33.8,176.7,106.8,2.39,0.53,0,0.16,0.16,39.1,38.5,98.5,0.04,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,68.9,2.46,18.6,38.2,16.5,0.48,61.9,0.78,1.26,61.9,1.08,0.06,38.9,215.9,92,4.01,1.56,0,0.72,0.6,48.9,44.8,91.6,1.14,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,48.7,5.9,21.8,21.5,8.26,1.38,43.5,0.21,0.41,50,0.26,0,23.8,135.1,68.7,2.15,1.13,0.05,0.46,0.46,26.4,24.1,91.4,0.82,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,58.6,1.79,10.7,33.6,18.2,1.43,57,1.79,2.14,83.3,1.96,0.18,39.5,158.4,79.3,1.96,0.36,0.18,1.96,2.68,44.3,36.6,82.7,1.61,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,55.5,8.5,31.5,25.5,1.5,0,55,0.5,1,50,0.5,0,25.5,144.5,54.5,1.5,0.5,0,0,0,30,28,93.3,0,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,92.3,2.27,16.4,49.1,31.8,0.45,81.8,1.36,1.82,75,1.36,0,61.8,204.1,83.6,4.55,1.36,0,0.91,1.82,60.5,57.7,95.5,3.18,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,67.4,4,24.4,32.6,14.8,2.2,52.4,1,1.4,71.4,1,0,32.6,200.6,99.4,2.8,1.4,0,0.2,0.2,34.2,32.8,95.9,1.4,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,46.1,1.01,6.92,19.4,24,3.14,43.3,1.48,2.96,50,1.66,0.24,29.9,210.2,116.1,5.44,1.95,0.77,2.25,1.83,39.5,28.9,73.2,4.02,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,80,0,0,40,40,10,80,0,10,0,0,10,70,320,90,10,0,0,0,10,110,70,63.6,30,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,45,10,30,15,5,0,45,0,0,,0,0,15,25,25,0,0,0,5,0,20,20,100,0,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,42.1,0.45,3.59,17.2,25.8,3.64,38.6,1.82,3.54,51.4,1.87,0.15,31.5,219.4,122.7,7.07,2.53,1.26,2.22,1.72,40.4,28.9,71.6,5.76,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,56.8,0.7,3.27,21.8,37,9.01,55.7,1.4,2.46,57.1,1.52,0,48.9,369,226,14,3.16,4.15,1.17,1.99,58.1,47.2,81.3,9.18,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,47,0.43,5.6,20.9,24,4.26,45.7,2.06,3.55,58,2.2,0.21,37.7,244.8,144.1,7.59,1.99,1.91,1.35,1.42,49.9,37.2,74.5,6.52,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,32.2,0,4.44,18.9,11.1,1.11,28.9,0,1.11,0,0,0,20,66.7,14.4,1.11,1.11,0,1.11,0,27.8,21.1,76,8.89,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,72.5,2.21,12.6,32.3,31.1,2.45,63.5,0.25,0.61,40,0.31,0.06,43.3,201.9,87.1,4.29,1.66,0.18,0.98,1.04,54.4,47.9,87.9,4.11,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,33.9,30.7,33.8,0.04,0,0,25.7,0,0,,0,0,16.9,71.3,35.2,0,0,0,0,0,15.4,15.4,100,0,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,70,11.6,40.9,31.3,2.25,0.68,68.5,0.36,0.43,83.3,0.36,0,47.6,262,145.6,3.14,0.68,0.04,0.25,0.18,49.9,49.6,99.4,0.07,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,73.1,4.44,19.2,38.1,20.3,2.5,71.9,0.83,2.5,33.3,0.83,0,51.1,285.8,123.9,5.83,2.22,0.28,1.11,2.5,52.2,46.4,88.8,1.11,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,68.5,1,7.38,34.1,32.1,4.81,63.8,1.25,1.69,74.1,1.31,0.13,47.4,238.8,110.6,6.44,2.44,0.69,0.75,0.94,60.6,53.1,87.7,6.56,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,35.7,30.1,35.7,0,0,0,22.1,0,0,,0,0,11.6,49,32,0,0,0,0,0,10.7,10.6,98.7,0,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,53.3,12.6,35.7,18.1,1.28,0.83,51.6,0.17,0.25,66.7,0.17,0,26.9,108.7,45.5,0.7,0.04,0,0.17,0.04,30,29.1,97,0.08,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,50.6,1.31,9.34,20.3,24.8,3.8,49.1,1.66,3.54,46.9,1.79,0.17,37.7,220.2,138.3,7.51,2.1,1.05,2.36,2.36,45.7,35.1,76.8,5.46,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,56.6,7.95,32.5,25.5,2.27,1.36,55.5,0.45,0.91,50,0.45,0,34.3,218.2,116.4,0.68,0,0,0.23,0.45,34.8,33,94.8,0.68,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,47.7,1.81,5.16,21.5,23.7,6.9,46.4,0.97,2,48.4,1.16,0.06,33.3,175.9,89.6,5.61,1.16,1.68,3.16,2.45,56.3,36.6,64.9,9.61,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,41.5,4.23,16.4,19.6,6.85,0.9,40.2,0.72,1.17,61.5,0.72,0,22.3,76.1,32.6,1.08,0.63,0.09,0.81,0.9,26.6,21.8,82,0.9,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,43.1,0.85,7.12,22.7,16.8,3.66,42.7,1.5,3.07,48.9,1.63,0.46,31.4,195.6,101.1,4.71,1.57,0.98,2.16,1.7,44.8,32.5,72.4,6.01,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,82,1.46,9.74,50.4,26.9,1.8,79.6,0.6,0.94,63.6,0.6,0.13,54.5,249.2,113.3,4.76,2.4,0.17,0.73,0.52,69.4,63.6,91.7,4.55,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,40,1.25,5,25,11.3,1.25,40,1.25,1.25,100,1.25,1.25,31.3,93.8,32.5,1.25,0,0,0,1.25,32.5,28.8,88.5,1.25,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,43.5,34.5,41.5,2,0,0,25.5,0,0,,0,0,13,79,63.5,0,0,0,0,0,11.5,11.5,100,0,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,47.5,3.31,15.8,20.2,14.3,0.95,44.5,0.7,1.78,39.5,0.74,0.04,28.8,130.7,66.9,3.1,1.07,0.29,0.7,1.69,30,25.3,84.4,1.69,Matches
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,48.8,0.23,4.63,19.7,27.9,5.37,42.3,1.62,2.74,59.2,1.78,0.08,34,207.2,113.8,5.87,1.97,1.78,1.78,2.05,48.3,34.1,70.7,8.07,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,58.8,2.65,17.1,26.2,17.9,0.88,49.1,0.29,2.06,14.3,0.29,0,30.6,172.6,110.9,3.82,0.59,0.88,0.59,0.88,37.4,30.9,82.7,1.47,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,62.7,11.3,36.5,26.5,2.92,1.04,61.3,0.21,0.42,50,0.21,0,36.5,169.6,84.2,0.83,0.42,0,0.21,0.63,39.4,38.3,97.4,0,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,51.4,8.04,27.7,24.1,2.22,0.44,48.2,0.06,0.13,50,0.06,0,23,128.3,62.4,1.01,0.19,0,0.06,0.38,25.9,25.1,97.1,0,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,47.2,0.65,3.74,18.1,29.4,5.79,45.9,1.78,2.8,63.3,1.78,0,39.2,278.6,174.4,9.81,2.34,3.18,1.5,2.06,47.9,36.8,76.8,6.82,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,55.9,2.86,14.7,31.5,12.4,0.66,52.1,0.66,1.32,50,0.77,0,33.7,145.3,71,3.19,1.1,0,0.66,1.1,35.9,33.1,92,0.77,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,80.6,3.24,20.2,51.5,13.6,0.87,78.4,1.13,1.71,66,1.16,0.07,57.1,258.8,132.3,4.25,1.16,0.04,0.69,0.8,61.2,58.3,95.3,1.45,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,34.1,1.88,3.91,13.5,18.4,4.78,33.3,1.74,2.32,75,1.74,0,24.6,135.1,48.8,2.75,0.43,0.29,3.77,2.46,52.8,23.5,44.5,7.39,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,41,0.78,3.43,20.4,19.3,4.8,39.7,1.18,2.65,44.4,1.27,0.2,30.5,133.6,74.8,4.12,1.18,0.98,3.14,2.25,53.5,30.7,57.3,7.94,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,29.2,0.89,3.14,12.8,14.6,5.56,28,0.65,1.78,36.7,0.71,0.18,17,73.3,33.8,1.6,0.53,0.3,2.31,0.77,36.6,18.3,50,5.15,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,50,0,20,30,0,0,50,0,0,,0,0,30,150,50,0,0,0,0,0,30,30,100,0,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,43.8,1.19,7.38,18.3,21.8,4.05,43.3,1.43,3.02,47.4,1.75,0.32,33.6,187.7,105.6,4.92,1.35,1.19,1.75,1.83,42,30.4,72.4,5.24,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,37.9,0.71,1.43,15.7,23.6,6.43,37.9,0,2.14,0,0.71,0,23.6,165.7,112.9,7.14,2.14,0.71,3.57,2.14,35.7,24.3,68,10.7,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,30.4,0.82,3.51,11.1,18.2,5.19,29.3,0.74,1.86,39.5,0.82,0,20.9,139.4,87.3,4.89,1.04,1.34,1.86,1.39,37.3,20.5,54.9,6.58,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,85,2.07,16.1,35.6,38.8,3.7,72.6,1.48,2,74.1,1.56,0,58.1,258.8,131,7.33,2.52,0.74,0.89,1.04,63.3,58,91.7,5.04,Matches
227,Vitaly Janelt,,de GER,MF,Brentford,23-329,1998,20.7,48.4,2.85,14.5,24.3,11.9,1.74,45.8,0.48,0.68,71.4,0.53,0.05,26.1,126.9,61.9,2.37,0.53,0.19,1.06,0.53,35.2,28.1,79.9,1.88,Matches
228,Pontus Jansson,,se SWE,DF,Brentford,31-050,1991,30.9,49.5,11.7,32.1,17.7,1.55,1.17,48,0.03,0.06,50,0.06,0,23.6,118.7,53.6,0.78,0,0.03,0.19,0.1,28.2,26.6,94.4,0.1,Matches
229,Mathias Jensen,,dk DEN,MF,Brentford,26-093,1996,13.7,53.9,1.75,11.5,28.1,17.9,1.46,47.4,0.66,1.17,56.3,0.8,0.29,30.7,142.7,67.1,3.28,1.17,0,0.95,1.31,38.3,30.9,80.6,2.85,Matches
230,Gabriel Jesus,,br BRA,FW,Manchester City,25-001,1997,15.2,51.9,0.66,4.54,19.8,30.6,7.7,51.1,1.58,2.7,58.5,1.84,0.13,41.5,204.1,104.2,7.76,1.25,1.71,3.09,2.17,54.1,40.7,75.2,7.37,Matches
231,Raul Jimenez,,mx MEX,FW,Wolves,30-334,1991,23.9,42.1,1.17,3.81,23.6,17,4.98,40.3,1.34,3.51,38.1,1.63,0.08,28.8,103.3,51.5,3.22,0.67,0.71,3.14,2.18,49.7,31.3,62.9,6.74,Matches
232,Joelinton,,br BRA,MFFW,Newcastle Utd,25-233,1996,21.6,51.3,3.15,11.9,25.8,17.7,3.33,50.7,1.39,2.73,50.8,1.48,0.19,33.7,169.5,93.6,3.7,1.2,0.28,2.87,2.64,40,31.7,79.2,4.03,Matches
233,Ben Johnson,,eng ENG,DF,West Ham,22-070,2000,13.4,61.6,5.82,22.2,27.2,15.4,0.82,51.7,0.6,1.12,53.3,0.82,0.15,33.1,161.9,71.8,2.99,1.49,0.07,0.82,0.9,35.5,32.6,91.8,1.19,Matches
234,Curtis Jones,,eng ENG,MF,Liverpool,21-064,2001,7.8,71.8,1.15,9.36,42.8,25.3,1.67,70.5,1.79,2.95,60.9,1.79,0.13,57.1,308.1,144.4,8.33,2.56,0.51,1.79,2.31,63.7,57.8,90.7,4.62,Matches
235,Phil Jones,,eng ENG,DF,Manchester Utd,30-042,1992,1,59,9,21,35,6,0,59,0,0,,0,0,41,202,121,4,1,0,0,0,39,39,100,0,Matches
236,Jorginho,,it ITA,MF,Chelsea,30-105,1991,20.8,78.8,2.74,19.2,47.7,16.8,0.63,77.1,0.43,0.53,81.8,0.48,0.05,53.5,205.6,96.6,3.51,1.15,0,0.53,1.01,60.6,58.2,96,1.39,Matches
237,Diogo Jota,,pt POR,FW,Liverpool,25-121,1996,20.4,43.2,0.69,4.02,18.6,23.6,6.81,43,1.27,2.89,44.1,1.52,0.39,30.4,151.4,96,5.34,1.57,0.88,2.3,1.91,53.6,33.2,61.9,8.48,Matches
238,James Justin,,eng ENG,DF,Leicester City,24-040,1998,5.1,67.1,5.29,28.2,28,15.5,1.96,59.8,0.59,1.37,42.9,0.78,0.2,39.6,149.6,79.8,2.94,0.98,0.2,0.39,0.78,44.3,40.2,90.7,1.76,Matches
239,Mathias Jorgensen,,dk DEN,DF,Brentford,31-346,1990,4.8,66,3.96,25.4,29,15,0.63,52.9,0,0,,0,0,28.3,134.8,93.3,2.08,1.04,0,0.21,0.42,32.9,30.8,93.7,0.21,Matches
240,Ozan Kabak,,tr TUR,DF,Norwich City,22-010,2000,10.2,50.4,7.35,31.9,20.4,1.57,0.49,48.8,1.37,1.76,77.8,1.37,0,31.3,165.8,92.9,1.47,0.29,0,0.29,0.59,32.6,31.4,96.1,0,Matches
241,Christian Kabasele,,be BEL,DF,Watford,31-039,1991,6.3,48.7,9.37,32.9,16.8,1.27,0.48,47.9,0,0,,0,0,27.6,119.5,53.2,1.11,0,0,0,0.16,30.2,29.8,98.9,0,Matches
242,Samuel Kalu,,ng NGA,FWMF,Watford,24-221,1997,0.5,16,2,6,6,6,0,16,2,2,100,2,0,12,88,70,6,2,0,0,0,28,12,42.9,2,Matches
243,Hassane Kamara,,ci CIV,DF,Watford,27-197,1994,11.9,69.8,4.79,32.4,31.2,10.2,0.67,58.9,1.18,2.02,58.3,1.26,0.08,36.2,190,86,2.44,0.92,0.17,0.76,0.67,33.6,31.2,92.8,1.01,Matches
244,Harry Kane,,eng ENG,FW,Tottenham,28-250,1993,27.9,41.4,1.22,3.91,21.6,19,5.23,39.5,1.76,2.76,63.6,1.86,0.25,29.4,157,74.1,3.94,1.43,0.75,2.62,2.01,50.3,31.9,63.5,8.24,Matches
245,N'Golo Kante,,fr FRA,MF,Chelsea,31-006,1991,14,71.8,2,15.5,35.6,26.2,2.07,71.5,2,2.86,70,2.07,0.07,53.1,275.6,152.1,6.64,2.79,0.43,1.36,1.71,59.2,53.9,91,4.79,Matches
246,Edo Kayembe,,cd COD,MF,Watford,23-244,1998,4.6,62.6,3.26,17.6,39.8,10.7,0.43,61.5,0.65,1.52,42.9,0.65,0,43,273,134.8,5.43,1.3,0,0.65,0.65,39.6,37,93.4,1.52,Matches
247,Moise Kean,,it ITA,FW,Everton,22-035,2000,0,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,3,2,66.7,0,Matches
248,Michael Keane,,eng ENG,DF,Everton,29-083,1993,25.2,49.3,7.54,26.7,23.2,1.9,0.75,48.5,0.2,0.28,71.4,0.2,0,25.1,141.2,63.8,1.75,0.28,0,0.2,0.08,27.2,26.3,96.9,0.16,Matches
249,Naby Keita,,gn GUI,MF,Liverpool,27-053,1995,9.2,72.4,1.3,10.1,43.3,22.9,1.96,71.4,0.98,1.41,69.2,0.98,0,53.4,257.8,149.2,8.04,1.85,0.76,1.52,0.98,60.2,53.7,89.2,2.5,Matches
250,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-132,1998,2,47,36,47,0,0,0,37.5,0,0,,0,0,26.5,80,46.5,0,0,0,0,0,27,27,100,0,Matches
