,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,0.59,0.59,0,0.59,0,0,0.59,0,0.59,8.82,1.76,20,0.59,5.29,2.94,0.59,0,0,0.59,1.18,1.76,0,0,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,2.29,1.67,0.83,1.04,0.42,0.42,0.83,50,0.42,18.1,3.13,17.2,1.88,9.17,7.08,0.83,0.21,0.21,0.63,0.83,3.13,0.42,0,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,0.92,0.38,0.27,0.43,0.22,0.22,0.98,22.2,0.76,11.3,3.64,32.4,2.61,4.51,4.13,0.92,0.05,0,0.87,0.38,1.3,0.27,0,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,2,0,0,0,2,0,6,0,6,28,8,28.6,6,18,4,0,0,0,0,4,6,2,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,1.19,0.95,0.95,0.24,0,0.71,0.95,75,0.24,6.9,3.1,44.8,3.57,2.62,0.71,0.48,0.48,0,0,1.9,3.1,3.33,0,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,1.34,0.82,0.78,0.52,0.04,0.65,1.42,45.5,0.78,8.02,2.76,34.4,4.05,3.75,0.22,2.16,1.03,0.04,1.12,3.1,4.44,5.73,0,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,2.71,1.46,1.25,1.25,0.21,1.04,2.5,41.7,1.46,18.5,5,27,4.79,10,3.75,1.46,0.63,0,0.83,1.88,4.58,1.04,0,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,6.25,3.75,3.75,2.5,0,1.25,1.25,100,0,20,7.5,37.5,6.25,7.5,6.25,2.5,1.25,0,1.25,2.5,8.75,2.5,0,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.5,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,1.59,1.06,0.77,0.58,0.24,0.72,1.54,46.9,0.82,15.3,3.94,25.8,4.66,7.74,2.88,0.87,0.05,0,0.82,0.58,2.16,0.29,0,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,3.03,1.45,1.45,1.18,0.39,1.18,2.5,47.4,1.32,24.9,6.05,24.3,9.08,12.8,3.03,2.5,0.66,0,1.84,0.92,3.95,1.32,0,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,0.65,0.16,0.16,0.32,0.16,0.16,0.48,33.3,0.32,9.35,2.42,25.9,0.73,4.03,4.6,0.65,0.32,0,0.32,0.08,0.73,2.42,0.08,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,1.56,0.74,0.82,0.57,0.16,0.74,1.64,45,0.9,13.9,3.61,25.9,4.02,5.66,4.26,1.48,0.16,0,1.31,1.39,2.95,1.72,0,Matches
