,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,2.47,1.53,0.73,1.35,0.4,0.84,2.33,35.9,1.49,20,5.38,26.9,7.6,9.45,2.95,2,0.36,0,1.64,2.04,4.51,1.56,0,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,1.59,0.87,0.58,0.72,0.29,0.29,0.72,40,0.43,13.5,3.33,24.7,2.17,5.8,5.51,0.58,0.43,0,0.14,0.58,2.17,1.16,0,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,1.08,0.69,0.2,0.69,0.2,0.29,0.98,30,0.69,17.4,4.71,27.1,1.18,8.04,8.14,0.78,0,0,0.78,0.39,1.47,0.78,0,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,1.12,0.53,0.24,0.71,0.18,0.47,1.36,34.8,0.89,17.6,3.79,21.5,2.54,7.51,7.51,1.42,0.18,0,1.24,0.83,1.95,0.89,0,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,10,0,0,10,0,10,20,50,10,40,10,25,20,20,0,0,0,0,0,0,10,0,0,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,1.83,1.03,0.63,0.71,0.48,0.71,1.9,37.5,1.19,22.6,6.43,28.4,6.51,9.76,6.35,1.67,0.16,0,1.51,1.51,3.33,0.79,0,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,2.86,2.86,0,2.86,0,0.71,0.71,100,0,22.1,5.71,25.8,3.57,9.29,9.29,1.43,0,0,1.43,0,2.86,0.71,0,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,1.26,0.61,0.48,0.39,0.39,0.43,1.04,41.7,0.61,20.4,5.45,26.7,2.9,7.53,10,0.78,0.09,0,0.69,0.78,2.03,0.43,0,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,1.85,1.11,1.19,0.59,0.07,0.44,1.41,31.6,0.96,13,4.81,37.1,5.63,4.89,2.44,1.41,0.22,0.07,1.19,1.11,2.96,1.04,0,Matches
227,Vitaly Janelt,,de GER,MF,Brentford,23-329,1998,20.7,2.27,1.26,0.82,1.01,0.43,0.77,2.03,38.1,1.26,19.2,5.6,29.1,5.36,9.42,4.44,1.98,0.39,0,1.59,1.69,3.96,1.45,0,Matches
228,Pontus Jansson,,se SWE,DF,Brentford,31-050,1991,30.9,0.97,0.68,0.71,0.23,0.03,0.42,1,41.9,0.58,5.44,2.04,37.5,3.2,1.91,0.32,1.55,0.65,0,0.91,1.78,2.75,5.6,0.03,Matches
229,Mathias Jensen,,dk DEN,MF,Brentford,26-093,1996,13.7,1.97,1.75,0.73,0.95,0.29,1.17,3.43,34,2.26,25.9,7.45,28.7,9.85,12,4.01,1.61,0.29,0,1.31,1.9,3.87,0.73,0,Matches
230,Gabriel Jesus,,br BRA,FW,Manchester City,25-001,1997,15.2,0.86,0.46,0.26,0.2,0.39,0.2,1.32,15,1.12,14.3,3.29,22.9,2.04,6.38,5.92,1.32,0.07,0,1.25,0.86,1.71,0.33,0,Matches
231,Raul Jimenez,,mx MEX,FW,Wolves,30-334,1991,23.9,1.17,0.79,0.17,0.63,0.38,0.17,0.84,20,0.67,15.1,3.85,25.5,1.51,7.78,5.82,1,0.17,0,0.84,0.75,1.92,0.92,0,Matches
232,Joelinton,,br BRA,MFFW,Newcastle Utd,25-233,1996,21.6,2.78,1.81,1.39,1.06,0.32,0.88,1.9,46.3,1.02,21.8,6.34,29.1,6.67,10,5.09,2.45,0.42,0,2.04,1.62,4.4,1.67,0,Matches
233,Ben Johnson,,eng ENG,DF,West Ham,22-070,2000,13.4,2.09,1.12,0.97,0.82,0.3,1.19,2.01,59.3,0.82,11.3,3.96,35.1,5.45,3.58,2.24,3.21,0.6,0.07,2.61,1.57,3.66,3.13,0,Matches
234,Curtis Jones,,eng ENG,MF,Liverpool,21-064,2001,7.8,1.41,0.9,0.26,1.03,0.13,0.38,1.15,33.3,0.77,23.3,6.54,28,3.85,13.2,6.28,0.51,0,0,0.51,1.15,2.56,0.13,0,Matches
235,Phil Jones,,eng ENG,DF,Manchester Utd,30-042,1992,1,3,3,2,0,1,2,3,66.7,1,11,2,18.2,3,7,1,3,3,0,0,2,5,3,0,Matches
236,Jorginho,,it ITA,MF,Chelsea,30-105,1991,20.8,2.5,1.63,1.11,1.2,0.19,0.72,2.98,24.2,2.26,18.6,6.06,32.6,6.78,9.04,2.74,1.63,0.29,0,1.35,2.31,4.81,0.82,0.05,Matches
237,Diogo Jota,,pt POR,FW,Liverpool,25-121,1996,20.4,1.27,0.78,0.49,0.54,0.25,0.34,1.76,19.4,1.42,21.7,6.23,28.7,3.73,8.58,9.36,0.83,0.15,0,0.69,0.64,1.91,0.29,0,Matches
238,James Justin,,eng ENG,DF,Leicester City,24-040,1998,5.1,2.16,1.37,0.78,0.98,0.39,0.59,1.57,37.5,0.98,16.7,4.31,25.9,9.22,5.88,1.57,2.35,0.2,0,2.16,2.75,4.9,3.14,0,Matches
239,Mathias Jorgensen,,dk DEN,DF,Brentford,31-346,1990,4.8,2.08,0.42,0.63,0.83,0.63,1.25,1.67,75,0.42,9.38,2.08,22.2,5.21,2.92,1.25,1.46,0.21,0,1.25,2.08,4.17,2.29,0,Matches
240,Ozan Kabak,,tr TUR,DF,Norwich City,22-010,2000,10.2,1.27,1.08,0.59,0.59,0.1,0.39,0.88,44.4,0.49,9.41,3.82,40.6,6.47,2.75,0.2,1.86,1.18,0,0.69,2.16,3.43,2.84,0,Matches
241,Christian Kabasele,,be BEL,DF,Watford,31-039,1991,6.3,0.95,0.63,0.48,0.48,0,0,0.32,0,0.32,5.56,2.06,37.1,3.49,2.06,0,2.7,1.27,0,1.43,2.54,3.49,4.29,0,Matches
242,Samuel Kalu,,ng NGA,FWMF,Watford,24-221,1997,0.5,0,0,0,0,0,0,0,,0,18,2,11.1,4,6,8,2,0,0,2,2,2,0,0,Matches
243,Hassane Kamara,,ci CIV,DF,Watford,27-197,1994,11.9,4.2,2.18,2.77,1.18,0.25,1.6,2.69,59.4,1.09,18.9,5.13,27.1,11.7,5.88,1.34,1.85,0.25,0,1.6,5.04,9.24,3.61,0,Matches
244,Harry Kane,,eng ENG,FW,Tottenham,28-250,1993,27.9,0.47,0.25,0,0.29,0.18,0.18,0.61,29.4,0.43,10.9,3.26,29.9,0.68,4.44,5.77,0.61,0.22,0,0.39,0.22,0.68,1,0,Matches
245,N'Golo Kante,,fr FRA,MF,Chelsea,31-006,1991,14,2.64,1.5,1.14,1,0.5,0.86,2,42.9,1.14,18.1,6.07,33.5,5.57,8.64,3.93,1.71,0.14,0,1.57,2.21,4.86,0.86,0,Matches
246,Edo Kayembe,,cd COD,MF,Watford,23-244,1998,4.6,1.96,1.52,0.43,1.09,0.43,0.65,1.52,42.9,0.87,13.7,5.22,38.1,5.43,7.39,0.87,1.74,0,0,1.74,1.96,3.91,2.83,0,Matches
247,Moise Kean,,it ITA,FW,Everton,22-035,2000,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
248,Michael Keane,,eng ENG,DF,Everton,29-083,1993,25.2,1.63,1.19,1.07,0.48,0.08,0.83,1.39,60,0.56,7.18,2.98,41.4,4.05,2.66,0.48,1.79,1.11,0,0.67,2.06,3.69,4.64,0.08,Matches
249,Naby Keita,,gn GUI,MF,Liverpool,27-053,1995,9.2,3.15,1.96,1.3,1.3,0.54,1.52,2.83,53.8,1.3,25,8.37,33.5,5.65,12.7,6.63,1.85,0.22,0,1.63,1.41,4.57,0.22,0,Matches
250,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-132,1998,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
251,Jonjoe Kenny,,eng ENG,DF,Everton,25-020,1997,8.8,1.36,1.02,0.57,0.8,0,1.02,2.39,42.9,1.36,12.2,4.32,35.5,5.11,5.91,1.14,1.48,0.23,0,1.25,2.95,4.32,1.59,0,Matches
252,Max Kilman,,eng ENG,DF,Wolves,24-316,1997,28.9,1.83,1.14,1.38,0.45,0,0.69,1.14,60.6,0.45,8.1,3.04,37.6,5.33,2.39,0.38,1.73,0.69,0,1.04,2.21,4.05,4.01,0.03,Matches
253,Joshua King,,no NOR,FW,Watford,30-079,1992,22,1.27,0.82,0.27,0.64,0.36,0.23,0.73,31.3,0.5,19.2,5.45,28.4,2.82,8.5,7.91,0.77,0.14,0,0.64,0.5,1.77,1.05,0,Matches
254,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-128,2000,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Mateusz Klich,,pl POL,MF,Leeds United,31-295,1990,19.1,1.94,1.05,0.68,0.94,0.31,0.79,2.57,30.6,1.78,24.8,5.92,23.8,7.33,12.9,4.61,1.1,0.26,0,0.84,1.36,3.3,1.15,0,Matches
256,Robin Koch,,de GER,MFDF,Leeds United,25-261,1996,11.2,1.61,0.98,0.8,0.63,0.18,0.63,1.7,36.8,1.07,15.9,5,31.5,6.52,7.95,1.43,1.34,0.45,0.09,0.89,2.68,4.29,2.68,0,Matches
257,Sead Kolasinac,,ba BIH,DF,Arsenal,28-288,1993,1,1,1,1,0,0,0,0,,0,12,3,25,7,3,2,2,0,0,2,4,5,8,0,Matches
258,Ibrahima Konate,,fr FRA,DF,Liverpool,22-314,1999,8,1.13,0.75,0.63,0.38,0.13,0.38,0.63,60,0.25,7,2.13,30.4,4.25,2.5,0.25,1.38,1.13,0.13,0.25,2.63,3.75,5,0,Matches
259,Ezri Konsa,,eng ENG,DF,Aston Villa,24-163,1997,23,0.96,0.57,0.48,0.43,0.04,0.22,0.43,50,0.22,6.22,2.13,34.3,3.35,2.3,0.57,1.57,0.78,0,0.78,1.65,2.61,2.78,0.04,Matches
260,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-104,1989,18.5,2.81,1.62,1.62,1.14,0.05,0.59,1.57,37.9,0.97,17.8,5.3,29.8,8.76,7.95,1.08,2.76,0.86,0,1.89,2.05,4.86,2.54,0,Matches
261,Mateo Kova?i?,,hr CRO,MF,Chelsea,27-333,1994,14.5,3.03,2.41,0.97,1.59,0.48,0.97,1.79,53.8,0.83,23.2,7.03,30.4,6,13.1,4.07,1.1,0.21,0,0.9,1.24,4.28,0.76,0.07,Matches
262,Emil Krafth,,se SWE,DF,Newcastle Utd,27-245,1994,11.5,1.48,0.78,1.22,0.17,0.09,0.87,2.09,41.7,1.22,12,2.87,23.9,5.39,5.22,1.39,2.17,0.7,0,1.48,2.26,3.74,3.39,0,Matches
263,Alex Kral,,cz CZE,MF,West Ham,23-320,1998,0,0,0,0,0,0,0,0,,0,2,2,100,0,1,1,0,0,0,0,0,0,0,0,Matches
264,Tim Krul,,nl NED,GK,Norwich City,34-001,1988,23,0,0,0,0,0,0,0.09,0,0.09,0.3,0.04,14.3,0.3,0,0,0.04,0,0,0.04,0,0,0,0.04,Matches
265,Juraj Kucka,,sk SVK,MF,Watford,35-037,1987,18.6,3.71,2.37,2.15,1.29,0.27,1.51,3.44,43.8,1.94,20.8,6.72,32.4,8.06,9.89,2.8,1.83,0.43,0.05,1.4,2.15,5.86,2.37,0.05,Matches
266,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-344,2000,8.4,1.19,0.83,0.71,0.48,0,0.36,1.55,23.1,1.19,21.5,5.12,23.8,7.5,9.4,4.64,0.83,0,0,0.83,2.02,3.21,0.12,0,Matches
267,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-311,1991,17,1.41,1,0.41,0.71,0.29,0.35,0.76,46.2,0.41,18.1,5.59,30.8,2.47,6.06,9.59,0.71,0.12,0,0.59,0.71,2.12,0.29,0,Matches
268,Adam Lallana,,eng ENG,MF,Brighton,33-329,1988,16.8,2.26,1.31,1.13,0.89,0.24,0.65,2.08,31.4,1.43,17.6,5.95,33.8,6.61,7.74,3.27,1.49,0.42,0,1.07,1.61,3.87,0.77,0,Matches
269,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-186,2000,15.2,2.24,1.32,0.86,1.12,0.26,0.92,1.58,58.3,0.66,13.9,4.47,32.2,4.47,5.2,4.21,1.18,0.2,0,0.99,2.04,4.28,1.05,0,Matches
270,Manuel Lanzini,,ar ARG,MF,West Ham,29-048,1993,14.7,1.56,1.09,0.68,0.48,0.41,0.75,2.45,30.6,1.7,20.4,5.51,27,5.65,10.5,4.29,1.09,0.07,0,1.02,1.5,3.06,0.41,0,Matches
271,Aymeric Laporte,,es ESP,DF,Manchester City,27-312,1994,24.1,0.95,0.5,0.58,0.33,0.04,0.54,0.87,61.9,0.33,4.56,2.12,46.4,2.74,1.58,0.25,0.71,0.25,0,0.46,1.04,1.99,2.28,0.08,Matches
272,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-144,1993,19.1,0.79,0.42,0.63,0.05,0.1,0.21,0.63,33.3,0.42,6.54,2.15,32.8,3.82,2.46,0.26,2.2,1.41,0.05,0.79,1.52,2.3,6.13,0,Matches
273,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-314,1993,18.5,2.76,1.62,1.19,1.14,0.43,1.08,3.51,30.8,2.43,25.7,6.49,25.2,10.5,11.6,3.68,1.89,0.54,0.11,1.35,1.62,4.38,0.65,0,Matches
274,Aaron Lennon,,eng ENG,MF,Burnley,34-353,1987,12.9,2.17,1.01,0.62,1.01,0.54,0.54,2.25,24.1,1.71,22.1,5.43,24.6,5.89,9.15,7.05,1.78,0.23,0,1.55,0.7,2.87,0.78,0,Matches
275,Bernd Leno,,de GER,GK,Arsenal,30-031,1992,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
276,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-069,1998,2.9,3.79,2.07,2.41,0.69,0.69,1.03,1.38,75,0.34,14.5,4.83,33.3,8.62,2.76,3.1,1.72,0.69,0,1.03,2.07,5.86,2.07,0,Matches
277,Victor Lindelof,,se SWE,DF,Manchester Utd,27-261,1994,18.2,0.88,0.44,0.44,0.44,0,0.44,0.71,61.5,0.27,5.44,2.14,39.4,2.69,2.36,0.38,1.65,0.71,0,0.93,2.14,3.02,4.78,0,Matches
278,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-110,1992,2.3,2.61,1.3,0.87,1.3,0.43,0.43,0.43,100,0,28.7,6.52,22.7,6.52,10.4,11.7,0.43,0,0,0.43,0.87,3.48,0.43,0,Matches
279,Valentino Livramento,,eng ENG,DF,Southampton,19-143,2002,23.2,2.24,1.25,1.34,0.73,0.17,1.03,1.77,58.5,0.73,13.5,4.66,34.5,6.55,5.26,1.68,1.9,0.43,0,1.47,2.93,5.17,2.11,0,Matches
280,Diego Llorente,,es ESP,DF,Leeds United,28-231,1993,20,2.05,1.45,1.35,0.6,0.1,0.95,1.85,51.4,0.9,13.2,5.25,39.9,7.45,5.2,0.5,2.5,0.75,0,1.75,2.4,4.45,4,0.05,Matches
281,Hugo Lloris,,fr FRA,GK,Tottenham,35-099,1986,30,0,0,0,0,0,0,0.03,0,0.03,0.13,0.03,25,0.1,0.03,0,0,0,0,0,0,0,0,0.07,Matches
282,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-360,1996,2.6,3.08,1.15,1.54,1.15,0.38,1.15,4.62,25,3.46,26.5,5.38,20.3,10,11.2,5.38,2.69,0.38,0,2.31,1.15,4.23,0,0,Matches
283,Jurgen Locadia,,nl NED,FW,Brighton,28-148,1993,0.3,3.33,3.33,0,3.33,0,0,0,,0,13.3,10,75,0,6.67,6.67,0,0,0,0,0,3.33,0,0,Matches
284,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-071,1996,9.7,2.16,1.34,1.34,0.72,0.1,0.52,1.13,45.5,0.62,16,5.15,32.3,5.05,8.35,2.58,1.13,0.31,0,0.82,1.13,3.3,1.34,0,Matches
285,Kevin Long,,ie IRL,DF,Burnley,31-229,1990,1,0,0,0,0,0,0,0,,0,6,1,16.7,5,1,0,3,1,0,2,2,2,4,0,Matches
286,Shane Long,,ie IRL,FWMF,Southampton,35-072,1987,1.6,3.75,1.25,0.63,1.88,1.25,0.63,0.63,100,0,28.1,8.75,31.1,3.13,8.13,16.9,0.63,0,0,0.63,0,3.75,0.63,0,Matches
287,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-156,1997,12.2,3.52,2.38,1.31,1.72,0.49,1.39,4.18,33.3,2.79,27.1,7.13,26.3,10.8,12.6,3.69,1.64,0.49,0,1.15,1.39,4.92,1.39,0,Matches
288,Ademola Lookman,,ng NGA,FWMF,Leicester City,24-166,1997,12.7,2.6,1.42,0.94,1.1,0.55,0.71,1.81,39.1,1.1,21.2,5.83,27.5,5.91,9.92,5.35,1.34,0.08,0,1.26,1.42,4.02,0.16,0,Matches
289,Jonas Lossl,,dk DEN,GK,Brentford,33-062,1989,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Imran Louza,,ma MAR,MF,Watford,22-338,1999,11.9,3.19,2.02,1.76,1.18,0.25,1.26,2.94,42.9,1.68,22.6,6.55,29,9.41,10.4,2.77,1.09,0.25,0,0.84,2.77,5.97,1.34,0,Matches
291,Matthew Lowton,,eng ENG,DF,Burnley,32-299,1989,16.8,2.26,1.31,1.19,0.65,0.42,1.13,2.38,47.5,1.25,9.11,3.27,35.9,3.69,3.21,2.2,2.26,0.65,0,1.61,1.79,4.05,3.15,0,Matches
292,Douglas Luiz,,br BRA,MF,Aston Villa,23-330,1998,23.1,2.21,1.39,1.21,0.82,0.17,0.74,2.25,32.7,1.52,17,5.54,32.6,7.53,7.71,1.77,1.3,0.22,0,1.08,2.21,4.42,0.91,0,Matches
293,Romelu Lukaku,,be BEL,FW,Chelsea,28-326,1993,13.8,0.14,0.07,0,0.07,0.07,0,0.14,0,0.14,8.91,2.9,32.5,0.43,3.33,5.14,0.36,0.22,0,0.14,0.07,0.22,1.3,0,Matches
294,Lyanco,,br BRA,DF,Southampton,25-062,1997,6.1,1.64,1.31,0.98,0.66,0,0.49,0.98,50,0.49,11.1,4.26,38.2,5.9,5.25,0,2.46,1.64,0,0.82,2.79,4.43,5.41,0,Matches
295,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-101,1998,15.9,3.52,2.45,1.32,1.57,0.63,1.38,3.33,41.5,1.95,24.5,8.81,36,7.3,11.2,5.97,1.89,0.25,0,1.64,1.26,4.78,0.94,0,Matches
296,James Maddison,,eng ENG,MFFW,Leicester City,25-132,1996,20.1,1.34,0.75,0.25,0.7,0.4,0.25,1.14,21.7,0.9,16.8,4.03,24,3.98,8.36,4.48,1,0.1,0,0.9,0.8,2.14,0.3,0,Matches
297,Harry Maguire,,eng ENG,DF,Manchester Utd,29-030,1993,23.7,1.27,0.68,0.84,0.38,0.04,0.46,0.97,47.8,0.51,6.03,2.03,33.6,4.18,1.77,0.08,1.65,1.22,0,0.42,1.69,2.95,4.73,0,Matches
298,Riyad Mahrez,,dz ALG,FW,Manchester City,31-042,1991,13.5,0.44,0.3,0.07,0.15,0.22,0.15,0.89,16.7,0.74,11,3.19,28.9,1.93,4.67,4.44,1.04,0.07,0,0.96,0.59,1.04,0.07,0,Matches
299,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-218,1997,3,2.33,1.33,1.33,0.67,0.33,0.33,1.33,25,1,18,5.67,31.5,6.33,8.33,3.33,1.67,0.33,0,1.33,1,3.33,1.33,0,Matches
300,Sadio Mane,,sn SEN,FW,Liverpool,29-359,1992,25,1.08,0.6,0.24,0.4,0.44,0.24,0.88,27.3,0.64,14.2,4.4,30.9,2,6.48,5.76,1.2,0.16,0,1.04,0.56,1.64,0.36,0,Matches
301,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-334,1994,14,2.93,1.71,1.93,0.71,0.29,1.36,2.57,52.8,1.21,12.5,4,32,7.14,3.29,2.07,2,0.43,0,1.57,1.64,4.57,2.07,0,Matches
302,Fernando Marcal,,br BRA,DF,Wolves,33-044,1989,15.2,2.57,1.58,1.78,0.59,0.2,1.12,2.17,51.5,1.05,15.2,4.34,28.6,8.09,5.13,1.97,2.7,0.26,0,2.43,1.91,4.47,3.36,0,Matches
303,Solly March,,eng ENG,DFFW,Brighton,27-258,1994,14.7,1.9,1.16,0.82,0.41,0.68,0.48,1.09,43.8,0.61,13.7,4.22,30.7,4.01,4.22,5.51,1.56,0.14,0,1.43,1.77,3.67,1.22,0,Matches
304,Pablo Mari,,es ESP,DF,Arsenal,28-216,1993,2,3,1,1,1.5,0.5,2,4,50,2,9.5,2,21.1,4.5,4,1,3,2,0,1,3,6,5.5,0,Matches
305,Anthony Martial,,fr FRA,FW,Manchester Utd,26-120,1995,2.4,0.42,0.42,0,0,0.42,0,0.42,0,0.42,11.7,4.58,39.3,2.5,3.75,5.42,1.25,0,0,1.25,0.42,0.83,0.83,0,Matches
306,Martinelli,,br BRA,FWMF,Arsenal,20-290,2001,13.8,1.74,1.09,0.58,0.8,0.36,0.43,1.3,33.3,0.87,16.4,4.71,28.6,2.97,5.14,8.33,1.88,0.22,0,1.67,1.01,2.75,0.72,0,Matches
307,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-214,1992,29,0,0,0,0,0,0,0.03,0,0.03,0.07,0,0,0.07,0,0,0,0,0,0,0.03,0.03,0.03,0.03,Matches
308,Adam Masina,,ma MAR,DF,Watford,28-092,1994,9.6,2.08,1.04,0.83,1.15,0.1,0.83,2.4,34.8,1.56,14.4,4.06,28.3,6.35,6.15,1.88,2.4,0.42,0,1.98,2.08,4.17,3.85,0,Matches
309,Arthur Masuaku,,cd COD,DFFW,West Ham,28-148,1993,6.2,4.68,2.74,2.58,1.77,0.32,1.77,3.23,55,1.45,16.1,5.81,36,7.9,6.77,1.45,1.61,0.16,0,1.45,2.58,7.26,2.42,0,Matches
310,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-280,1997,7.2,0.56,0.42,0.14,0.42,0,0.28,1.39,20,1.11,20.6,4.17,20.3,2.64,11.8,6.11,0.69,0.28,0,0.42,0.28,0.83,1.67,0,Matches
311,Nemanja Mati?,,rs SRB,MF,Manchester Utd,33-246,1988,10.4,1.92,1.44,1.15,0.67,0.1,0.67,2.12,31.8,1.44,14.5,4.42,30.5,5.96,7.6,0.96,2.12,0.48,0,1.63,1.73,3.65,2.12,0.1,Matches
312,Joel Matip,,cm CMR,DF,Liverpool,30-239,1991,24,1.33,1,0.54,0.58,0.21,0.42,0.75,55.6,0.33,6.5,2.63,40.4,3.38,2.46,0.67,1.33,0.58,0.04,0.75,2.04,3.38,4,0.04,Matches
313,Neal Maupay,,fr FRA,FW,Brighton,25-233,1996,23.6,0.72,0.42,0.13,0.38,0.21,0.21,0.64,33.3,0.42,20.1,5.68,28.2,1.61,7.42,11.1,0.89,0.13,0,0.76,0.38,1.1,0.13,0,Matches
314,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-240,1999,25.7,1.28,0.86,0.12,0.58,0.58,0.19,0.54,35.7,0.35,15.9,4.2,26.4,2.33,6.89,6.69,1.28,0.16,0,1.13,0.66,1.95,0.62,0,Matches
315,James McArthur,,sct SCO,MF,Crystal Palace,34-179,1987,12.9,2.48,1.78,1.24,1.16,0.08,1.16,2.87,40.5,1.71,23.8,8.14,34.2,7.67,12.9,3.26,2.33,0.62,0,1.71,1.86,4.34,2.4,0,Matches
316,James Mcatee,,eng ENG,MFFW,Manchester City,19-168,2002,0.2,0,0,0,0,0,0,10,0,10,45,10,22.2,10,0,35,0,0,0,0,5,5,0,0,Matches
317,Kasey McAteer,,eng ENG,FW,Leicester City,20-133,2001,0,0,0,0,0,0,0,0,,0,4,1,25,0,2,2,0,0,0,0,0,0,0,0,Matches
318,Liam McCarron,,sct SCO,FW,Leeds United,21-028,2001,0.1,0,0,0,0,0,0,0,,0,30,0,0,20,0,10,0,0,0,0,0,0,0,0,Matches
319,Alex McCarthy,,eng ENG,GK,Southampton,32-122,1989,15,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
320,John McGinn,,sct SCO,MF,Aston Villa,27-168,1994,26.3,3.12,1.79,1.14,1.48,0.49,1.29,2.93,44.2,1.63,15.8,5.25,33.2,4.68,8.1,3.04,1.71,0.15,0,1.56,1.67,4.79,1.25,0,Matches
321,Stuart McKinstry,,sct SCO,MF,Leeds United,19-198,2002,0,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,Matches
322,Kenny McLean,,sct SCO,MF,Norwich City,30-086,1992,27.3,1.43,0.84,0.51,0.84,0.07,0.59,2.09,28.1,1.5,16.8,3.63,21.6,6.7,7.69,2.38,0.95,0.18,0,0.77,1.61,3.04,1.68,0,Matches
323,Dwight McNeil,,eng ENG,MF,Burnley,22-133,1999,26.5,2.08,0.98,0.79,1.06,0.23,0.68,2.42,28.1,1.74,19.8,4.94,24.9,6.98,8.38,4.49,2.49,0.38,0.08,2.11,2.08,4.15,0.6,0,Matches
324,Scott McTominay,,sct SCO,MF,Manchester Utd,25-117,1996,21.5,2.88,1.4,1.58,1.07,0.23,1.4,2.88,48.4,1.49,18.2,5.02,27.6,6.65,9.58,2,1.95,0.42,0,1.53,1.81,4.7,2.37,0,Matches
325,Ben Mee,,eng ENG,DF,Burnley,32-193,1989,20.4,1.32,0.78,0.74,0.44,0.15,0.54,1.08,50,0.54,5.34,1.91,35.8,2.99,2.06,0.29,1.96,1.27,0.05,0.69,1.72,3.04,5.98,0,Matches
326,Benjamin Mendy,,fr FRA,DF,Manchester City,27-261,1994,0.9,3.33,1.11,1.11,1.11,1.11,2.22,4.44,50,2.22,13.3,2.22,16.7,3.33,8.89,1.11,0,0,0,0,0,3.33,3.33,0,Matches
327,Edouard Mendy,,sn SEN,GK,Chelsea,30-034,1992,25,0,0,0,0,0,0,0.08,0,0.08,0.12,0.04,33.3,0.12,0,0,0,0,0,0,0,0,0,0.16,Matches
328,Nampalys Mendy,,sn SEN,MF,Leicester City,29-285,1992,2.8,1.43,0.71,0.71,0.71,0,0.71,1.07,66.7,0.36,12.5,4.64,37.1,4.64,6.07,1.79,1.79,0.71,0,1.07,2.14,3.57,0.71,0,Matches
329,Illan Meslier,,fr FRA,GK,Leeds United,22-033,2000,30.6,0,0,0,0,0,0,0,,0,0.16,0.07,40,0.16,0,0,0,0,0,0,0,0,0.07,0.03,Matches
330,Luka Milivojevi?,,rs SRB,MF,Crystal Palace,30-362,1991,7.2,2.22,1.11,1.11,0.83,0.28,1.39,2.36,58.8,0.97,15.1,5,33,6.39,6.94,1.81,0.97,0.14,0,0.83,0.97,3.19,2.36,0,Matches
