,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,0,0.75,0.25,33.3,0.75,0.25,0,0,9.1,0,0,0,0.13,0.13,0.17,-0.13,-0.13,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,0.32,2.69,0.97,36,2.68,0.97,0.04,0.11,13.7,0,0.22,0.32,0.65,0.4,0.15,-0.32,-0.29,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,0.04,2.19,0.72,32.8,2.19,0.72,0.02,0.05,22,0.04,0,0,0.1,0.1,0.05,-0.07,-0.07,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,0.09,1.36,0.44,32.3,1.36,0.44,0.06,0.2,16.2,0.04,0,0,0.13,0.13,0.09,-0.04,-0.04,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,0,0.82,0,0,0.82,0,0,,28.8,0,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,0.1,0.88,0.24,26.9,0.88,0.24,0.12,0.43,18.1,0,0,0,0.06,0.06,0.07,0.04,0.04,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,0.06,0.13,0.06,50,0.13,0.06,0.5,1,19.5,0,0,0,0.01,0.01,0.05,0.06,0.06,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,0.4,1,0.6,60,1.01,0.61,0.4,0.67,17,0,0,0,0.14,0.14,0.14,0.26,0.26,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,0,0.08,0,0,0.08,0,0,,9,0,0,0,0,0,0.04,0,0,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,0.29,2.35,0.59,25,2.34,0.59,0.13,0.5,11.6,0,0,0,0.46,0.46,0.19,-0.16,-0.16,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,0.23,0.38,0.31,80,0.38,0.31,0.6,0.75,14.5,0,0,0,0.06,0.06,0.17,0.17,0.17,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,0,1.05,0,0,1.06,0,0,,20.3,0,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,0.2,0.4,0.2,50,0.4,0.2,0.5,1,15.5,0,0,0,0.02,0.02,0.05,0.18,0.18,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,0.5,2.17,1,46.2,2.17,1,0.23,0.5,17.9,0,0,0,0.2,0.2,0.09,0.3,0.3,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,0,3.33,1.67,50,3.46,1.73,0,0,6.5,0,0,0,0.33,0.33,0.11,-0.33,-0.33,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,0,0.31,0,0,0.32,0,0,,12.8,0,0,0,0,0,0.02,0,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,0,0.35,0,0,0.35,0,0,,19.6,0,0,0,0.03,0.03,0.08,-0.03,-0.03,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,0,1.36,0.45,33.3,1.39,0.46,0,0,16.7,0,0,0,0.23,0.23,0.16,-0.23,-0.23,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,0,0.62,0.09,14.3,0.62,0.09,0,0,7,0,0,0,0.07,0.07,0.11,-0.07,-0.07,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,0,0.78,0.46,58.3,0.78,0.46,0,0,23.2,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,0,0.17,0.17,100,0.17,0.17,0,0,28.6,0,0,0,0,0,0.02,0,0,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,0.1,0.36,0.1,27.3,0.36,0.1,0.27,1,12.2,0,0,0,0.06,0.06,0.16,0.04,0.04,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,0.05,0.37,0.05,12.5,0.37,0.05,0.13,1,17.2,0,0,0,0.05,0.05,0.12,0,0,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,0,0.35,0.12,33.3,0.35,0.12,0,0,6.3,0,0,0,0.05,0.05,0.14,-0.05,-0.05,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,0,1.18,0,0,1.15,0,0,,14.9,0,0,0,0.29,0.29,0.23,-0.29,-0.29,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,0,0.26,0,0,0.26,0,0,,11,0,0,0,0.01,0.01,0.06,-0.01,-0.01,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,0,0.28,0,0,0.28,0,0,,22.8,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,0.47,2.2,1.1,50,2.21,1.1,0.21,0.43,17.1,0.31,0,0,0.24,0.24,0.11,0.24,0.24,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,0,5,0,0,4.09,0,0,,22.4,0,0,0,0,0,0.03,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,0,0.59,0.21,36.4,0.59,0.21,0,0,17,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,0.43,2.98,1.28,42.9,2.98,1.28,0.14,0.33,18.6,0.43,0,0,0.37,0.37,0.12,0.05,0.05,Matches
