,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-176,1981,2,59,41,18,5,0,1,1,0,0,0,0,0,17,0,42,7,50,0,0,0,39,0,2,1,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-007,1997,8.5,170,161,9,0,0,81,0,1,0,0,0,0,85,58,27,14,94,17,1,12,108,0,3,10,10,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-300,1994,26.9,2504,2259,245,37,6,201,79,76,1,1,0,0,1750,373,381,273,1925,69,207,4,2111,7,40,84,55,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-049,1997,22.8,733,682,51,10,4,129,25,52,15,10,3,0,391,126,216,90,574,34,25,2,442,1,24,35,57,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-024,1998,4.9,154,148,6,3,2,21,2,3,0,0,0,0,108,25,21,15,124,8,3,1,127,0,1,6,3,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-228,1997,28.5,1195,927,268,30,1,122,43,81,1,0,0,0,589,213,393,103,763,67,237,2,825,3,29,38,37,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-108,1995,14.8,739,621,118,5,0,119,9,11,1,0,1,0,436,147,156,73,479,56,112,2,589,2,11,32,16,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-020,1994,4,232,186,46,5,0,40,1,6,0,0,0,0,155,48,29,37,144,6,41,0,196,0,1,6,7,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-045,1989,24.3,853,802,51,9,0,97,41,3,0,0,0,0,518,87,248,158,551,73,42,0,695,2,15,14,8,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-037,1987,6.8,181,177,4,0,0,28,8,3,0,0,0,0,130,29,22,39,118,8,1,13,142,0,3,7,2,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-285,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-261,1999,13.1,908,878,30,23,2,83,6,2,0,0,0,0,751,64,93,37,796,48,7,3,823,1,7,14,5,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-062,1995,1.9,98,83,15,4,0,10,1,2,0,0,0,0,60,22,16,4,76,4,11,1,81,0,3,4,1,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-062,1995,5,271,264,7,6,1,30,3,1,0,0,0,0,188,22,61,12,232,17,1,1,221,1,2,6,2,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-092,1996,6,343,265,78,10,0,53,5,10,25,16,2,1,220,48,75,235,51,10,43,1,264,1,2,7,15,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-046,2000,0.6,25,22,3,0,0,6,3,7,0,0,0,0,10,7,8,2,16,2,3,0,15,0,1,1,3,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-173,1997,3.2,158,146,12,3,0,38,1,0,0,0,0,0,111,21,26,8,120,11,8,0,129,0,8,3,3,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-347,1996,14.1,1040,998,42,27,1,122,17,1,0,0,0,0,854,79,107,65,897,37,14,4,947,0,9,15,7,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,75,75,0,0,0,10,0,0,0,0,0,0,64,6,5,6,64,2,0,0,59,0,0,7,3,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,348,340,8,6,0,37,3,3,0,0,0,0,239,38,71,247,59,22,2,1,276,3,10,7,5,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-223,1989,15.2,555,482,73,22,2,88,19,16,34,22,10,0,308,96,151,66,429,37,7,3,410,2,10,18,6,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-352,1991,6,268,206,62,7,0,33,2,4,0,0,0,0,161,38,69,7,197,4,55,1,206,1,2,10,7,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-026,1993,29.8,1266,1232,34,33,0,105,46,2,0,0,0,0,984,72,210,49,1153,51,0,2,1136,2,9,18,8,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-163,1988,21.6,1000,761,239,12,1,142,14,37,0,0,0,0,482,211,307,162,543,51,227,0,738,4,20,42,20,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-327,2001,8.6,264,259,5,4,0,43,8,0,0,0,0,0,127,34,103,16,194,29,1,1,186,0,15,4,3,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-054,2000,1.7,18,17,1,0,0,6,0,1,0,0,0,0,15,3,0,1,15,0,0,2,15,0,0,1,1,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-205,1991,14.2,848,822,26,22,0,84,24,1,0,0,0,0,635,79,134,663,100,51,4,4,743,2,13,10,8,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-271,1989,9.8,273,271,2,0,0,58,6,3,0,0,0,0,181,31,61,28,205,21,0,2,205,3,3,11,8,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-177,1996,12.2,249,234,15,1,2,73,9,12,12,8,3,1,160,38,51,161,50,15,0,3,162,0,1,14,7,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-070,1994,0.2,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,3,1,0,0,0,4,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-213,1992,18.7,1087,849,238,16,0,112,18,63,1,1,0,0,448,276,363,99,654,81,221,6,733,7,23,41,43,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-284,1992,8.6,343,326,17,5,3,63,9,10,4,1,3,0,247,37,59,24,300,9,2,5,281,3,5,13,10,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-098,1989,22.3,1528,1245,283,43,0,151,39,46,49,12,37,0,923,274,331,1188,89,35,191,6,1214,7,23,49,43,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-106,2002,1.6,96,95,1,1,0,8,2,0,0,0,0,0,59,10,27,7,77,11,0,0,72,1,1,1,2,Matches
98,Cucho,,co COL,FWMF,Watford,22-337,1999,11.3,353,321,32,5,2,77,15,23,15,6,7,0,189,72,92,47,253,23,2,3,228,0,11,17,25,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-244,1998,25.3,1767,1490,277,16,1,245,28,71,5,3,0,0,1159,357,251,1120,308,49,256,8,1442,6,16,69,63,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-331,2002,0.9,32,29,3,1,1,3,0,0,2,2,0,0,27,2,3,13,17,2,0,0,27,0,0,1,1,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-165,1998,8.5,144,132,12,0,1,43,0,2,0,0,0,0,101,26,17,31,91,5,1,3,111,0,2,8,4,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-338,1991,28.9,1472,1181,291,43,2,198,56,40,49,33,10,0,876,333,263,237,965,50,199,3,1174,7,24,39,44,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-005,1999,12.1,725,601,124,7,1,99,33,31,2,0,2,0,397,149,179,61,505,26,115,1,576,1,11,28,20,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-166,1990,8,253,152,101,37,0,16,19,0,0,0,0,0,70,12,171,10,198,0,0,29,152,1,7,1,1,Matches
