,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,1,0,0,15,19,5,18,16,25,0,0,0,93,4,13,23.5,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-085,1990,16.1,6,0,0,24,23,2,43,50,21,0,1,0,135,35,16,68.6,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-196,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,60,7,12,36.8,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-092,1994,16.7,1,0,0,12,8,1,0,24,8,0,0,0,141,31,26,54.4,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-296,1996,23.4,3,0,0,13,5,1,5,49,14,0,0,1,183,57,26,68.7,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,31-360,1990,27.6,7,1,1,39,54,12,49,11,19,0,0,0,115,69,128,35,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-024,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-041,1997,13.5,1,0,0,12,8,1,20,8,6,1,0,0,52,10,31,24.4,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,29-358,1992,10.7,1,0,0,8,15,0,14,11,9,0,0,0,111,5,13,27.8,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-171,1994,4,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-129,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-278,1989,11.5,3,0,0,18,12,10,9,1,7,0,0,0,38,28,32,46.7,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-193,1991,17.3,1,0,0,30,59,0,42,20,28,0,0,0,119,23,43,34.8,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-210,1991,21,3,0,0,19,19,1,21,43,32,0,1,0,206,40,44,47.6,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-207,1989,15.9,0,0,0,19,8,2,31,25,23,0,0,0,120,36,25,59,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-257,1994,11,0,0,0,1,2,0,0,0,0,0,1,0,51,0,0,,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,2,0,0,5,10,1,19,3,11,0,0,0,27,7,9,43.8,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-345,1994,2.4,1,0,0,2,0,0,0,8,3,0,0,1,23,5,2,71.4,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-263,2001,0.8,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,33.3,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,2,0,0,7,8,5,4,3,2,0,0,0,19,5,15,25,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,2,1,1,6,14,1,5,18,5,0,0,0,78,10,20,33.3,Matches
