,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
181,Ben Gibson,,eng ENG,DF,Norwich City,29-067,1993,23.7,5,1,1,14,10,0,0,38,12,0,2,0,176,57,29,66.3,Matches
182,Billy Gilmour,,sct SCO,MF,Norwich City,20-285,2001,15.7,2,0,0,35,16,1,15,28,19,0,1,0,136,11,18,37.9,Matches
183,Ben Godfrey,,eng ENG,DF,Everton,24-067,1998,18.5,5,0,0,17,11,0,14,43,22,0,0,0,137,39,31,55.7,Matches
184,Andre Gomes,,pt POR,MF,Everton,28-236,1993,5.6,3,0,0,29,8,0,3,7,9,0,0,0,71,6,10,37.5,Matches
185,Toti Gomes,,pt POR,DF,Wolves,23-066,1999,2,1,0,0,1,1,1,0,6,2,0,0,0,23,6,8,42.9,Matches
186,Joe Gomez,,eng ENG,DF,Liverpool,24-304,1997,1.2,0,0,0,1,1,0,3,5,0,0,0,0,23,6,1,85.7,Matches
187,Charlie Goode,,eng ENG,DF,Brentford,26-232,1995,5,3,0,0,7,8,0,14,5,5,0,1,0,58,19,9,67.9,Matches
188,Anthony Gordon,,eng ENG,MFFW,Everton,21-027,2001,16.7,2,0,0,24,39,8,42,21,30,1,0,0,106,14,34,29.2,Matches
189,Kaide Gordon,,eng ENG,FW,Liverpool,17-169,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Matches
190,Dan Gosling,,eng ENG,MF,Watford,32-050,1990,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100,Matches
191,Demarai Gray,,eng ENG,MFFW,Everton,25-268,1996,18.8,3,0,0,13,38,2,45,11,13,0,0,0,93,3,33,8.3,Matches
192,Jack Grealish,,eng ENG,FW,Manchester City,26-194,1995,16.1,2,0,0,12,49,5,29,11,10,0,0,0,85,11,19,36.7,Matches
193,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,1,0,0,21,22,3,25,4,8,0,0,0,81,6,9,40,Matches
194,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-056,2002,0.9,0,0,0,2,0,1,0,0,0,0,0,0,6,0,2,0,Matches
195,Pascal Gross,,de GER,MFDF,Brighton,30-281,1991,15.3,0,0,0,11,8,3,44,13,17,0,0,0,131,10,26,27.8,Matches
196,Vicente Guaita,,es ESP,GK,Crystal Palace,35-072,1987,23.5,2,0,0,1,2,0,0,0,0,0,1,0,114,0,0,,Matches
197,Marc Guehi,,eng ENG,DF,Crystal Palace,21-253,2000,28,4,0,0,14,28,0,2,46,21,0,1,0,257,62,46,57.4,Matches
198,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-127,1997,3.2,1,0,0,5,15,0,2,8,11,0,0,0,52,3,5,37.5,Matches
199,Ilkay Gundogan,,de GER,MF,Manchester City,31-150,1990,15,1,0,0,13,13,2,21,16,6,0,0,0,93,10,10,50,Matches
200,Angus Gunn,,eng ENG,GK,Norwich City,26-060,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,,Matches
201,Grant Hanley,,sct SCO,DF,Norwich City,30-123,1991,23.2,2,0,0,22,20,1,0,47,35,0,1,0,190,83,26,76.1,Matches
202,Jack Harrison,,eng ENG,FWMF,Leeds United,25-123,1996,21.9,3,0,0,27,21,4,82,28,22,0,0,0,141,20,52,27.8,Matches
203,Kortney Hause,,eng ENG,DF,Aston Villa,26-250,1995,4.4,0,0,0,8,2,1,1,9,4,0,1,0,55,20,8,71.4,Matches
204,Kai Havertz,,de GER,FWMF,Chelsea,22-285,1999,14.5,2,0,0,30,26,10,16,6,11,1,0,0,63,27,50,35.1,Matches
205,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,5,0,0,24,9,0,5,20,18,0,0,0,77,24,15,61.5,Matches
206,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-056,1996,15,1,0,0,24,34,3,7,14,11,0,0,0,80,10,24,29.4,Matches
207,Jordan Henderson,,eng ENG,MF,Liverpool,31-279,1990,22.3,3,0,0,27,8,3,40,36,20,0,0,0,231,17,15,53.1,Matches
208,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,0,0,0,2,0,0,0,0,1,0,0,0,6,1,1,50,Matches
209,Wayne Hennessey,,wls WAL,GK,Burnley,35-058,1987,2,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,,Matches
210,Rico Henry,,eng ENG,DF,Brentford,24-258,1997,23.2,2,0,0,18,21,1,30,46,21,0,0,0,237,34,32,51.5,Matches
211,Son Heung-min,,kr KOR,FWMF,Tottenham,29-258,1992,24.9,1,0,0,11,30,13,51,22,6,1,0,0,131,13,40,24.5,Matches
212,Ki-Jana Hoever,,nl NED,DF,Wolves,20-064,2002,3.4,1,0,0,5,4,1,8,5,10,0,0,0,23,4,4,50,Matches
213,Rob Holding,,eng ENG,DF,Arsenal,26-184,1995,4.8,2,0,0,4,1,0,0,10,6,0,0,0,38,16,14,53.3,Matches
214,Mason Holgate,,eng ENG,DF,Everton,25-152,1996,14.8,3,1,0,18,12,0,1,31,15,0,0,1,161,49,25,66.2,Matches
215,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-136,2000,10.7,1,0,0,12,22,4,26,5,6,1,0,0,55,5,12,29.4,Matches
216,Will Hughes,,eng ENG,MF,Crystal Palace,26-340,1995,9.1,3,0,0,16,14,0,9,14,13,1,1,0,89,11,11,50,Matches
217,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-230,1995,26.5,2,0,0,31,33,0,12,55,42,0,0,0,295,30,15,66.7,Matches
218,Adam Idah,,ie IRL,FWMF,Norwich City,21-012,2001,6.9,0,0,0,10,12,10,11,4,6,0,0,0,34,16,36,30.8,Matches
219,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-171,1996,9.2,1,0,0,20,8,6,8,4,7,0,0,0,42,10,26,27.8,Matches
220,Danny Ings,,eng ENG,FW,Aston Villa,29-243,1992,16.9,2,0,0,14,11,8,13,14,9,0,0,0,71,15,42,26.3,Matches
221,Tim Iroegbunam,,,MF,Aston Villa,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
222,Alex Iwobi,,ng NGA,MFFW,Everton,25-324,1996,11.6,1,0,0,6,6,3,19,18,13,0,0,0,69,5,20,20,Matches
223,Daniel James,,wls WAL,FWMF,Leeds United,24-133,1997,22.5,6,0,0,28,34,13,39,17,14,1,0,0,111,13,43,23.2,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-133,1997,1.4,0,0,0,1,1,2,5,0,4,0,0,0,12,0,1,0,Matches
225,Reece James,,eng ENG,DF,Chelsea,22-105,1999,13.1,4,1,0,11,23,3,54,15,15,0,0,1,107,14,14,50,Matches
226,Vitaly Janelt,,de GER,MF,Brentford,23-317,1998,19.8,3,0,0,29,30,3,21,35,25,0,0,0,182,30,22,57.7,Matches
227,Pontus Jansson,,se SWE,DF,Brentford,31-038,1991,29.9,6,0,0,16,10,4,0,55,19,1,0,0,306,101,62,62,Matches
228,Mathias Jensen,,dk DEN,MF,Brentford,26-081,1996,13.6,0,0,0,13,7,3,27,26,24,0,0,0,111,9,15,37.5,Matches
229,Gabriel Jesus,,br BRA,FW,Manchester City,24-354,1997,14.9,0,0,0,26,15,7,22,12,7,0,0,0,86,15,26,36.6,Matches
230,Raul Jimenez,,mx MEX,FW,Wolves,30-322,1991,23.9,9,2,2,50,50,19,12,18,18,0,0,0,96,63,84,42.9,Matches
231,Joelinton,,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,6,0,0,56,44,1,14,34,38,0,0,0,187,82,88,48.2,Matches
232,Ben Johnson,,eng ENG,DF,West Ham,22-058,2000,13.4,1,0,0,10,3,0,33,21,15,0,0,0,103,13,16,44.8,Matches
233,Curtis Jones,,eng ENG,MF,Liverpool,21-052,2001,7.1,0,0,0,9,22,0,1,8,7,0,0,0,57,6,9,40,Matches
234,Phil Jones,,eng ENG,DF,Manchester Utd,30-030,1992,1,0,0,0,0,3,0,0,2,3,0,0,0,8,0,0,,Matches
235,Jorginho,,it ITA,MF,Chelsea,30-093,1991,20.8,4,0,0,35,37,0,1,50,34,0,0,0,217,14,24,36.8,Matches
236,Diogo Jota,,pt POR,FW,Liverpool,25-109,1996,19.4,2,0,0,33,37,3,13,13,16,1,0,0,101,30,78,27.8,Matches
237,James Justin,,eng ENG,DF,Leicester City,24-028,1998,4.1,0,0,0,5,4,1,2,8,5,0,0,0,36,4,6,40,Matches
238,Mathias Jorgensen,,dk DEN,DF,Brentford,31-334,1990,4.8,2,0,0,9,1,0,8,10,2,0,0,0,59,16,7,69.6,Matches
239,Ozan Kabak,,tr TUR,DF,Norwich City,21-363,2000,10.2,2,0,0,12,13,0,0,22,11,0,2,0,80,29,20,59.2,Matches
240,Christian Kabasele,,be BEL,DF,Watford,31-027,1991,5.3,0,0,0,2,1,0,1,14,3,0,0,0,39,19,5,79.2,Matches
241,Samuel Kalu,,ng NGA,FWMF,Watford,24-209,1997,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,25,Matches
242,Hassane Kamara,,ci CIV,DF,Watford,27-185,1994,10.9,2,0,0,16,12,0,13,50,22,0,0,0,120,28,10,73.7,Matches
243,Harry Kane,,eng ENG,FW,Tottenham,28-238,1993,26.9,3,0,0,35,49,13,28,6,7,0,0,0,112,70,83,45.8,Matches
244,N'Golo Kante,,fr FRA,MF,Chelsea,30-359,1991,13.3,1,0,0,15,22,0,8,30,20,0,0,0,119,12,15,44.4,Matches
245,Edo Kayembe,,cd COD,MF,Watford,23-232,1998,4.6,0,0,0,3,3,0,4,9,7,0,0,0,64,4,10,28.6,Matches
246,Moise Kean,,it ITA,FW,Everton,22-023,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
247,Michael Keane,,eng ENG,DF,Everton,29-071,1993,24.5,1,0,0,12,9,1,0,52,27,0,0,2,264,98,58,62.8,Matches
248,Naby Keita,,gn GUI,MF,Liverpool,27-041,1995,9.2,1,0,0,24,9,0,5,13,18,0,0,0,89,6,11,35.3,Matches
249,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-120,1998,2,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches
250,Jonjoe Kenny,,eng ENG,DF,Everton,25-008,1997,7.8,3,1,1,8,4,1,8,23,9,0,0,0,59,6,12,33.3,Matches
251,Max Kilman,,eng ENG,DF,Wolves,24-304,1997,27.9,3,0,0,22,16,0,2,62,32,0,1,0,216,77,42,64.7,Matches
252,Joshua King,,no NOR,FW,Watford,30-067,1992,21.9,4,0,0,38,24,8,23,10,18,1,0,0,95,86,112,43.4,Matches
253,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-116,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
254,Mateusz Klich,,pl POL,MF,Leeds United,31-283,1990,18.3,4,0,0,35,15,2,24,26,18,0,1,0,170,6,12,33.3,Matches
255,Robin Koch,,de GER,MFDF,Leeds United,25-249,1996,11.2,3,0,0,16,10,0,0,30,11,0,0,0,109,30,29,50.8,Matches
256,Sead Kolasinac,,ba BIH,DF,Arsenal,28-276,1993,1,1,0,0,3,0,0,0,4,1,0,0,0,2,2,1,66.7,Matches
257,Ibrahima Konate,,fr FRA,DF,Liverpool,22-302,1999,8,2,0,0,10,2,0,0,21,6,0,0,0,91,32,9,78,Matches
258,Ezri Konsa,,eng ENG,DF,Aston Villa,24-151,1997,22,5,2,1,12,29,1,1,35,13,0,1,0,153,50,36,58.1,Matches
259,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-092,1989,18.5,2,0,0,31,26,0,4,38,30,0,0,0,221,51,24,68,Matches
260,Mateo Kovacic,,hr CRO,MF,Chelsea,27-321,1994,14.2,4,0,0,27,33,0,3,18,35,0,0,0,126,5,9,35.7,Matches
261,Emil Krafth,,se SWE,DF,Newcastle Utd,27-233,1994,11.5,4,0,0,21,8,0,11,27,9,0,0,0,82,19,19,50,Matches
262,Alex Kral,,cz CZE,MF,West Ham,23-308,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50,Matches
263,Tim Krul,,nl NED,GK,Norwich City,33-354,1988,22,1,0,0,0,1,0,0,0,0,0,0,1,116,0,0,,Matches
264,Juraj Kucka,,sk SVK,MF,Watford,35-025,1987,17.6,4,1,1,40,37,2,9,38,42,0,0,1,185,46,40,53.5,Matches
265,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-332,2000,7.6,1,0,0,15,10,4,12,16,5,0,0,0,53,4,4,50,Matches
266,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-299,1991,17,0,0,0,32,30,4,7,12,17,4,0,0,70,20,53,27.4,Matches
267,Adam Lallana,,eng ENG,MF,Brighton,33-317,1988,16.8,4,0,0,14,23,0,8,27,22,0,0,0,176,13,13,50,Matches
268,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-174,2000,14.2,2,0,0,23,48,3,61,27,20,0,0,0,106,7,23,23.3,Matches
269,Manuel Lanzini,,ar ARG,MF,West Ham,29-036,1993,14.7,2,0,0,10,18,1,9,22,16,0,0,0,148,5,14,26.3,Matches
270,Aymeric Laporte,,es ESP,DF,Manchester City,27-300,1994,23.1,5,1,0,9,12,1,3,25,12,1,0,0,210,55,28,66.3,Matches
271,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-132,1993,18.8,5,0,0,20,3,0,3,29,8,0,3,2,139,83,28,74.8,Matches
272,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-302,1993,17.8,4,0,0,37,19,1,23,28,30,1,0,0,167,11,15,42.3,Matches
273,Aaron Lennon,,eng ENG,MFFW,Burnley,34-341,1987,11.9,2,0,0,17,14,4,21,9,13,0,0,0,61,9,13,40.9,Matches
274,Bernd Leno,,de GER,GK,Arsenal,30-019,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
275,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-057,1998,2.9,1,0,0,2,3,0,3,6,6,0,0,0,23,2,6,25,Matches
276,Victor Lindelof,,se SWE,DF,Manchester Utd,27-249,1994,18.2,2,0,0,15,7,0,0,39,8,0,0,0,190,45,21,68.2,Matches
277,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-098,1992,2.3,1,0,0,5,2,1,8,2,3,0,0,0,15,0,1,0,Matches
278,Valentino Livramento,,eng ENG,DF,Southampton,19-131,2002,22.2,2,0,0,17,38,1,51,64,28,1,0,0,198,27,34,44.3,Matches
279,Diego Llorente,,es ESP,DF,Leeds United,28-219,1993,19,6,0,0,19,18,0,2,45,24,0,0,0,196,43,40,51.8,Matches
280,Hugo Lloris,,fr FRA,GK,Tottenham,35-087,1986,29,1,0,0,0,3,0,0,0,0,0,0,0,118,0,1,0,Matches
281,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-348,1996,2.6,0,0,0,5,7,1,1,3,3,0,0,0,19,0,3,0,Matches
282,Jurgen Locadia,,nl NED,FW,Brighton,28-136,1993,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,Matches
283,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-059,1996,8.7,1,0,0,16,29,1,4,10,12,0,0,0,100,23,6,79.3,Matches
284,Shane Long,,ie IRL,FWMF,Southampton,35-060,1987,1.6,0,0,0,4,3,1,2,0,2,0,0,0,6,17,15,53.1,Matches
285,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-144,1997,12.2,1,0,0,23,18,0,2,17,29,0,0,0,124,12,9,57.1,Matches
286,Ademola Lookman,,eng ENG,FWMF,Leicester City,24-154,1997,12.7,2,0,0,21,34,5,19,18,18,0,0,0,90,4,14,22.2,Matches
287,Jonas Lossl,,dk DEN,GK,Brentford,33-050,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
288,Imran Louza,,ma MAR,MF,Watford,22-326,1999,11.1,4,0,0,26,13,0,12,27,19,0,0,0,136,5,10,33.3,Matches
289,Matthew Lowton,,eng ENG,DF,Burnley,32-287,1989,16.8,2,0,0,13,8,0,31,30,22,0,0,0,159,21,22,48.8,Matches
290,Douglas Luiz,,br BRA,MF,Aston Villa,23-318,1998,22.9,6,0,0,39,41,0,18,51,31,0,0,0,218,29,24,54.7,Matches
291,Romelu Lukaku,,be BEL,FW,Chelsea,28-314,1993,13.5,0,0,0,6,10,9,6,1,1,1,0,0,42,37,39,48.7,Matches
292,Lyanco,,br BRA,DF,Southampton,25-050,1997,6.1,2,0,0,13,7,0,3,17,8,0,0,0,65,12,9,57.1,Matches
293,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-089,1998,14.9,3,0,0,27,29,2,17,19,35,0,0,0,154,20,14,58.8,Matches
294,James Maddison,,eng ENG,MFFW,Leicester City,25-120,1996,19.1,2,0,0,10,55,3,26,12,15,1,0,0,97,5,21,19.2,Matches
295,Harry Maguire,,eng ENG,DF,Manchester Utd,29-018,1993,22.7,9,1,1,18,18,1,0,38,16,0,0,1,234,84,30,73.7,Matches
296,Riyad Mahrez,,dz ALG,FW,Manchester City,31-030,1991,13.5,0,0,0,9,15,3,41,8,4,0,0,0,84,10,13,43.5,Matches
297,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-206,1997,3,0,0,0,5,2,0,1,3,4,0,0,0,37,5,4,55.6,Matches
298,Sadio Mane,,sn SEN,FW,Liverpool,29-347,1992,24.7,3,0,0,42,48,14,43,14,15,1,0,0,133,23,39,37.1,Matches
299,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-322,1994,13.3,5,0,0,8,17,1,9,23,24,0,0,0,97,16,13,55.2,Matches
300,Fernando Marcal,,br BRA,DF,Wolves,33-032,1989,14.2,2,0,0,28,12,1,50,27,22,0,1,0,121,25,16,61,Matches
301,Solly March,,eng ENG,DFFW,Brighton,27-246,1994,13.8,1,0,0,25,21,8,44,24,17,0,0,0,92,14,28,33.3,Matches
302,Pablo Mari,,es ESP,DF,Arsenal,28-204,1993,2,1,0,0,1,1,0,0,6,2,0,0,0,17,5,4,55.6,Matches
303,Anthony Martial,,fr FRA,FW,Manchester Utd,26-108,1995,2.4,0,0,0,1,4,2,5,1,1,0,0,0,5,5,3,62.5,Matches
304,Martinelli,,br BRA,FWMF,Arsenal,20-278,2001,13.8,3,1,1,18,15,9,27,14,15,0,0,0,73,22,42,34.4,Matches
305,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-202,1992,28,4,0,0,0,7,0,0,1,0,0,0,0,134,0,1,0,Matches
306,Adam Masina,,ma MAR,DF,Watford,28-080,1994,9.6,0,0,0,16,2,0,17,20,10,0,1,0,70,26,12,68.4,Matches
307,Arthur Masuaku,,cd COD,DFFW,West Ham,28-136,1993,6.2,1,0,0,7,3,0,18,16,17,0,0,0,61,13,8,61.9,Matches
308,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-268,1997,7.2,1,0,0,8,6,10,3,2,3,0,0,0,31,24,28,46.2,Matches
309,Nemanja Matic,,rs SRB,MF,Manchester Utd,33-234,1988,10.2,2,0,0,21,6,0,1,18,15,0,0,0,105,25,16,61,Matches
310,Joel Matip,,cm CMR,DF,Liverpool,30-227,1991,23,1,0,0,13,14,0,0,48,23,0,0,0,274,89,38,70.1,Matches
311,Neal Maupay,,fr FRA,FW,Brighton,25-221,1996,22.7,6,0,0,31,36,4,3,9,10,0,0,0,106,18,76,19.1,Matches
312,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-228,1999,24.8,4,0,0,22,26,11,39,16,22,0,0,0,143,27,104,20.6,Matches
313,James McArthur,,sct SCO,MF,Crystal Palace,34-167,1987,12.9,3,0,0,25,18,3,12,24,23,0,0,0,156,20,22,47.6,Matches
314,James Mcatee,,eng ENG,MFFW,Manchester City,19-156,2002,0.2,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,100,Matches
315,Kasey McAteer,,eng ENG,FW,Leicester City,20-121,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
316,Liam McCarron,,sct SCO,FW,Leeds United,21-016,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
317,Alex McCarthy,,eng ENG,GK,Southampton,32-110,1989,15,1,0,0,0,1,0,0,0,0,0,0,0,52,0,0,,Matches
318,John McGinn,,sct SCO,MF,Aston Villa,27-156,1994,25.3,7,0,0,51,68,0,46,42,42,0,0,0,215,18,11,62.1,Matches
319,Stuart McKinstry,,sct SCO,MF,Leeds United,19-186,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
320,Kenny McLean,,sct SCO,MF,Norwich City,30-074,1992,26.3,2,0,0,19,39,3,22,42,23,0,1,0,191,75,58,56.4,Matches
321,Dwight McNeil,,eng ENG,MF,Burnley,22-121,1999,26,1,0,0,16,36,1,87,54,26,0,0,0,211,12,20,37.5,Matches
322,Scott McTominay,,sct SCO,MF,Manchester Utd,25-105,1996,20.9,8,0,0,39,37,1,7,37,30,0,1,0,236,55,29,65.5,Matches
323,Ben Mee,,eng ENG,DF,Burnley,32-181,1989,20.4,3,0,0,14,8,2,3,34,16,0,0,1,243,93,36,72.1,Matches
324,Benjamin Mendy,,fr FRA,DF,Manchester City,27-249,1994,0.9,0,0,0,3,0,0,4,0,1,0,0,0,7,2,2,50,Matches
325,Edouard Mendy,,sn SEN,GK,Chelsea,30-022,1992,24,3,0,0,1,1,0,0,0,0,0,1,0,90,0,0,,Matches
326,Nampalys Mendy,,sn SEN,MF,Leicester City,29-273,1992,1.8,0,0,0,5,4,0,0,4,2,0,0,0,13,0,2,0,Matches
327,Illan Meslier,,fr FRA,GK,Leeds United,22-021,2000,29.6,2,0,0,0,9,0,0,0,0,0,0,0,126,0,0,,Matches
328,Luka Milivojevic,,rs SRB,MF,Crystal Palace,30-350,1991,7.2,1,0,0,13,10,0,14,7,8,0,1,1,80,13,6,68.4,Matches
329,James Milner,,eng ENG,MFDF,Liverpool,36-078,1986,7.1,2,0,0,14,14,0,16,19,17,0,0,0,87,9,8,52.9,Matches
330,Yerry Mina,,co COL,DF,Everton,27-181,1994,7.2,2,0,0,6,4,1,2,5,9,0,0,0,67,31,14,68.9,Matches
331,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-066,1995,1.1,1,0,0,4,3,0,0,0,2,0,0,0,6,2,3,40,Matches
332,Tyrone Mings,,eng ENG,DF,Aston Villa,29-010,1993,26.4,9,0,0,25,20,1,3,61,15,0,1,0,245,71,41,63.4,Matches
333,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-203,1999,28.9,0,0,0,19,15,2,47,68,48,1,0,0,261,25,33,43.1,Matches
334,Jakub Moder,,pl POL,MFFW,Brighton,22-350,1999,18.8,1,0,0,23,11,0,28,22,29,0,0,0,146,23,41,35.9,Matches
335,Wesley Moraes,,br BRA,FW,Aston Villa,25-117,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,50,Matches
336,Tyler Morton,,eng ENG,MF,Liverpool,19-143,2002,0.7,1,0,0,1,0,0,0,2,0,0,0,0,13,3,3,50,Matches
337,Mason Mount,,eng ENG,MFFW,Chelsea,23-072,1999,18.5,2,0,0,29,19,4,50,14,17,0,0,0,97,7,24,22.6,Matches
338,Lucas Moura,,br BRA,FWMF,Tottenham,29-222,1992,17.1,3,0,0,24,46,2,19,18,11,0,0,0,127,45,26,63.4,Matches
339,Joao Moutinho,,pt POR,MF,Wolves,35-196,1986,25.1,2,0,0,43,21,0,22,45,44,0,1,0,265,12,23,34.3,Matches
340,Bali Mumba,,eng ENG,DF,Norwich City,20-166,2001,0.5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,Matches
341,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-027,1995,13.5,4,0,0,21,16,1,43,29,16,0,1,0,110,11,30,26.8,Matches
342,Enock Mwepu,,zm ZAM,MF,Brighton,24-081,1998,7.1,1,0,0,17,9,2,4,9,10,1,1,0,65,7,26,21.2,Matches
343,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-298,1999,2,0,0,0,2,4,0,5,5,3,0,0,0,17,2,3,40,Matches
344,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-063,1994,8.4,4,0,0,18,10,0,1,18,16,0,0,0,93,7,9,43.8,Matches
345,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-097,1996,18,4,0,0,34,26,1,2,45,47,0,2,0,248,56,34,62.2,Matches
346,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-085,1996,5.4,1,0,0,5,12,0,2,3,10,0,0,0,37,2,3,40,Matches
347,Reiss Nelson,,eng ENG,FW,Arsenal,22-103,1999,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
348,Pedro Neto,,pt POR,MFFW,Wolves,22-014,2000,1.5,0,0,0,0,3,1,4,3,4,0,0,0,10,1,2,33.3,Matches
349,Ruben Neves,,pt POR,MF,Wolves,25-010,1997,25.2,9,0,0,31,17,1,19,49,41,0,0,0,273,24,22,52.2,Matches
350,Jeremy Ngakia,,eng ENG,DF,Watford,21-197,2000,7,0,0,0,10,4,0,10,21,19,0,0,0,61,17,16,51.5,Matches
351,Saul Niguez,,es ESP,DFMF,Chelsea,27-122,1994,3.8,1,0,0,10,0,0,5,12,5,0,0,0,34,5,10,33.3,Matches
352,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-297,1999,1.4,1,0,0,11,0,1,2,2,3,0,0,0,10,0,13,0,Matches
353,Nicolas Nkoulou,,cm CMR,DF,Watford,31-361,1990,1.9,0,0,0,1,0,0,0,1,0,0,0,0,13,1,1,50,Matches
354,Mark Noble,,eng ENG,MF,West Ham,34-319,1987,1.4,0,0,0,3,3,0,0,1,1,0,0,0,16,0,0,,Matches
355,Mathias Normann,,no NOR,MF,Norwich City,25-299,1996,11.9,4,0,0,28,18,1,9,20,18,0,1,0,123,19,11,63.3,Matches
356,Christian Norgaard,,dk DEN,MF,Brentford,28-013,1994,28.2,7,0,0,61,34,0,10,77,72,0,0,0,371,49,56,46.7,Matches
357,Angelo Ogbonna,,it ITA,DF,West Ham,33-304,1988,10.2,1,0,0,5,3,0,0,13,8,0,0,0,78,26,12,68.4,Matches
358,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-101,2001,10.8,3,0,0,17,29,0,40,11,12,0,0,0,85,9,17,34.6,Matches
359,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-273,2002,4.2,1,0,0,5,5,0,0,10,3,0,0,0,51,6,10,37.5,Matches
360,Tyler Onyango,,eng ENG,MFFW,Everton,19-019,2003,0.3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,50,Matches
361,Frank Onyeka,,ng NGA,MF,Brentford,24-081,1998,11.6,4,0,0,43,27,0,7,15,16,1,0,0,95,15,25,37.5,Matches
362,Divock Origi,,be BEL,FW,Liverpool,26-339,1995,0.8,0,0,0,0,1,0,0,2,0,0,0,0,4,1,1,50,Matches
363,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-220,1993,8.7,0,0,0,12,7,2,22,8,14,0,0,0,65,5,12,29.4,Matches
364,Cole Palmer,,eng ENG,FWMF,Manchester City,19-321,2002,1.4,0,0,0,2,1,0,4,2,2,0,0,0,7,2,0,100,Matches
