,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
478,Ferran Torres,,es ESP,FW,Manchester City,22-022,2000,3.4,104,0,5,30,71,28,99,4,5,80,4,0,72,283,93,2,0,2,4,4,125,78,62.4,29,Matches
479,Cenk Tosun,,tr TUR,FW,Everton,30-289,1991,0.1,3,0,0,3,0,0,3,0,0,,0,0,2,13,0,0,0,0,1,0,5,2,40,0,Matches
480,Andros Townsend,,eng ENG,MF,Everton,30-250,1991,16.2,715,15,130,302,348,30,663,24,43,55.8,26,0,491,2804,1482,69,25,8,32,30,597,429,71.9,65,Matches
481,Adama Traore,,es ESP,FW,Wolves,26-057,1996,11.9,497,5,57,232,279,56,495,62,85,72.9,64,1,478,3606,2272,97,31,29,37,35,631,394,62.4,73,Matches
482,Bertrand Traore,,bf BFA,FWMF,Aston Villa,26-198,1995,2,99,0,4,50,55,12,97,10,21,47.6,12,4,87,516,208,14,3,4,7,1,116,77,66.4,17,Matches
483,Trezeguet,,eg EGY,FW,Aston Villa,27-173,1994,0.1,9,0,0,5,4,1,9,1,1,100,1,0,9,30,12,1,0,0,2,0,13,9,69.2,3,Matches
484,Francisco Trincao,,pt POR,FWMF,Wolves,22-084,1999,12.7,593,2,74,276,302,44,573,33,76,43.4,41,13,444,2335,1381,68,23,11,25,21,596,414,69.5,88,Matches
485,Kieran Trippier,,eng ENG,DF,Newcastle Utd,31-185,1990,3.5,250,15,76,109,73,0,183,0,1,0,0,0,104,307,164,6,2,0,1,3,98,94,95.9,3,Matches
486,William Troost-Ekong,,ng NGA,DF,Watford,28-203,1993,15.3,703,150,467,257,16,4,688,1,2,50,1,0,356,2208,1377,22,2,0,0,0,416,409,98.3,2,Matches
487,Leandro Trossard,,be BEL,FWMF,Brighton,27-109,1994,24.4,1242,11,136,488,698,130,1198,49,65,75.4,50,2,950,5332,2794,144,36,29,57,70,1208,935,77.4,164,Matches
488,Kostas Tsimikas,,gr GRE,DF,Liverpool,25-315,1996,7.4,571,27,135,211,266,25,474,7,13,53.8,7,2,344,1901,1030,61,23,6,4,9,370,337,91.1,42,Matches
489,Axel Tuanzebe,,eng ENG,DF,Aston Villa,24-129,1997,5.6,263,41,161,112,7,3,257,0,0,,0,0,155,908,419,4,0,0,2,0,179,172,96.1,1,Matches
490,Ozan Tufan,,tr TUR,MF,Watford,27-000,1995,3.7,151,5,26,87,50,9,141,2,3,66.7,2,0,82,465,194,7,4,1,5,5,125,88,70.4,14,Matches
491,Christos Tzolis,,gr GRE,FWMF,Norwich City,20-052,2002,3.4,126,3,21,52,60,17,125,0,4,0,0,0,96,574,379,20,6,7,8,4,134,94,70.1,25,Matches
492,Yan Valery,,fr FRA,DF,Southampton,23-029,1999,1.5,80,6,23,53,12,0,76,0,0,,0,0,52,338,196,7,3,0,1,1,43,43,100,0,Matches
493,Raphael Varane,,fr FRA,DF,Manchester Utd,28-332,1993,15.3,995,125,473,560,33,12,963,1,4,25,1,1,617,4304,2298,54,6,0,2,1,676,660,97.6,2,Matches
494,Jamie Vardy,,eng ENG,FW,Leicester City,35-071,1987,15.6,314,11,25,134,178,79,287,8,14,57.1,9,0,173,1133,710,41,12,17,16,10,547,217,39.7,90,Matches
495,Joel Veltman,,nl NED,DF,Brighton,30-067,1992,22.9,1664,126,610,777,371,19,1458,12,24,50,13,1,964,4539,1994,65,16,2,13,12,1025,977,95.3,15,Matches
496,Jannik Vestergaard,,dk DEN,DF,Leicester City,29-232,1992,6.3,438,96,266,179,8,3,428,3,3,100,3,0,284,1285,565,8,3,0,1,0,303,291,96,0,Matches
497,Nikola Vlasic,,hr CRO,FWMF,West Ham,24-170,1997,5.1,227,1,31,112,102,26,226,7,12,58.3,8,1,176,990,544,25,8,6,4,11,217,155,71.4,37,Matches
498,Matej Vydra,,cz CZE,FW,Burnley,29-326,1992,5,133,7,13,38,87,28,133,5,8,62.5,5,0,75,227,92,5,1,0,16,8,250,102,40.8,38,Matches
499,Theo Walcott,,eng ENG,MFFW,Southampton,33-007,1989,4.2,130,3,27,46,63,18,129,1,2,50,1,0,78,363,153,8,3,2,9,3,137,85,62,22,Matches
500,Kyle Walker,,eng ENG,DF,Manchester City,31-299,1990,17.5,1605,39,310,1020,373,20,1473,6,11,54.5,7,1,1176,5011,2208,87,35,6,12,6,1286,1234,96,25,Matches
