,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,91,0,9,50,36,0,87,1,2,50,1,0,59,269,133,9,2,0,4,4,86,65,75.6,17,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-339,1985,29,810,743,809,1,0,0,542,0,0,,0,0,332,1697,864,0,0,0,0,0,313,310,99,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-151,1993,20.9,1385,42,307,885,255,16,1359,7,9,77.8,7,0,865,3528,1694,86,17,2,21,12,951,913,96,28,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-049,1991,17.8,1083,91,357,456,327,10,858,6,12,50,6,2,526,2756,1394,61,23,3,13,9,568,507,89.3,14,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-155,2004,0.3,9,0,0,1,8,0,9,0,0,,0,0,4,7,0,0,0,0,1,0,11,8,72.7,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-168,2000,0.1,5,0,4,1,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-196,1994,25.6,1739,46,263,810,772,86,1605,16,35,45.7,19,3,1152,5567,3221,160,56,16,21,39,1541,1259,81.7,155,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-344,1998,12,533,440,528,7,0,0,416,0,0,,0,0,268,1204,730,0,0,0,0,0,273,273,100,0,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,267,59,176,93,12,10,260,0,0,,0,0,170,845,506,0,0,0,0,1,178,174,97.8,2,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-323,1985,6.8,562,17,86,381,129,11,559,7,8,87.5,7,0,437,1812,892,41,11,0,6,9,457,444,97.2,14,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-172,1991,8.8,508,2,46,250,244,54,497,13,28,46.4,15,1,347,1450,757,54,19,3,21,20,535,385,72,108,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-213,1996,14.8,947,51,282,477,253,31,822,10,18,55.6,10,1,557,2738,1743,79,26,2,13,9,590,538,91.2,34,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-172,1995,0.3,15,1,3,6,7,1,15,0,1,0,0,0,7,29,15,1,0,0,0,0,29,8,27.6,1,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-299,2000,17.9,1053,5,46,384,680,111,966,25,37,67.6,26,2,793,3597,1720,104,30,31,22,41,1033,818,79.2,136,Matches
161,Pablo Fornals,,es ESP,FWMF,West Ham,26-029,1996,24,1298,25,197,635,541,59,1248,22,46,47.8,23,6,883,4343,2329,123,39,8,32,27,1135,914,80.5,111,Matches
162,Adam Forshaw,,eng ENG,MF,Leeds United,30-166,1991,16,906,23,268,529,173,8,882,8,15,53.3,8,0,586,2922,1310,44,18,1,10,18,672,592,88.1,23,Matches
163,Marcus Forss,,fi FIN,FWMF,Brentford,22-278,1999,2.3,69,0,3,36,33,10,66,2,4,50,2,0,27,95,47,3,0,0,6,1,89,41,46.1,17,Matches
164,Fraser Forster,,eng ENG,GK,Southampton,34-006,1988,12,434,352,432,2,0,0,314,0,0,,0,0,199,953,514,0,0,0,0,0,193,192,99.5,0,Matches
165,Ben Foster,,eng ENG,GK,Watford,38-354,1983,18,654,530,644,11,0,0,427,0,0,,0,0,264,1487,921,0,0,0,0,0,243,242,99.6,0,Matches
166,Tariqe Fosu,,gh GHA,DF,Brentford,26-138,1995,0.2,11,0,0,5,7,4,11,0,0,,0,0,9,80,61,4,1,2,0,0,9,8,88.9,3,Matches
167,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,556,20,107,193,291,43,516,2,7,28.6,2,0,358,2002,1278,76,22,16,13,11,512,378,73.8,53,Matches
168,Fred,,br BRA,MF,Manchester Utd,29-018,1993,19.6,1365,71,350,816,256,13,1342,14,27,51.9,15,2,863,3287,1620,62,15,1,28,23,998,914,91.6,36,Matches
169,Ryan Fredericks,,eng ENG,DF,West Ham,29-164,1992,1.4,62,8,21,27,16,0,55,0,1,0,0,0,23,118,71,4,1,0,2,1,33,29,87.9,2,Matches
170,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-209,2003,1.7,129,11,58,58,18,1,101,0,1,0,1,0,61,248,137,5,0,0,2,0,73,65,89,4,Matches
171,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-045,2000,24.4,1243,44,236,597,486,76,1137,38,56,67.9,40,1,817,3800,1621,83,27,12,38,41,900,741,82.3,97,Matches
172,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,13,0,0,8,6,1,13,0,0,,0,0,9,16,7,1,0,0,1,0,19,10,52.6,2,Matches
173,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-179,1995,0.7,28,1,8,22,1,0,28,1,2,50,2,0,19,113,69,2,0,0,1,2,20,18,90,1,Matches
174,David de Gea,,es ESP,GK,Manchester Utd,31-136,1990,29,769,715,769,0,0,0,493,0,0,,0,0,273,1181,564,0,0,0,1,0,279,276,98.9,0,Matches
175,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-323,2002,5.2,171,3,16,85,83,32,158,12,26,46.2,15,0,128,604,402,25,4,7,9,13,217,110,50.7,38,Matches
176,Anwar El Ghazi,,nl NED,FW,Everton,26-324,1995,0.1,14,0,1,4,10,2,12,0,1,0,0,0,8,49,24,2,1,1,1,0,17,8,47.1,2,Matches
177,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-324,1995,4.3,183,3,16,64,117,17,180,3,12,25,5,2,119,626,416,27,6,4,21,10,203,136,67,29,Matches
178,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-198,1993,4.8,245,9,47,116,99,17,224,4,5,80,4,1,138,746,456,25,9,2,6,3,199,138,69.3,25,Matches
179,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-157,1995,6.1,420,36,166,193,92,7,361,16,28,57.1,19,1,274,1424,797,28,5,3,12,5,251,228,90.8,20,Matches
180,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-055,2000,0.1,13,0,3,3,8,3,12,0,0,,0,0,7,18,12,1,1,0,0,0,9,8,88.9,3,Matches
181,Ben Gibson,,eng ENG,DF,Norwich City,29-067,1993,23.7,1422,323,896,548,54,22,1374,2,4,50,2,0,816,4261,2624,59,13,0,3,4,947,933,98.5,1,Matches
182,Billy Gilmour,,sct SCO,MF,Norwich City,20-285,2001,15.7,1090,38,282,613,263,7,979,10,18,55.6,15,1,611,3384,1442,64,25,0,12,9,779,715,91.8,19,Matches
183,Ben Godfrey,,eng ENG,DF,Everton,24-067,1998,18.5,894,108,397,391,156,27,794,4,8,50,5,0,430,2429,1219,39,19,1,9,8,474,430,90.7,15,Matches
184,Andre Gomes,,pt POR,MF,Everton,28-236,1993,5.6,328,10,60,188,102,8,319,10,12,83.3,11,1,221,887,444,11,2,1,11,15,248,205,82.7,9,Matches
185,Toti Gomes,,pt POR,DF,Wolves,23-066,1999,2,111,17,63,51,3,0,110,1,2,50,1,0,51,289,109,3,1,0,0,0,60,56,93.3,0,Matches
186,Joe Gomez,,eng ENG,DF,Liverpool,24-304,1997,1.2,115,4,27,63,30,1,108,2,3,66.7,2,0,82,278,114,5,0,0,1,2,74,73,98.6,3,Matches
187,Charlie Goode,,eng ENG,DF,Brentford,26-232,1995,5,337,20,122,163,74,11,262,5,7,71.4,5,0,163,1003,497,14,7,0,1,1,171,164,95.9,7,Matches
188,Anthony Gordon,,eng ENG,MFFW,Everton,21-027,2001,16.7,774,17,117,327,401,53,727,25,50,50,28,4,502,3530,1960,92,33,13,37,31,661,487,73.7,68,Matches
189,Kaide Gordon,,eng ENG,FW,Liverpool,17-169,2004,0.1,8,0,0,4,4,1,8,0,1,0,0,1,7,32,9,1,0,0,0,1,11,7,63.6,3,Matches
190,Dan Gosling,,eng ENG,MF,Watford,32-050,1990,0.2,9,2,6,3,1,0,9,0,0,,0,0,3,5,5,0,0,0,1,0,4,4,100,0,Matches
191,Demarai Gray,,eng ENG,MFFW,Everton,25-268,1996,18.8,789,9,69,323,481,69,730,32,64,50,33,3,592,4083,2316,130,48,24,42,33,761,545,71.6,109,Matches
192,Jack Grealish,,eng ENG,FW,Manchester City,26-194,1995,16.1,922,11,55,345,609,148,904,23,40,57.5,25,0,799,5967,3708,230,53,68,19,32,934,764,81.8,151,Matches
193,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,662,6,79,295,338,60,645,29,50,58,31,3,532,3451,2032,107,28,27,19,20,703,524,74.5,92,Matches
194,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-056,2002,0.9,29,0,4,17,10,1,26,0,1,0,0,0,18,60,13,1,1,0,1,0,25,19,76,8,Matches
195,Pascal Gross,,de GER,MFDF,Brighton,30-281,1991,15.3,1097,33,198,487,466,38,963,4,9,44.4,5,1,653,3066,1328,67,26,3,15,17,831,728,87.6,65,Matches
196,Vicente Guaita,,es ESP,GK,Crystal Palace,35-072,1987,23.5,796,722,795,1,0,0,604,0,0,,0,0,396,1675,828,0,0,0,0,0,361,361,100,0,Matches
197,Marc Guehi,,eng ENG,DF,Crystal Palace,21-253,2000,28,1959,325,1144,877,63,19,1917,10,12,83.3,10,0,1332,7335,4077,88,19,1,7,5,1396,1388,99.4,2,Matches
198,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-127,1997,3.2,229,16,61,120,62,9,225,3,9,33.3,3,0,158,818,332,14,7,1,3,8,159,139,87.4,3,Matches
199,Ilkay Gundogan,,de GER,MF,Manchester City,31-150,1990,15,1036,16,113,507,491,74,961,19,26,73.1,20,2,721,3607,1657,95,36,10,12,15,916,802,87.6,103,Matches
200,Angus Gunn,,eng ENG,GK,Norwich City,26-060,1996,7,250,211,250,0,0,0,155,0,0,,0,0,81,343,224,0,0,0,0,0,75,74,98.7,0,Matches
201,Grant Hanley,,sct SCO,DF,Norwich City,30-123,1991,23.2,1237,289,824,422,31,20,1196,4,6,66.7,4,0,635,2551,1084,17,1,0,4,1,714,694,97.2,2,Matches
202,Jack Harrison,,eng ENG,FWMF,Leeds United,25-123,1996,21.9,1113,27,205,443,550,83,1079,38,80,47.5,41,4,836,4870,3062,168,46,24,52,55,1002,772,77,122,Matches
203,Kortney Hause,,eng ENG,DF,Aston Villa,26-250,1995,4.4,249,35,143,112,10,6,244,2,4,50,2,0,151,960,512,3,0,0,1,2,153,145,94.8,3,Matches
204,Kai Havertz,,de GER,FWMF,Chelsea,22-285,1999,14.5,681,25,73,310,338,96,664,13,29,44.8,16,1,478,2547,1320,81,17,25,46,34,813,522,64.2,136,Matches
205,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,461,47,182,218,76,10,446,8,13,61.5,8,0,247,845,362,12,7,1,9,10,295,242,82,10,Matches
206,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-056,1996,15,645,13,105,338,252,54,639,23,46,50,25,7,469,2881,1476,70,24,14,33,25,671,487,72.6,90,Matches
207,Jordan Henderson,,eng ENG,MF,Liverpool,31-279,1990,22.3,1829,34,218,1125,600,41,1775,13,21,61.9,13,3,1212,5582,2554,108,54,4,16,11,1544,1413,91.5,102,Matches
208,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,32,1,4,20,9,1,32,1,1,100,1,1,25,75,26,1,0,0,0,1,26,23,88.5,1,Matches
209,Wayne Hennessey,,wls WAL,GK,Burnley,35-058,1987,2,87,69,83,4,0,0,51,0,0,,0,0,26,158,127,0,0,0,0,0,23,23,100,0,Matches
210,Rico Henry,,eng ENG,DF,Brentford,24-258,1997,23.2,1123,77,369,485,337,22,1050,17,43,39.5,18,1,681,3115,1593,74,26,6,17,40,707,602,85.1,41,Matches
211,Son Heung-min,,kr KOR,FWMF,Tottenham,29-258,1992,24.9,1218,5,114,487,701,131,1056,42,71,59.2,46,2,847,5194,2838,146,50,41,44,50,1206,850,70.5,201,Matches
212,Ki-Jana Hoever,,nl NED,DF,Wolves,20-064,2002,3.4,200,9,58,89,61,3,167,1,7,14.3,1,0,104,587,377,13,2,3,2,3,127,105,82.7,5,Matches
213,Rob Holding,,eng ENG,DF,Arsenal,26-184,1995,4.8,301,54,175,127,14,5,294,1,2,50,1,0,175,814,404,4,2,0,1,3,189,184,97.4,0,Matches
214,Mason Holgate,,eng ENG,DF,Everton,25-152,1996,14.8,759,124,424,349,26,4,709,1,1,100,1,0,344,1927,934,15,3,0,1,6,378,367,97.1,0,Matches
215,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-136,2000,10.7,505,7,40,194,315,62,491,19,30,63.3,19,0,419,2981,1866,105,25,34,16,22,513,394,76.8,73,Matches
216,Will Hughes,,eng ENG,MF,Crystal Palace,26-340,1995,9.1,509,26,134,287,113,6,474,6,12,50,7,0,307,1322,646,29,10,0,6,10,327,301,92,7,Matches
217,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-230,1995,26.5,2128,84,530,1360,363,23,2070,31,47,66,32,2,1505,6799,3496,114,32,1,18,21,1609,1530,95.1,40,Matches
218,Adam Idah,,ie IRL,FWMF,Norwich City,21-012,2001,6.9,235,13,27,93,127,33,230,12,16,75,12,0,170,932,337,19,3,2,26,17,364,162,44.5,51,Matches
219,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-171,1996,9.2,378,6,31,187,179,45,367,11,26,42.3,12,2,280,1198,681,37,10,8,32,18,498,281,56.4,73,Matches
220,Danny Ings,,eng ENG,FW,Aston Villa,29-243,1992,16.9,494,15,53,216,247,94,473,11,30,36.7,12,3,287,1239,571,27,9,5,39,13,619,309,49.9,87,Matches
221,Tim Iroegbunam,,,MF,Aston Villa,,,0.1,5,0,2,3,0,0,5,0,0,,0,0,3,15,5,0,0,0,0,0,3,3,100,0,Matches
222,Alex Iwobi,,ng NGA,MFFW,Everton,25-324,1996,11.6,492,15,87,190,254,49,486,17,37,45.9,21,4,377,2071,1146,55,14,15,21,22,475,334,70.3,62,Matches
223,Daniel James,,wls WAL,FWMF,Leeds United,24-133,1997,22.5,676,18,76,248,405,112,650,17,42,40.5,18,0,466,3160,1990,110,24,29,42,30,823,454,55.2,143,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-133,1997,1.4,53,1,2,22,33,9,53,0,3,0,1,0,33,232,158,10,3,1,5,3,50,34,68,15,Matches
225,Reece James,,eng ENG,DF,Chelsea,22-105,1999,13.1,1113,26,208,468,508,50,947,20,27,74.1,21,0,757,3367,1705,94,32,10,12,14,823,756,91.9,67,Matches
226,Vitaly Janelt,,de GER,MF,Brentford,23-317,1998,19.8,971,57,294,493,232,31,919,10,15,66.7,11,1,528,2564,1261,47,11,4,22,11,710,566,79.7,36,Matches
227,Pontus Jansson,,se SWE,DF,Brentford,31-038,1991,29.9,1508,356,979,539,48,36,1459,1,2,50,2,0,719,3609,1649,24,0,1,6,3,865,816,94.3,3,Matches
228,Mathias Jensen,,dk DEN,MF,Brentford,26-081,1996,13.6,734,23,155,384,243,19,645,9,16,56.3,11,4,418,1938,913,44,16,0,13,18,521,420,80.6,38,Matches
229,Gabriel Jesus,,br BRA,FW,Manchester City,24-354,1997,14.9,769,10,68,296,450,108,756,24,41,58.5,28,2,620,2994,1505,114,18,23,47,32,804,605,75.2,107,Matches
230,Raul Jimenez,,mx MEX,FW,Wolves,30-322,1991,23.9,1005,28,91,563,406,119,963,32,84,38.1,39,2,688,2470,1230,77,16,17,75,52,1189,748,62.9,161,Matches
231,Joelinton,,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,1088,67,254,548,375,71,1076,31,56,55.4,33,4,717,3631,2003,79,25,6,62,57,847,672,79.3,84,Matches
232,Ben Johnson,,eng ENG,DF,West Ham,22-058,2000,13.4,825,78,297,364,206,11,693,8,15,53.3,11,2,444,2169,962,40,20,1,11,12,476,437,91.8,16,Matches
233,Curtis Jones,,eng ENG,MF,Liverpool,21-052,2001,7.1,519,9,69,316,173,12,514,12,18,66.7,12,0,417,2242,1048,57,18,4,13,18,464,424,91.4,29,Matches
234,Phil Jones,,eng ENG,DF,Manchester Utd,30-030,1992,1,59,9,21,35,6,0,59,0,0,,0,0,41,202,121,4,1,0,0,0,39,39,100,0,Matches
235,Jorginho,,it ITA,MF,Chelsea,30-093,1991,20.8,1640,57,399,992,349,13,1603,9,11,81.8,10,1,1112,4276,2009,73,24,0,11,21,1261,1210,96,29,Matches
236,Diogo Jota,,pt POR,FW,Liverpool,25-109,1996,19.4,836,14,79,363,451,132,831,26,58,44.8,30,7,590,2904,1839,102,29,18,44,37,1041,642,61.7,166,Matches
237,James Justin,,eng ENG,DF,Leicester City,24-028,1998,4.1,280,22,125,110,66,8,250,2,6,33.3,3,0,166,619,320,10,5,0,1,3,188,168,89.4,8,Matches
238,Mathias Jorgensen,,dk DEN,DF,Brentford,31-334,1990,4.8,317,19,122,139,72,3,254,0,0,,0,0,136,647,448,10,5,0,1,2,158,148,93.7,1,Matches
239,Ozan Kabak,,tr TUR,DF,Norwich City,21-363,2000,10.2,514,75,325,208,16,5,498,14,18,77.8,14,0,319,1691,948,15,3,0,3,6,333,320,96.1,0,Matches
240,Christian Kabasele,,be BEL,DF,Watford,31-027,1991,5.3,275,50,185,95,8,3,270,0,0,,0,0,160,694,314,7,0,0,0,1,172,171,99.4,0,Matches
241,Samuel Kalu,,ng NGA,FWMF,Watford,24-209,1997,0.5,8,1,3,3,3,0,8,1,1,100,1,0,6,44,35,3,1,0,0,0,14,6,42.9,1,Matches
242,Hassane Kamara,,ci CIV,DF,Watford,27-185,1994,10.9,776,52,353,351,116,8,652,9,18,50,9,1,404,2080,931,29,11,2,8,8,382,355,92.9,12,Matches
243,Harry Kane,,eng ENG,FW,Tottenham,28-238,1993,26.9,1120,34,108,577,513,142,1066,48,75,64,51,7,794,4120,1920,105,36,20,71,55,1365,864,63.3,218,Matches
244,N'Golo Kante,,fr FRA,MF,Chelsea,30-359,1991,13.3,961,28,213,484,338,24,957,27,38,71.1,27,1,708,3696,2085,92,37,6,18,22,783,715,91.3,61,Matches
245,Edo Kayembe,,cd COD,MF,Watford,23-232,1998,4.6,288,15,81,183,49,2,283,3,7,42.9,3,0,198,1256,620,25,6,0,3,3,182,170,93.4,7,Matches
246,Moise Kean,,it ITA,FW,Everton,22-023,2000,0,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,3,2,66.7,0,Matches
247,Michael Keane,,eng ENG,DF,Everton,29-071,1993,24.5,1198,184,646,566,47,19,1178,5,7,71.4,5,0,605,3384,1512,41,6,0,5,2,652,633,97.1,4,Matches
248,Naby Keita,,gn GUI,MF,Liverpool,27-041,1995,9.2,666,12,93,398,211,18,657,9,13,69.2,9,0,491,2370,1375,74,17,7,14,9,554,494,89.2,23,Matches
249,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-120,1998,2,94,72,94,0,0,0,75,0,0,,0,0,53,160,93,0,0,0,0,0,54,54,100,0,Matches
250,Jonjoe Kenny,,eng ENG,DF,Everton,25-008,1997,7.8,407,23,115,211,101,7,344,3,5,60,3,1,218,882,450,24,9,3,4,4,230,215,93.5,8,Matches
251,Max Kilman,,eng ENG,DF,Wolves,24-304,1997,27.9,1646,190,868,791,101,22,1613,12,16,75,13,0,1056,5631,3255,105,26,1,8,9,1112,1089,97.9,7,Matches
252,Joshua King,,no NOR,FW,Watford,30-067,1992,21.9,762,30,95,364,352,113,732,35,65,53.8,37,3,478,2589,1444,75,23,25,78,40,994,533,53.6,150,Matches
253,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-116,2000,0.4,14,12,14,0,0,0,11,0,0,,0,0,5,28,11,0,0,0,0,0,4,4,100,0,Matches
254,Mateusz Klich,,pl POL,MF,Leeds United,31-283,1990,18.3,970,29,199,482,347,55,944,17,25,68,18,0,654,3561,1743,88,27,6,19,21,817,655,80.2,114,Matches
255,Robin Koch,,de GER,MFDF,Leeds United,25-249,1996,11.2,520,63,227,257,56,9,514,2,2,100,2,0,265,1020,501,12,5,1,3,4,311,290,93.2,4,Matches
256,Sead Kolasinac,,ba BIH,DF,Arsenal,28-276,1993,1,27,8,19,8,0,0,25,0,0,,0,0,10,30,15,0,0,0,0,0,8,7,87.5,0,Matches
257,Ibrahima Konate,,fr FRA,DF,Liverpool,22-302,1999,8,570,67,268,319,10,4,563,2,2,100,2,0,373,1747,1022,25,0,0,2,2,386,377,97.7,2,Matches
258,Ezri Konsa,,eng ENG,DF,Aston Villa,24-151,1997,22,923,167,544,366,63,32,896,5,6,83.3,5,0,545,2467,1314,22,7,0,9,5,599,564,94.2,7,Matches
259,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-092,1989,18.5,888,76,316,506,102,7,873,11,17,64.7,12,0,496,2026,861,21,6,0,22,15,464,430,92.7,6,Matches
260,Mateo Kovacic,,hr CRO,MF,Chelsea,27-321,1994,14.2,1111,22,217,700,294,15,1094,28,34,82.4,29,0,855,4608,2351,106,50,5,11,23,905,867,95.8,22,Matches
261,Emil Krafth,,se SWE,DF,Newcastle Utd,27-233,1994,11.5,571,57,260,217,122,7,477,3,4,75,3,0,274,1468,868,36,14,1,3,1,290,266,91.7,3,Matches
262,Alex Kral,,cz CZE,MF,West Ham,23-308,1998,0,2,0,0,2,0,0,2,0,0,,0,0,1,4,0,0,0,0,0,0,0,0,,0,Matches
263,Tim Krul,,nl NED,GK,Norwich City,33-354,1988,22,876,745,865,14,1,0,628,0,0,,0,0,366,1642,922,0,0,0,0,0,392,390,99.5,0,Matches
264,Juraj Kucka,,sk SVK,MF,Watford,35-025,1987,17.6,839,72,261,434,188,22,815,15,29,51.7,17,6,402,1897,1058,52,15,3,21,21,507,415,81.9,13,Matches
265,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-332,2000,7.6,376,2,52,169,175,43,365,18,32,56.3,19,3,295,1456,802,59,8,14,16,17,357,272,76.2,55,Matches
266,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-299,1991,17,590,4,66,270,290,96,577,16,28,57.1,16,1,374,1445,792,42,13,7,38,23,682,439,64.4,107,Matches
267,Adam Lallana,,eng ENG,MF,Brighton,33-317,1988,16.8,1087,42,276,608,269,36,1079,17,26,65.4,18,0,777,3103,1362,61,17,4,21,19,840,773,92,63,Matches
268,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-174,2000,14.2,871,32,188,325,431,41,808,26,54,48.1,27,0,636,3651,2332,132,24,17,25,21,739,592,80.1,66,Matches
269,Manuel Lanzini,,ar ARG,MF,West Ham,29-036,1993,14.7,1011,20,189,571,312,36,959,15,22,68.2,15,1,723,3407,1570,86,30,7,15,16,812,720,88.7,47,Matches
270,Aymeric Laporte,,es ESP,DF,Manchester City,27-300,1994,23.1,2262,178,817,1508,140,38,2220,3,5,60,3,0,1689,10769,7400,273,44,1,1,3,1884,1853,98.4,6,Matches
271,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-132,1993,18.8,748,196,492,224,56,40,740,1,1,100,1,0,310,1322,527,8,0,0,4,4,393,373,94.9,4,Matches
272,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-302,1993,17.8,895,58,276,446,213,23,882,9,19,47.4,12,1,559,2493,1066,36,10,5,9,6,650,574,88.3,33,Matches
273,Aaron Lennon,,eng ENG,MFFW,Burnley,34-341,1987,11.9,376,17,63,161,174,26,371,10,26,38.5,13,1,243,1196,604,33,11,10,15,12,313,226,72.2,33,Matches
274,Bernd Leno,,de GER,GK,Arsenal,30-019,1992,4,125,105,125,0,0,0,82,0,0,,0,0,56,290,112,0,0,0,0,0,47,47,100,0,Matches
275,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-057,1998,2.9,138,10,57,51,33,1,115,0,2,0,0,0,74,318,98,4,0,1,1,8,73,64,87.7,2,Matches
276,Victor Lindelof,,se SWE,DF,Manchester Utd,27-249,1994,18.2,1091,180,645,483,42,7,1068,0,1,0,0,0,635,4315,2205,48,12,0,2,3,696,689,99,1,Matches
277,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-098,1992,2.3,111,1,11,41,61,9,109,1,5,20,3,0,74,378,236,9,2,1,5,4,125,83,66.4,14,Matches
278,Valentino Livramento,,eng ENG,DF,Southampton,19-131,2002,22.2,1341,74,381,633,442,46,1153,30,52,57.7,35,1,790,5316,2978,119,47,13,29,26,793,705,88.9,51,Matches
279,Diego Llorente,,es ESP,DF,Leeds United,28-219,1993,19,1247,186,742,573,43,9,1217,7,9,77.8,7,1,782,5921,3886,51,6,0,5,10,815,792,97.2,2,Matches
280,Hugo Lloris,,fr FRA,GK,Tottenham,35-087,1986,29,799,732,798,2,0,0,548,0,0,,0,0,300,1357,687,0,0,0,0,0,275,273,99.3,0,Matches
281,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-348,1996,2.6,196,1,25,99,85,10,184,6,8,75,8,0,142,754,386,20,6,1,8,10,173,145,83.8,23,Matches
282,Jurgen Locadia,,nl NED,FW,Brighton,28-136,1993,0.3,6,0,0,3,3,2,6,1,1,100,1,0,5,10,4,0,0,0,0,1,15,4,26.7,0,Matches
283,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-059,1996,8.7,624,13,117,380,172,19,620,27,39,69.2,28,3,472,2401,1522,72,24,4,12,22,497,455,91.5,28,Matches
284,Shane Long,,ie IRL,FWMF,Southampton,35-060,1987,1.6,70,1,6,23,45,4,70,2,4,50,2,0,38,126,28,1,0,0,5,8,91,53,58.2,10,Matches
285,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-144,1997,12.2,599,38,172,341,122,10,576,3,5,60,3,0,364,1702,605,15,6,0,7,18,378,339,89.7,14,Matches
286,Ademola Lookman,,eng ENG,FWMF,Leicester City,24-154,1997,12.7,613,7,84,292,279,72,603,34,52,65.4,35,5,504,2314,1343,83,22,15,28,44,571,427,74.8,92,Matches
287,Jonas Lossl,,dk DEN,GK,Brentford,33-050,1989,2,66,54,65,1,0,0,50,0,0,,0,0,42,214,140,0,0,0,0,0,36,35,97.2,0,Matches
288,Imran Louza,,ma MAR,MF,Watford,22-326,1999,11.1,614,36,166,373,113,5,560,11,18,61.1,11,0,330,1939,975,27,7,2,10,4,343,320,93.3,11,Matches
289,Matthew Lowton,,eng ENG,DF,Burnley,32-287,1989,16.8,916,79,283,423,250,7,747,7,13,53.8,8,0,407,1782,1047,47,17,1,8,7,450,408,90.7,13,Matches
290,Douglas Luiz,,br BRA,MF,Aston Villa,23-318,1998,22.9,1286,62,341,731,273,4,1162,12,26,46.2,13,2,772,3851,1736,64,16,0,24,16,833,765,91.8,21,Matches
291,Romelu Lukaku,,be BEL,FW,Chelsea,28-314,1993,13.5,366,16,27,175,188,75,347,11,20,55,13,0,223,1021,641,34,10,18,29,23,602,270,44.9,111,Matches
292,Lyanco,,br BRA,DF,Southampton,25-050,1997,6.1,308,54,164,147,17,5,300,3,4,75,3,0,162,831,325,10,3,1,2,3,150,146,97.3,2,Matches
