,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,16.6,14,2.58,0,0.16,3.06,0.65,0.65,0,0,0,0,12.3,2.9,1.45,11.9,2.9,1.29,0.16,0.16,13.7,0,0.65,0.16,0.65,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,28.7,28.6,0.1,0.1,0.1,5.92,0.31,0.51,0,0,0,0,21.7,3.27,3.67,3.78,22.9,1.12,0,0.1,23.8,0,0.51,1.12,0.41,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,64.7,60.6,4.12,0,1.18,15.9,1.76,0.59,4.12,0,2.94,0.59,50,5.88,8.82,8.82,51.8,1.18,0,0,52.9,0,0.59,2.35,2.35,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,21.5,20.8,0.63,0,0,10.2,0.42,0.21,0,0,0,0,11.7,6.04,3.75,2.08,13.3,1.46,0,0.63,14.4,0.83,0.83,0.42,0.83,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,30.7,30.5,0.22,0,0.05,6.74,0.6,1.79,0,0,0,0,21.7,4.62,4.4,3.53,25.1,1.03,0.11,0.22,22.5,0.11,0.49,1.63,1.47,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,38,38,0,0,0,12,0,0,0,0,0,0,22,12,4,22,12,4,0,0,30,0,0,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,57.1,46.7,10.5,0.48,0,4.05,0.24,2.62,0,0,0,0,35.5,5.95,15.7,35.7,8.1,2.62,10,0,42.9,0.24,0.71,1.43,1.43,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,51.6,48.7,2.84,1.59,0,6.77,1.12,0.13,0,0,0,0,35.5,4.35,11.7,7.41,36.9,3.66,1.21,0.13,43.1,0.04,1.12,0.69,0.22,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,48.1,46.9,1.25,0.21,0,7.71,0.42,1.25,0.21,0.21,0,0,38.1,3.75,6.25,6.67,37.9,2.29,0.21,0,40.4,0.21,0.63,1.46,0.83,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,40,40,0,0,1.25,10,0,0,0,0,0,0,33.8,3.75,2.5,5,32.5,0,0,0,31.3,1.25,0,2.5,1.25,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,27.5,14.5,13,1.5,0,0.5,0.5,0,0,0,0,0,2.5,1.5,23.5,0.5,22,0,0,1.5,10.5,0,1.5,0.5,0.5,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,34.4,33.5,0.87,0.19,0.1,6.35,0.87,2.4,0,0,0,0,25.3,4.38,4.71,5.48,26.7,1.15,0.14,0.34,25.8,0.05,0.91,1.73,1.49,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,73.2,71.4,1.71,1.32,0.26,10.3,1.45,0.39,0,0,0,0,63.4,3.95,5.79,14.5,55,2.24,0.39,0,65.7,0,0.66,1.71,1.45,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,22.7,21,1.69,0.08,0.08,8.47,0.4,0.08,0,0,0,0,11.9,5.73,5.16,1.37,13.7,2.42,0.24,0.32,16,0.16,0.56,0.97,0.48,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,28.3,28,0.25,0,0.16,6.31,1.23,3.44,0.08,0.08,0,0,15.7,4.67,7.95,20.7,3.61,2.21,0.08,0.25,17.9,0.25,0.66,0.9,1.8,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,28,27,1.07,0.18,0.18,4.64,0.36,1.07,0.18,0.18,0,0,21.8,2.86,3.39,1.07,25,1.07,0.71,0,23.2,0,0.18,1.79,1.07,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,51.6,38.6,13,1.08,0,6.49,1.62,0.27,2.7,1.08,1.08,0.27,31.1,13,7.57,36.8,2.97,2.43,9.19,0,41.6,0,1.08,1.62,2.16,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,22,22,0,0,0,2,0,0,0,0,0,0,14,4,4,6,14,2,0,0,16,0,0,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,52,50.9,1.1,0.99,0.06,6.85,1.16,0.28,0,0,0,0,44.4,3.54,4.14,5.25,44.4,1.38,0.11,0.22,46.6,0.06,0.33,1.38,0.61,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,65,62.3,2.67,2,0,7.33,0.33,0,0,0,0,0,48.7,3,13.3,6,51.7,2.67,0.67,0.33,53.7,0,1.67,1,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,26.8,23.3,3.49,0.59,0.19,5.76,2.6,1.64,2.53,2.19,0.07,0.07,15.8,4.35,6.65,19.7,4.94,0.78,0.15,0.15,18.2,0.11,0.33,1.12,1.45,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,34.3,31.4,2.86,2.38,0,6.67,0,0,0,0,0,0,22.4,5.71,6.19,17.6,12.9,0.95,0.48,0,25.2,0,2.38,0.95,0.95,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,18.7,18.4,0.22,0,0,6.85,0.06,0.96,0,0,0,0,9.83,4.89,3.93,1.01,10.9,2.75,0,0.17,11.3,0,0.45,1.12,0.9,Matches
