,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
300,Sadio Mane,,sn SEN,FW,Liverpool,29-359,1992,25,0.12,0,0,1.72,1.92,0.56,1.76,0.56,0.6,0.04,0,0,5.4,0.92,1.56,37.1,Matches
301,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-334,1994,14,0.36,0,0,0.57,1.29,0.07,0.71,1.64,1.71,0,0,0,7.14,1.14,1.07,51.6,Matches
302,Fernando Marcal,,br BRA,DF,Wolves,33-044,1989,15.2,0.2,0,0,1.97,0.79,0.07,3.49,1.91,1.58,0,0.07,0,8.55,1.71,1.12,60.5,Matches
303,Solly March,,eng ENG,DFFW,Brighton,27-258,1994,14.7,0.07,0,0,1.77,1.43,0.54,3.47,1.77,1.16,0,0,0,7.21,1.09,2.04,34.8,Matches
304,Pablo Mari,,es ESP,DF,Arsenal,28-216,1993,2,0.5,0,0,0.5,0.5,0,0,3,1,0,0,0,8.5,2.5,2,55.6,Matches
305,Anthony Martial,,fr FRA,FW,Manchester Utd,26-120,1995,2.4,0,0,0,0.42,1.67,0.83,2.08,0.42,0.42,0,0,0,2.08,2.08,1.25,62.5,Matches
306,Martinelli,,br BRA,FWMF,Arsenal,20-290,2001,13.8,0.22,0.07,0.07,1.3,1.09,0.65,1.96,1.01,1.09,0,0,0,5.29,1.59,3.04,34.4,Matches
307,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-214,1992,29,0.14,0,0,0,0.24,0,0,0.03,0,0,0,0,4.69,0,0.03,0,Matches
308,Adam Masina,,ma MAR,DF,Watford,28-092,1994,9.6,0,0,0,1.67,0.21,0,1.77,2.08,1.04,0,0.1,0,7.29,2.71,1.25,68.4,Matches
309,Arthur Masuaku,,cd COD,DFFW,West Ham,28-148,1993,6.2,0.16,0,0,1.13,0.48,0,2.9,2.58,2.74,0,0,0,9.84,2.1,1.29,61.9,Matches
310,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-280,1997,7.2,0.14,0,0,1.11,0.83,1.39,0.42,0.28,0.42,0,0,0,4.31,3.33,3.89,46.2,Matches
311,Nemanja Mati?,,rs SRB,MF,Manchester Utd,33-246,1988,10.4,0.19,0,0,2.12,0.58,0,0.1,1.73,1.44,0,0,0,10.2,2.4,1.63,59.5,Matches
312,Joel Matip,,cm CMR,DF,Liverpool,30-239,1991,24,0.04,0,0,0.58,0.63,0,0,2.04,1,0,0,0,11.9,4.08,1.71,70.5,Matches
313,Neal Maupay,,fr FRA,FW,Brighton,25-233,1996,23.6,0.25,0,0,1.36,1.53,0.21,0.17,0.38,0.42,0,0,0,4.62,0.89,3.22,21.6,Matches
314,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-240,1999,25.7,0.16,0,0,0.86,1.05,0.43,1.52,0.66,0.86,0,0,0,5.8,1.09,4.16,20.7,Matches
315,James McArthur,,sct SCO,MF,Crystal Palace,34-179,1987,12.9,0.23,0,0,1.94,1.4,0.23,0.93,1.86,1.78,0,0,0,12.1,1.55,1.71,47.6,Matches
316,James Mcatee,,eng ENG,MFFW,Manchester City,19-168,2002,0.2,0,0,0,10,0,0,0,5,0,0,0,0,15,5,0,100,Matches
317,Kasey McAteer,,eng ENG,FW,Leicester City,20-133,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
318,Liam McCarron,,sct SCO,FW,Leeds United,21-028,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
319,Alex McCarthy,,eng ENG,GK,Southampton,32-122,1989,15,0.07,0,0,0,0.07,0,0,0,0,0,0,0,3.47,0,0,,Matches
320,John McGinn,,sct SCO,MF,Aston Villa,27-168,1994,26.3,0.3,0,0,1.98,2.85,0,1.75,1.67,1.79,0,0,0,8.67,0.72,0.42,63.3,Matches
321,Stuart McKinstry,,sct SCO,MF,Leeds United,19-198,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
322,Kenny McLean,,sct SCO,MF,Norwich City,30-086,1992,27.3,0.11,0,0,0.73,1.5,0.11,0.88,1.61,0.84,0,0.04,0,7.25,2.86,2.27,55.7,Matches
323,Dwight McNeil,,eng ENG,MF,Burnley,22-133,1999,26.5,0.04,0,0,0.6,1.36,0.04,3.28,2.08,0.98,0,0,0,8,0.45,0.75,37.5,Matches
324,Scott McTominay,,sct SCO,MF,Manchester Utd,25-117,1996,21.5,0.42,0,0,1.91,1.77,0.05,0.37,1.81,1.4,0,0.05,0,11.3,2.65,1.44,64.8,Matches
325,Ben Mee,,eng ENG,DF,Burnley,32-193,1989,20.4,0.15,0,0,0.69,0.39,0.1,0.15,1.72,0.78,0,0,0.05,11.9,4.51,1.81,71.3,Matches
326,Benjamin Mendy,,fr FRA,DF,Manchester City,27-261,1994,0.9,0,0,0,3.33,0,0,4.44,0,1.11,0,0,0,7.78,2.22,2.22,50,Matches
327,Edouard Mendy,,sn SEN,GK,Chelsea,30-034,1992,25,0.12,0,0,0.04,0.04,0,0,0,0,0,0.04,0,3.68,0,0,,Matches
328,Nampalys Mendy,,sn SEN,MF,Leicester City,29-285,1992,2.8,0,0,0,2.14,2.14,0,0,2.14,0.71,0,0,0,7.86,0.36,1.07,25,Matches
329,Illan Meslier,,fr FRA,GK,Leeds United,22-033,2000,30.6,0.07,0,0,0,0.29,0,0,0,0,0,0,0,4.22,0,0,,Matches
330,Luka Milivojevi?,,rs SRB,MF,Crystal Palace,30-362,1991,7.2,0.14,0,0,1.81,1.39,0,1.94,0.97,1.11,0,0.14,0.14,11.4,1.81,0.83,68.4,Matches
331,James Milner,,eng ENG,MFDF,Liverpool,36-090,1986,7.1,0.28,0,0,1.97,2.11,0,2.25,2.68,2.39,0,0,0,12.3,1.27,1.13,52.9,Matches
332,Yerry Mina,,co COL,DF,Everton,27-193,1994,7.2,0.28,0,0,0.83,0.56,0.14,0.28,0.69,1.25,0,0,0,9.31,4.31,1.94,68.9,Matches
333,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-078,1995,1.1,0.91,0,0,3.64,2.73,0,0,0,1.82,0,0,0,5.45,1.82,2.73,40,Matches
334,Tyrone Mings,,eng ENG,DF,Aston Villa,29-022,1993,27.4,0.33,0,0,0.91,0.8,0.04,0.11,2.3,0.55,0,0.04,0,9.34,2.74,1.53,64.1,Matches
335,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-215,1999,28.9,0,0,0,0.66,0.52,0.07,1.63,2.46,1.66,0.03,0,0,8.96,0.87,1.14,43.1,Matches
336,Jakub Moder,,pl POL,MFFW,Brighton,22-362,1999,18.9,0.05,0,0,1.22,0.58,0,1.48,1.16,1.53,0,0,0,7.72,1.22,2.17,35.9,Matches
337,Wesley Moraes,,br BRA,FW,Aston Villa,25-129,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,50,Matches
338,Tyler Morton,,eng ENG,MF,Liverpool,19-155,2002,0.7,1.43,0,0,1.43,0,0,0,2.86,0,0,0,0,18.6,4.29,4.29,50,Matches
339,Mason Mount,,eng ENG,MFFW,Chelsea,23-084,1999,19.5,0.1,0,0,1.59,1.03,0.21,2.77,0.77,0.92,0,0,0,5.23,0.41,1.44,22.2,Matches
340,Lucas Moura,,br BRA,FWMF,Tottenham,29-234,1992,17.3,0.17,0,0,1.39,2.66,0.12,1.1,1.04,0.64,0,0,0,7.46,2.6,1.5,63.4,Matches
341,Joao Moutinho,,pt POR,MF,Wolves,35-208,1986,26.1,0.08,0,0,1.69,0.8,0,0.88,1.76,1.84,0,0.04,0,10.5,0.46,0.92,33.3,Matches
342,Bali Mumba,,eng ENG,DF,Norwich City,20-178,2001,0.5,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,Matches
343,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-039,1995,13.9,0.29,0,0,1.51,1.15,0.14,3.17,2.09,1.15,0,0.07,0,7.99,0.79,2.16,26.8,Matches
344,Enock Mwepu,,zm ZAM,MF,Brighton,24-093,1998,7.2,0.14,0,0,2.36,1.25,0.28,0.83,1.39,1.39,0.14,0.14,0,9.03,0.97,3.61,21.2,Matches
345,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-310,1999,3,0,0,0,1.33,1.33,0,3,2,1.33,0,0,0,7.67,1.67,1.67,50,Matches
346,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-075,1994,8.4,0.48,0,0,2.14,1.19,0,0.12,2.14,1.9,0,0,0,11.1,0.83,1.07,43.8,Matches
347,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-109,1996,18,0.22,0,0,1.89,1.44,0.06,0.11,2.5,2.61,0,0.11,0,13.8,3.11,1.89,62.2,Matches
348,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-097,1996,5.4,0.19,0,0,0.93,2.22,0,0.37,0.56,1.85,0,0,0,6.85,0.37,0.56,40,Matches
349,Reiss Nelson,,eng ENG,FW,Arsenal,22-115,1999,0.2,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,,Matches
350,Pedro Neto,,pt POR,MFFW,Wolves,22-026,2000,1.7,0.59,0,0,0,1.76,0.59,2.94,1.76,2.35,0,0,0,7.06,0.59,1.18,33.3,Matches
351,Ruben Neves,,pt POR,MF,Wolves,25-022,1997,25.2,0.36,0,0,1.23,0.67,0.04,0.75,1.94,1.63,0,0,0,10.8,0.95,0.87,52.2,Matches
352,Jeremy Ngakia,,eng ENG,DF,Watford,21-209,2000,7,0,0,0,1.43,0.57,0,1.43,3,2.71,0,0,0,8.71,2.43,2.29,51.5,Matches
353,Saul Niguez,,es ESP,DFMF,Chelsea,27-134,1994,3.8,0.26,0,0,2.63,0,0,1.32,3.16,1.32,0,0,0,8.95,1.32,2.63,33.3,Matches
354,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-309,1999,1.4,0.71,0,0,7.86,0,0.71,1.43,0.71,2.14,0,0,0,7.14,0,9.29,0,Matches
355,Nicolas Nkoulou,,cm CMR,DF,Watford,32-008,1990,1.9,0,0,0,0.53,0,0,0,0.53,0,0,0,0,6.84,0.53,0.53,50,Matches
356,Mark Noble,,eng ENG,MF,West Ham,34-331,1987,1.6,0,0,0,1.88,2.5,0,0,0.63,0.63,0,0,0,10,0,0,,Matches
357,Mathias Normann,,no NOR,MF,Norwich City,25-311,1996,12.9,0.31,0,0,2.48,1.47,0.08,0.7,1.63,1.47,0,0.08,0,10.3,1.47,0.85,63.3,Matches
358,Christian Norgaard,,dk DEN,MF,Brentford,28-025,1994,29.2,0.24,0,0,2.19,1.23,0,0.34,2.67,2.5,0,0,0,12.9,1.71,1.95,46.7,Matches
359,Angelo Ogbonna,,it ITA,DF,West Ham,33-316,1988,10.2,0.1,0,0,0.49,0.29,0,0,1.27,0.78,0,0,0,7.65,2.55,1.18,68.4,Matches
360,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-113,2001,10.8,0.28,0,0,1.57,2.69,0,3.7,1.02,1.11,0,0,0,7.87,0.83,1.57,34.6,Matches
361,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-285,2002,4.2,0.24,0,0,1.19,1.19,0,0,2.38,0.71,0,0,0,12.1,1.43,2.38,37.5,Matches
362,Tyler Onyango,,eng ENG,MFFW,Everton,19-031,2003,0.3,0,0,0,3.33,0,0,0,3.33,0,0,0,0,3.33,3.33,3.33,50,Matches
363,Frank Onyeka,,ng NGA,MF,Brentford,24-093,1998,11.6,0.34,0,0,3.71,2.33,0,0.6,1.29,1.38,0.09,0,0,8.19,1.29,2.16,37.5,Matches
364,Divock Origi,,be BEL,FW,Liverpool,26-351,1995,0.8,0,0,0,0,1.25,0,0,2.5,0,0,0,0,5,1.25,1.25,50,Matches
365,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-232,1993,8.7,0,0,0,1.38,0.8,0.23,2.53,0.92,1.61,0,0,0,7.47,0.57,1.38,29.4,Matches
366,Cole Palmer,,eng ENG,FWMF,Manchester City,19-333,2002,1.4,0,0,0,1.43,0.71,0,2.86,1.43,1.43,0,0,0,5,1.43,0,100,Matches
367,Emerson Palmieri,,it ITA,DF,Chelsea,27-244,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
368,Thomas Partey,,gh GHA,MF,Arsenal,28-295,1993,21.7,0.23,0,0,1.66,0.97,0,0.09,1.47,1.89,0,0,0,10,1.01,1.2,45.8,Matches
369,Joao Pedro,,br BRA,FWMF,Watford,20-190,2001,12.2,0.08,0,0,0.9,2.13,0.16,1.31,1.07,0.74,0,0,0,7.13,3.69,5.66,39.5,Matches
370,Nicolas Pepe,,ci CIV,FWMF,Arsenal,26-310,1995,6.7,0,0,0,1.79,0.75,0.45,1.19,1.34,1.19,0,0,0,8.06,2.39,4.33,35.6,Matches
371,Ricardo Pereira,,pt POR,DF,Leicester City,28-180,1993,9.8,0.31,0,0,0.61,1.73,0,1.53,2.24,2.24,0,0,0,6.94,1.84,1.02,64.3,Matches
372,Ayoze Perez,,es ESP,FWMF,Leicester City,28-255,1993,2.4,0,0.42,0,1.25,1.25,0,1.25,0.83,0.83,0,0,0,4.17,2.5,3.33,42.9,Matches
373,Sonny Perkins,,eng ENG,FW,West Ham,18-053,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
374,Romain Perraud,,fr FRA,DF,Southampton,24-194,1997,13.4,0.15,0,0,2.24,1.19,0,2.54,1.19,1.12,0,0,0,7.09,1.04,1.72,37.8,Matches
375,Kalvin Phillips,,eng ENG,MF,Leeds United,26-123,1995,11.4,0.18,0,0,2.63,1.32,0,0.44,2.11,2.37,0,0,0,12.8,1.49,1.49,50,Matches
376,Jaden Philogene Bidace,,eng ENG,FW,Aston Villa,19-321,2002,0.1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,Matches
377,Jordan Pickford,,eng ENG,GK,Everton,28-028,1994,26,0.04,0,0,0,0.15,0,0,0,0,0,0,0,4.42,0,0,,Matches
378,Erik Pieters,,nl NED,DF,Burnley,33-240,1988,7.9,0.13,0,0,2.03,0.63,0,0.51,2.78,1.9,0,0,0,9.37,1.65,1.39,54.2,Matches
379,Ethan Pinnock,,jm JAM,DF,Brentford,28-310,1993,28.7,0.03,0,0,0.42,0.66,0.03,0.98,1.81,1.29,0,0,0,11.4,5.16,2.44,67.9,Matches
380,Daniel Podence,,pt POR,FWMF,Wolves,26-165,1995,16.3,0.12,0,0,0.67,1.84,0.18,2.02,0.37,0.55,0,0,0,5.46,0.12,1.47,7.7,Matches
381,Paul Pogba,,fr FRA,MFFW,Manchester Utd,29-020,1993,13.5,0.44,0.07,0,3.19,2.67,0,1.11,1.33,0.96,0,0,0,8.37,2.74,1.85,59.7,Matches
382,Nick Pope,,eng ENG,GK,Burnley,29-350,1992,26,0,0,0,0,0.12,0,0,0,0,0,0,0,4.92,0,0,,Matches
383,Teemu Pukki,,fi FIN,FW,Norwich City,32-006,1990,28.2,0.14,0,0,1.28,0.89,0.32,0.71,0.57,0.35,0.04,0,0,3.58,0.5,3.3,13.1,Matches
384,Christian Pulisic,,us USA,MFFW,Chelsea,23-198,1998,10.5,0.19,0,0,1.05,2.57,0.38,1.05,0.57,0.38,0,0,0,5.33,1.14,2.86,28.6,Matches
385,Przemyslaw Placheta,,pl POL,FWMF,Norwich City,24-012,1998,4.9,0.2,0,0,0.41,1.02,0,2.04,1.63,0.61,0,0,0,6.33,0.61,2.04,23.1,Matches
386,Jesuran Rak Sakyi,,eng ENG,MF,Crystal Palace,19-181,2002,0.2,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,,Matches
387,Aaron Ramsdale,,eng ENG,GK,Arsenal,23-325,1998,24,0.04,0,0,0,0.21,0,0,0,0,0,0,0,5.5,0,0,,Matches
388,Jacob Ramsey,,eng ENG,MF,Aston Villa,20-311,2001,22.4,0.22,0,0,1.38,2.05,0.04,0.58,1.38,1.52,0,0,0,6.65,0.85,1.25,40.4,Matches
389,Marcus Rashford,,eng ENG,FWMF,Manchester Utd,24-155,1997,10.8,0.19,0,0,0.74,1.85,1.02,2.04,0.74,0.37,0,0,0,4.63,1.2,2.13,36.1,Matches
390,Milot Rashica,,xk KVX,FWMF,Norwich City,25-280,1996,18.9,0,0,0,1.32,2.33,0.58,3.49,1.38,0.79,0,0,0,5.98,0.69,1.43,32.5,Matches
391,David Raya,,es ESP,GK,Brentford,26-201,1995,17,0,0,0,0,0.12,0,0,0,0,0,0,0,5.35,0,0,,Matches
392,Nathan Redmond,,eng ENG,MFFW,Southampton,28-029,1994,15.1,0,0,0,0.93,0.99,0.13,2.45,1.19,0.46,0,0,0,6.42,0.79,2.45,24.5,Matches
393,Sergio Reguilon,,es ESP,DF,Tottenham,25-109,1996,19.5,0.21,0,0,1.18,1.18,0.05,3.03,2.1,1.23,0,0,0,6.92,1.49,1.18,55.8,Matches
394,Declan Rice,,eng ENG,MF,West Ham,23-080,1999,29,0.24,0,0,1.1,0.62,0,1.03,2.9,1.59,0,0,0,10.7,1.34,0.76,63.9,Matches
395,Taylor Richards,,eng ENG,MFFW,Brighton,21-121,2000,0.3,0,0,0,6.67,6.67,0,0,0,0,0,0,0,16.7,0,3.33,0,Matches
396,Richarlison,,br BRA,FWMF,Everton,24-329,1997,19.2,0.36,0,0,1.61,3.13,0.83,0.73,0.73,0.89,0,0,0,5.42,1.72,5.83,22.8,Matches
397,Jairo Riedewald,,nl NED,MF,Crystal Palace,25-207,1996,1.3,0,0,0,0.77,0,0,0,0,1.54,0,0,0,9.23,0,1.54,0,Matches
398,Matt Ritchie,,sct SCO,DF,Newcastle Utd,32-206,1989,14.6,0.34,0,0,0.82,0.68,0,3.01,1.99,0.48,0,0,0,7.88,0.96,1.44,40,Matches
399,Connor Roberts,,wls WAL,DF,Burnley,26-193,1995,11.2,0.09,0,0,0.45,1.52,0.09,1.43,2.14,0.71,0,0,0,9.11,1.43,1.25,53.3,Matches
400,Tyler Roberts,,wls WAL,MFFW,Leeds United,23-082,1999,11,0.45,0,0,1.73,2.27,0.27,1.45,0.64,0.64,0,0,0,5.73,0.91,2.36,27.8,Matches
401,Andrew Robertson,,sct SCO,DF,Liverpool,28-024,1994,22.5,0.18,0.04,0,0.8,0.4,0.18,3.56,1.91,0.49,0,0,0,9.33,1.2,0.58,67.5,Matches
402,Joe Rodon,,wls WAL,DF,Tottenham,24-164,1997,0.9,0,0,0,0,1.11,0,0,2.22,0,0,0,0,3.33,1.11,2.22,33.3,Matches
403,Rodri,,es ESP,MF,Manchester City,25-286,1996,24.4,0.2,0,0,1.72,1.15,0,0.2,1.35,1.68,0,0,0,12.5,2.79,1.07,72.3,Matches
404,Rodrigo,,es ESP,MFFW,Leeds United,31-029,1991,19.1,0.42,0,0,0.99,1.36,0.21,1.36,0.68,0.89,0,0,0,5.5,0.89,1.73,34,Matches
405,Jay Rodriguez,,eng ENG,FW,Burnley,32-249,1989,10.7,0.28,0,0,2.34,1.4,1.12,0.28,0.28,0.47,0,0,0,3.93,4.39,5.42,44.8,Matches
406,Mads Roerslev,,dk DEN,DF,Brentford,22-284,1999,11.5,0.09,0,0,1.39,0.78,0.17,1.39,1.65,0.7,0,0.09,0,6,1.13,2.43,31.7,Matches
407,Cristian Romero,,ar ARG,DF,Tottenham,23-342,1998,15.5,0.52,0,0,1.61,0.9,0.13,0.06,2.71,2.19,0,0.06,0,9.61,2.32,1.68,58.1,Matches
408,Oriol Romeu,,es ESP,MF,Southampton,30-192,1991,26.4,0.3,0,0,1.78,0.8,0,0.23,1.93,1.59,0,0,0,13.1,2.08,1.74,54.5,Matches
409,Cristiano Ronaldo,,pt POR,FW,Manchester Utd,37-058,1985,21.3,0.23,0,0,0.56,1.08,1.22,0.52,0.14,0.28,0.05,0,0,4.04,1.64,2.25,42.2,Matches
410,Salomon Rondon,,ve VEN,FW,Everton,32-200,1989,7.9,0.25,0,0,1.39,0.38,0.63,0.38,0.51,0.25,0,0,0,4.3,4.81,7.09,40.4,Matches
411,Danny Rose,,eng ENG,DF,Watford,31-276,1990,7.7,0.52,0,0,1.56,2.08,0,1.95,1.95,1.95,0,0.13,0,6.62,0.52,0.78,40,Matches
412,Jon Rowe,,eng ENG,FWMF,Norwich City,18-339,2003,1.5,0,0,0,2,4,0.67,2.67,2,1.33,0,0,0,6.67,0.67,5.33,11.1,Matches
413,Antonio Rudiger,,de GER,DF,Chelsea,29-032,1993,27,0.22,0,0,1.19,0.48,0,0.44,1.26,0.81,0.07,0,0,8.3,2.04,0.96,67.9,Matches
414,Lukas Rupp,,de GER,MF,Norwich City,31-086,1991,6.5,0,0,0,1.23,1.54,0,0.46,2.46,1.08,0,0,0,11.7,0.62,1.08,36.4,Matches
415,Jose Sa,,pt POR,GK,Wolves,29-077,1993,31,0.1,0,0,0.06,0.35,0,0,0,0,0,0.06,0.03,5.87,0,0,,Matches
416,Allan Saint-Maximin,,fr FRA,FWMF,Newcastle Utd,25-023,1997,23.7,0.21,0,0,0.63,2.53,0.46,2.32,0.72,0.21,0,0,0,6.08,0.68,1.01,40,Matches
417,Romain Saiss,,ma MAR,DF,Wolves,32-009,1990,27.4,0.18,0,0,1.09,0.62,0.11,0.26,2.63,1.2,0,0,0,8.69,2.85,1.42,66.7,Matches
418,Bukayo Saka,,eng ENG,FWMF,Arsenal,20-211,2001,23.7,0.17,0,0,1.05,2.45,0.55,2.41,0.84,0.72,0,0,0,5.99,0.84,1.81,31.7,Matches
419,Mohamed Salah,,eg EGY,FW,Liverpool,29-293,1992,25.9,0.04,0,0,0.39,0.93,0.46,1.62,0.5,0.15,0.08,0,0,5.83,0.42,1.43,22.9,Matches
420,Mohammed Salisu,,gh GHA,DF,Southampton,22-352,1999,27,0.37,0.04,0.04,1.52,0.37,0.04,0.63,2.81,1.78,0,0,0,12.2,3.93,2.07,65.4,Matches
421,Albert Sambi Lokonga,,be BEL,MF,Arsenal,22-164,1999,10.1,0.4,0,0,1.29,1.29,0,0.3,1.88,1.19,0,0,0,9.8,1.49,1.88,44.1,Matches
422,Davinson Sanchez,,co COL,DF,Tottenham,25-296,1996,14.8,0.27,0,0,0.95,0.81,0.07,0.14,1.69,1.22,0,0,0,8.38,3.18,2.3,58,Matches
423,Robert Sanchez,,es ESP,GK,Brighton,24-137,1997,29,0.07,0.03,0,0,0.07,0,0,0,0,0,0,0,4.14,0,0,,Matches
424,Jadon Sancho,,eng ENG,FWMF,Manchester Utd,22-010,2000,17.6,0,0,0,0.34,0.34,0.34,1.48,0.85,0.45,0,0,0,6.76,0.11,0.97,10.5,Matches
425,Morgan Sanson,,fr FRA,MF,Aston Villa,27-229,1994,4,0,0,0,1.5,3.75,0,1.5,2.75,2,0,0,0,8.5,0.5,0.75,40,Matches
426,Samir Santos,,br BRA,DF,Watford,27-120,1994,12,0.25,0,0,1.17,0.92,0,0,3.5,1.17,0,0,0,8.25,2.92,2.33,55.6,Matches
427,Josh Sargent,,us USA,FWMF,Norwich City,22-043,2000,17.3,0.06,0,0,0.75,1.62,0.23,0.75,1.21,0.98,0,0,0,5.84,2.43,3.06,44.2,Matches
428,Jeremy Sarmiento,,ec ECU,FWDF,Brighton,19-292,2002,0.3,0,0,0,0,6.67,0,0,3.33,3.33,0,0,0,6.67,3.33,0,100,Matches
429,Ismaila Sarr,,sn SEN,MFFW,Watford,24-038,1998,15.9,0.13,0,0,1.13,2.39,0.57,2.45,0.82,0.31,0,0,0,5.41,0.69,1.07,39.3,Matches
430,Malang Sarr,,fr FRA,DF,Chelsea,23-071,1999,4.7,0.21,0,0,1.28,0.21,0,0.64,2.55,0.85,0,0,0,7.87,1.7,1.06,61.5,Matches
431,Dane Scarlett,,eng ENG,MF,Tottenham,18-011,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
432,Fabian Schar,,ch SUI,DF,Newcastle Utd,30-105,1991,19.8,0.15,0,0,1.26,0.45,0.1,0.2,3.13,0.45,0,0,0,8.59,2.02,1.82,52.6,Matches
433,Jeffrey Schlupp,,gh GHA,MFFW,Crystal Palace,29-102,1992,14.4,0.07,0,0,1.53,1.32,0,1.18,1.11,1.11,0.07,0,0,8.68,2.22,1.81,55.2,Matches
434,Kasper Schmeichel,,dk DEN,GK,Leicester City,35-150,1986,28,0.04,0,0,0,0.07,0,0,0,0,0,0,0,4.43,0,0.04,0,Matches
435,Ken Sema,,se SWE,MFFW,Watford,28-186,1993,6.1,0.16,0,0,2.62,0.49,0,1.64,0.82,1.15,0,0,0,8.03,1.48,3.44,30,Matches
436,Nelson Semedo,,pt POR,DF,Wolves,28-139,1993,22.1,0.05,0,0,1,1,0.18,1.13,1.86,1.72,0,0.05,0,7.29,0.86,1.4,38,Matches
437,Ryan Sessegnon,,eng ENG,DFMF,Tottenham,21-321,2000,6,0.17,0,0,2.67,1.33,0.67,2.17,2.17,1,0,0,0,4.83,0.67,1.33,33.3,Matches
438,Jamie Shackleton,,eng ENG,DFMF,Leeds United,22-178,1999,7.6,0.53,0,0,1.84,0.92,0,0.53,1.18,2.37,0,0,0,8.03,0.79,1.71,31.6,Matches
439,Luke Shaw,,eng ENG,DF,Manchester Utd,26-266,1995,17.8,0.45,0,0,1.97,1.01,0.11,2.47,0.84,0.73,0,0.06,0,8.15,1.24,1.12,52.4,Matches
440,Jonjo Shelvey,,eng ENG,MF,Newcastle Utd,30-036,1992,18,0.39,0.06,0.06,1,0.5,0,0.61,1.67,0.61,0,0,0,10.4,0.67,0.72,48,Matches
441,Francisco Sierralta,,cl CHI,DF,Watford,24-333,1997,4.7,0,0,0,1.06,0.43,0,0,2.98,0.85,0,0,0.21,7.02,3.83,0.85,81.8,Matches
442,Bernardo Silva,,pt POR,MFFW,Manchester City,27-237,1994,26.9,0.19,0,0,1.15,1.15,0.3,2.08,0.97,0.93,0.04,0,0,6.84,0.41,0.71,36.7,Matches
443,Fabio Silva,,pt POR,FW,Wolves,19-259,2002,3.9,0,0,0,2.05,1.54,1.03,0.77,0.77,1.28,0,0,0,6.67,2.31,6.92,25,Matches
444,Thiago Silva,,br BRA,DF,Chelsea,37-194,1984,22.3,0.09,0,0,0.4,0.54,0,0,2.11,0.85,0.04,0,0,9.91,2.38,1.08,68.8,Matches
445,Ellis Simms,,eng ENG,FW,Everton,21-089,2001,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4.29,4.29,5.71,42.9,Matches
446,Moussa Sissoko,,fr FRA,MF,Watford,32-231,1989,27.8,0.14,0,0,1.12,0.43,0.07,0.58,1.26,0.94,0,0,0,11.2,2.16,1.51,58.8,Matches
447,Oliver Skipp,,eng ENG,MF,Tottenham,21-200,2000,15,0.4,0,0,1.33,1.53,0.07,0.33,1.27,1.2,0,0,0,8.87,0.8,0.93,46.2,Matches
448,William Smallbone,,ie IRL,MFFW,Southampton,22-042,2000,1.3,0,0,0,1.54,0.77,0,0.77,1.54,1.54,0,0,0,6.15,1.54,3.85,28.6,Matches
449,Emile Smith Rowe,,eng ENG,MFFW,Arsenal,21-250,2000,16.7,0,0,0,0.24,1.56,0.06,0.96,0.96,0.72,0,0,0,6.71,0.3,1.08,21.7,Matches
450,Cedric Soares,,pt POR,DF,Arsenal,30-216,1991,9.2,0.33,0,0,0.98,0.65,0.22,3.04,1.52,0.98,0,0,0,9.24,1.09,1.52,41.7,Matches
451,Tomas Soucek,,cz CZE,MF,West Ham,27-036,1995,28.9,0.07,0,0,1.52,0.66,0.1,0.42,1.56,1.28,0,0,0,9.93,4.15,4.08,50.4,Matches
