,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,0.09,0,0,0.69,0.43,0.09,2.1,1.46,0.64,0,0.04,0,8.24,1.16,0.9,56.3,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,0.63,0,0,1.88,1.25,0.63,0,2.5,1.88,0,0,0,10.6,4.38,1.88,70,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,0.25,0,0,1.57,1.07,0,2.07,0.91,0.41,0,0,0.08,7.19,3.06,3.88,44,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,0.15,0,0,1.03,0.91,0.11,2.97,1.98,1.56,0,0,0,10.3,1.41,1.29,52.1,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,0,0,0,3.33,1.11,0,0,2.22,1.11,0,0,0,8.89,0,1.11,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,0.12,0,0,1.76,1.06,0.71,0.24,0.12,0.59,0,0,0,5.18,2.12,4.35,32.7,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,0.17,0,0,1.04,1.2,0.03,1.37,2.44,1.27,0,0.03,0,8.7,1.24,1.07,53.6,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,0.15,0,0,1.15,0.38,0,2.67,2.29,1.37,0,0,0,9.31,2.14,1.15,65.1,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,0.13,0,0,0.13,0.25,0,0,0,0,0,0.13,0,3.88,0,0,,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,0,0.67,0,1.33,2.67,0,1.33,1.33,0.67,0,0,0,12.7,0,0.67,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,0.15,0,0,1.13,0.74,0.2,0.3,1.53,0.74,0,0.05,0,7.19,2.46,1.63,60.2,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,0,0,0,1.11,1.67,0,0,2.22,1.11,0,0,0,6.11,2.22,1.11,66.7,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,0.2,0,0,1.33,0.48,0.04,0.04,0.96,0.56,0,0.04,0,9.24,3.69,1.89,66.2,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,0,0,0,0.89,1.51,0.22,4.19,0.5,0.56,0,0,0,7.43,0.45,1.17,27.6,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,10,57.1,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,0.36,0,0,1.79,0.71,0,0.36,4.64,2.14,0,0,0,11.1,0,0.36,0,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,0.24,0,0,1.02,0.36,0,0.48,1.26,1.14,0,0,0,8.8,2.16,2.04,51.4,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,0.37,0.04,0.04,2.51,1.65,0.45,1.03,0.74,0.86,0.04,0,0,5.72,2.26,3.79,37.4,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,0.2,0,0,1.36,1.5,0,2.04,1.7,1.09,0,0,0,9.66,1.29,1.36,48.7,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,0,0,0,1.17,1.38,0,0.64,1.28,1.7,0,0,0,9.36,1.28,1.38,48,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,0.23,0,0,1.54,1.65,0.42,3,1.38,0.73,0,0.04,0,6.5,0.73,0.88,45.2,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,0.21,0,0,1.27,0.34,0.08,0.21,1.35,1.05,0,0,0,8.1,1.9,1.43,57,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,0,0,0,2.36,2.36,0.18,1.82,0.55,1.09,0,0,0,8.18,0.91,2.18,29.4,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,0.04,0,0,0.54,0.38,0,0,1.34,0.38,0,0,0.04,7.2,2.61,1.34,66,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,0.14,0,0,1.53,1.94,0,4.31,1.81,0.56,0,0,0,9.86,1.94,1.53,56,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,0.31,0,0,1.31,0.85,0,2.62,2.38,1.31,0,0,0.08,10.6,1.92,1.08,64.1,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,0.07,0,0,0.29,0.36,0,0,1.39,0.32,0,0,0,12.5,4.14,1.25,76.8,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,0,0,0,0.56,0.44,0,0.11,1.33,0.33,0,0,0,8.78,1.56,1.67,48.3,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,0.61,0,0,2.45,2.24,0,1.22,1.84,1.63,0,0,0,10.8,0.41,1.43,22.2,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,2.5,0,0,0,2.5,0,2.5,2.5,5,0,0,0,5,0,15,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,0,0,0,1.47,0.32,0,2.11,1.89,1.26,0,0,0,7.58,1.79,0.95,65.4,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,0.25,0.04,0.04,0.78,1.31,0.04,0.08,1.27,1.07,0,0,0,7.13,2.13,1.11,65.8,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,0.19,0,0,1.93,0.77,0.05,0.29,1.55,1.5,0,0,0,11.9,1.59,1.74,47.8,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,0,0,0,3.25,0.75,0,2.5,0.25,1,0,0,0,4,2,2.75,42.1,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,0.71,0,0,1.43,0,0,1.43,2.14,2.14,0,0,0,6.43,0,1.43,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,0.06,0,0,0,0.11,0,0,0,0,0,0,0,3.78,0,0,,Matches
